Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1850,-7.6167517,1.6586632,5.0320435,-25.822092,4.8556027,10.658744,15.175151,15.993887,17.923573,19.457712,13.2410755,25.671251
1851,17.488503,19.413662,5.5943456,16.765032,17.627193,5.826645,5.003798,-7.3283095,-6.6107025,-2.531246,-3.0514476,8.192362
1852,11.534342,2.8772752,17.165707,15.0860195,3.9136813,-7.0573716,-1.504128,-7.753709,2.5192277,-5.5742054,-5.5780287,-8.316505
1853,-6.5446534,-3.164263,-18.781418,-11.900343,-9.69304,-1.3198471,-11.212899,5.3064013,5.053539,-3.3286862,19.833286,1.6582981
1854,7.408585,1.0368125,12.557868,16.931656,-6.0276275,-6.01816,-8.542392,-4.3460655,3.4580774,-2.6513152,12.182542,18.621433
1855,9.551784,5.829273,0.26522952,6.347996,-2.7102792,-10.009091,-2.3498237,-10.78935,-10.065655,-5.5574408,-8.550625,-3.196584
1856,11.794758,0.99917895,-7.575603,-15.359568,-24.019058,-7.736836,-6.8300877,-8.837676,6.9403424,-4.304191,-6.9285727,-11.910062
1857,-2.952701,-4.1373606,1.6812897,2.0285635,13.169032,1.5017742,5.3321223,11.590383,10.396023,10.646,12.899064,7.0438566
1858,6.018699,4.2643423,14.999418,-0.6471235,-10.2897215,11.807513,3.081116,30.829012,0.82980835,8.189794,0.69717276,3.474775
1859,-2.6678393,-8.991648,8.0304985,-10.489665,-3.8663504,-22.617636,-6.6222186,-4.519162,-5.380875,-5.5791893,-12.77476,0.2417685
1860,4.310027,-0.48958868,0.38936785,2.9536817,-2.320402,-9.783131,-12.330038,-7.580612,-11.156366,-12.258657,-18.184435,-6.0105414
1861,2.6652124,1.1335847,11.9067545,0.008637045,-7.6091733,-6.7455554,-1.3364109,13.245702,10.261277,5.850938,9.523456,10.211797
1862,0.700115,-1.9304183,-10.891028,-4.044505,15.021796,12.106161,4.926004,15.844375,3.5505786,7.011304,-1.4228953,-7.1333785
1863,7.8341317,5.5093875,1.4442983,10.224804,-7.0514793,12.325802,-0.23432952,10.076568,6.838737,3.7177851,-5.3530216,-5.537768
1864,1.683911,14.404808,-8.006898,-9.8109045,-5.024117,0.4983789,-2.8270438,8.902715,-3.636829,4.3702364,2.4637296,-13.485973
1865,-4.393972,-3.026273,-20.201403,4.1134014,-9.777796,-7.980179,1.5064152,-14.300228,-6.499993,-7.9080772,-8.157112,-16.29993
1866,-5.8781466,-14.10041,5.5501857,-6.5321016,12.583086,-6.8013873,0.83471024,3.3573968,-0.67825073,1.5896167,7.16338,-0.34143817
