Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1850,-3.7144368,-15.003758,-16.21084,7.4508615,3.5777762,-9.778606,25.702795,22.236607,13.47385,10.793836,18.124298,18.549828
1851,28.669704,10.950757,15.292803,3.1298988,-5.0439034,0.64362586,-3.5883472,-3.084184,8.480671,-0.19272856,-2.0451133,-6.9018154
1852,-6.2981796,-1.6216257,1.5564386,-2.7341595,-7.925734,-10.155691,-5.164625,5.7232857,9.105231,-10.118939,7.1439495,-3.2416813
1853,11.605239,0.07038869,10.793086,-5.221897,4.3087163,5.198984,12.079214,1.3867172,11.821574,-3.7027893,3.6925242,6.1357727
1854,15.171508,0.35731494,7.8642664,0.05452606,-1.73293,12.282645,14.32344,7.3910213,13.029152,9.653539,13.509165,-10.54347
1855,-8.677806,14.619922,-0.41270146,14.007788,-9.355001,7.2513323,-1.1051371,-6.709794,3.2250152,-9.6757345,-1.8481473,2.4225848
1856,-2.1749158,1.7946318,4.0619087,-4.525586,10.7023735,10.646928,20.86147,12.286395,0.32786626,8.213672,22.764051,13.404776
1857,18.828302,-0.10910807,19.07698,2.347041,-1.7909082,6.842978,12.890459,-11.252888,-13.261872,8.359942,6.273682,-13.576493
1858,-3.499365,8.93914,9.166781,-9.3751745,-7.530757,-29.760838,-16.768497,-6.8304195,-9.230789,-8.9017725,-12.536061,-14.295405
1859,-20.280144,2.910108,-1.5598153,-1.3666167,1.174784,13.423094,6.199795,22.369568,21.920761,17.94749,12.224364,12.291832
1860,15.929736,15.657959,13.129303,15.267638,0.9242349,12.009948,-1.5415659,-4.7925844,2.19069,24.683416,-5.2422924,12.50703
1861,-9.249217,1.4307145,-5.511947,0.52610946,-7.4422364,-15.243105,-23.094614,-13.792414,-11.9565735,-7.870849,-12.634544,-18.500387
1862,-10.592117,-22.611555,6.8881373,0.9027861,17.181446,10.116711,36.529964,27.110046,14.459552,27.554365,22.944435,3.6571348
1863,-2.4401517,2.3210363,-2.465819,7.6937833,11.354112,-1.261108,19.538647,14.676968,13.458744,-10.016154,13.445352,0.58953714
1864,2.549165,-15.525239,-8.959782,-4.6642585,-13.621063,-7.0079594,-10.64309,-6.709794,-20.472406,-6.831579,-4.1675215,-16.090899
1865,-4.80248,-20.54891,-3.4216027,-0.9220794,15.374285,16.566227,13.664828,21.0797,0.59270257,15.557521,5.3632174,14.93619
1866,1.5585668,-1.8655801,-4.881684,0.62052447,-4.381812,1.2239672,11.391197,10.987846,15.688846,5.412563,9.671344,7.5914807
1867,2.4275024,-6.5199623,7.8538775,0.22221108,0.40191284,-18.681927,-2.064347,-8.233602,-18.239002,-5.4602356,-13.128467,-22.37691
1868,-20.342417,-21.352392,-1.3810387,8.586301,-4.476027,2.245313,-0.17906782,6.920857,5.561334,-11.224976,8.696061,17.171017
1869,3.237625,4.333101,18.089596,8.677765,7.344811,5.541579,-3.5234663,-11.594202,2.6268911,-1.9145954,-9.479572,-8.2412815
