Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1850,0.52979267,-4.4911337,8.914235,6.6496015,-4.6957345,15.165201,2.9933844,9.499092,17.37838,17.178589,29.212685,-2.5663188
1851,15.075224,7.5079846,13.23676,5.0628147,-11.541335,7.009849,-7.814853,-22.05198,-9.679338,-14.480012,-13.793704,-7.8271084
1852,-12.437635,-29.850943,-6.3873305,9.787782,15.870018,-3.7822158,10.175247,20.47545,14.0032425,9.63114,16.76108,15.899188
1853,18.754314,11.027781,1.9137392,-4.4195633,6.705588,-9.423202,7.226287,-5.0410075,-9.012676,2.8768032,-5.772958,6.4254823
1854,1.9085505,-7.274611,23.406488,-4.049412,-13.506195,-11.837705,1.3161062,-9.203234,8.817864,-13.648273,5.328467,-2.249333
1855,2.2071612,-17.519545,-8.428714,3.1702716,-9.917881,-14.235999,-17.558735,-6.59697,0.31549662,-9.583311,-4.211233,-10.549333
1856,-1.8858651,-6.7316275,-17.972132,7.5073905,-4.9448247,-5.445912,23.988409,20.926239,11.403922,8.1582155,19.59727,28.498312
1857,15.38619,32.518604,24.253475,19.27065,-0.11051526,-2.0766923,-8.400595,-8.534487,-15.349284,-14.308515,-10.556969,-8.268319
1858,-3.6317081,-1.5961342,1.5164231,1.2610153,2.483078,5.3738637,4.3940477,4.3327203,20.639772,9.704271,12.625571,-0.94872636
1859,16.621307,-4.8544936,17.622406,5.04266,-3.1755219,2.0909133,-4.1623626,1.7562016,-7.316181,-15.945726,-17.83731,-13.428444
1860,-17.74055,-9.016456,-18.037209,2.2431715,3.2013962,15.803073,-7.601129,9.589865,9.051987,4.8019047,24.21713,7.37537
1861,4.8828163,6.6843677,-6.6084967,10.96804,4.2294383,-2.067281,-14.297983,0.18331501,5.673789,-4.7066965,-1.260024,-4.5239215
1862,-0.42524678,8.07245,4.882356,-5.297507,-12.352515,-12.040046,0.3205054,-10.207378,0.7735401,-6.8511915,-7.212727,-0.42077327
1863,-2.5968676,2.6416986,10.484905,-3.1940804,3.7394521,2.11601,9.325683,18.751276,5.1428056,23.34324,7.9525347,13.013116
1864,14.591784,1.1078151,-9.558031,-5.4705396,-0.16240898,-5.714655,3.24868,0.6905158,7.1907387,0.46707848,-0.00058701955,9.753836
1865,9.55144,7.743369,9.27681,-1.3639665,-10.603424,-5.9938545,-11.848422,-7.8318934,-11.683406,2.6723447,2.7841616,10.096523
1866,7.208891,3.2550693,-3.3663576,-3.3926744,-0.3770851,-3.0669627,17.712072,22.378609,17.757362,8.968324,16.874943,10.731031
1867,14.091867,10.413953,11.415565,-6.661121,0.3117357,4.5451527,3.5700655,1.6720955,2.9071655,-2.295942,10.540189,7.879763
1868,13.513181,16.34564,-2.89956,1.9472466,3.612176,2.360179,-7.428445,-17.127157,-0.43175688,-7.8245573,-18.241903,-0.307258
1869,-5.442422,-11.026592,-2.5286665,-12.372668,4.815564,-1.2103364,1.6721348,30.529207,1.5401763,2.5168123,1.8720957,-5.4068775
1870,12.060286,-16.937712,-6.1470814,-3.2525773,4.014762,-2.227795,3.6558747,-0.61415446,5.379988,5.668664,5.865996,-3.4846146
1871,0.015461471,-0.22039254,6.6516857,-4.727286,-4.240709,-1.0587112,13.673708,15.4331875,4.4266663,1.8766567,9.001584,1.1266754
1872,4.9178257,-24.110764,-6.7817106,7.5378675,-15.528957,2.798324,15.2443905,10.865303,16.198076,12.935949,2.5240667,10.139359
1873,14.315825,17.467714,21.683153,12.387693,-3.7501767,5.2656345,6.964062,23.248388,30.918716,13.076032,27.590849,-4.2556615
1874,18.449526,8.167974,9.862509,-3.5042608,-14.881104,14.249698,3.303577,3.2706244,0.9622662,-9.9633875,-2.822327,-6.509368
1875,-8.746704,3.758746,-14.057686,-1.2872816,3.233625,6.68673,15.307815,13.054626,4.951019,17.84707,-1.6484321,1.4763238
1876,7.93019,19.330679,7.9517703,10.186936,15.322676,11.720692,14.3298025,10.602215,-10.009354,8.135555,9.619453,17.8252
1877,14.553685,9.767674,15.208172,-8.2149725,-29.388405,-17.130997,-10.740363,-7.6795793,-14.464312,-18.320946,-11.834323,-9.287279
