Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1850,13.043502,1.9514784,26.94421,-0.5656175,-9.888512,-2.011009,-4.6445155,-7.0168986,-3.761185,-11.717682,-4.621511,-1.6086955
1851,3.4878006,5.4438868,11.533141,12.725662,-21.52682,1.0922377,-21.824963,-9.80736,9.800141,-0.5180912,-12.652102,0.63867426
1852,3.8570793,2.8742938,6.9920034,-5.4132085,3.893434,2.701038,-3.9333777,1.548096,-2.7971272,0.29735282,-7.804121,-0.12693854
1853,7.9162073,-0.052932642,4.3288956,-5.664952,2.7320046,-8.323448,1.749093,-5.1922812,-4.5029597,0.5110041,8.760021,20.653896
1854,13.764917,8.219516,4.610451,6.858871,3.4524071,-3.1864982,-3.0768306,16.385801,-9.510149,-12.646644,-10.926692,-1.9273653
1855,-2.4402504,5.665423,-10.154578,0.07402216,-12.169201,-6.247703,-12.130686,-9.333591,-0.8382089,-18.220415,-6.106762,-11.709492
1856,7.148754,-1.3628694,-8.84959,-10.639803,-2.2299876,-2.576051,3.4948938,3.2645342,7.8774376,-5.5475717,14.372282,5.6229224
1857,5.843055,-1.6082226,-2.114604,-3.5782037,14.814268,-14.672883,3.7516813,18.355766,-2.2797165,1.9758291,4.702401,-16.166843
1858,-3.627428,5.5142035,0.26943123,5.441216,-1.7040353,2.511009,-0.42851707,0.19724661,-4.482563,15.105221,0.9681118,6.664064
1859,-10.7000475,3.1374154,-8.643017,-0.27108318,-4.212559,-8.766849,4.061948,7.656597,-3.644632,-1.297844,8.09466,-15.927553
1860,11.055078,5.6090937,14.531931,5.855787,-12.209614,0.6213693,0.85895574,8.299013,-4.7443905,-11.420256,-24.093655,-11.69051
1861,4.4394035,-9.003978,5.8891206,-10.664255,-3.0856855,-0.102310516,-13.741684,-4.1016164,-5.0682406,7.0167108,0.9341548,-6.595245
1862,1.092386,-6.7557254,11.585281,14.418957,-8.474063,-19.042429,4.2692337,0.42691875,4.193539,-12.959437,-4.2558575,-10.368088
1863,-4.415451,-15.377491,8.325792,-12.055791,0.40270293,13.608367,-2.1402857,-12.505175,2.31704,-12.62632,-7.5688825,12.786665
1864,3.1479073,10.775877,6.246651,6.142541,3.1882596,-0.7990836,4.40934,9.270959,-0.5501572,5.736786,-0.8163548,-6.915065
1865,9.529476,16.39405,7.16481,-7.9856596,-8.527946,-15.30295,-6.8207994,-19.934568,-10.912528,2.0640655,-8.471943,-22.07949
1866,0.13441607,0.10131098,-17.265963,-5.4954557,-13.46124,18.037893,15.048559,3.3327703,12.883794,13.187316,10.158165,13.299758
1867,24.137047,9.298466,18.898773,6.1653256,4.7128186,4.8973026,-5.562939,13.149866,11.854383,19.424347,14.354073,20.937477
1868,15.928185,12.82452,-6.0484357,1.7278603,0.4232022,-12.110575,-2.3785102,2.7979782,-2.2772188,-2.0181117,-0.7558227,-11.330424
1869,-8.076895,-14.927236,3.2155843,-4.6757607,-2.5199058,-4.220166,3.0785534,4.1532655,1.0765859,-0.20975919,-6.034911,11.585614
1870,-18.036158,-1.1659063,-20.385916,6.205338,4.846357,-6.6636367,-9.457179,-12.299912,3.3368764,5.3268332,-14.138338,-8.435361
1871,6.592877,-2.9533176,9.904886,-17.666948,-3.3293338,-20.501001,2.6661909,-18.83669,-7.818053,-10.161151,0.24320301,-23.751068
1872,-14.6778755,-2.1284168,-31.196257,-9.731749,-15.327844,-5.467407,3.1492696,6.655804,11.001051,5.234135,1.4814044,1.082166
1873,7.594925,4.7274857,2.001966,-1.6542832,10.6845455,7.253326,7.701169,18.284758,5.140114,29.80998,4.92386,6.957999
1874,3.9653163,11.096084,5.902528,17.902243,1.7872815,-18.076029,5.120919,12.713267,14.316143,-2.5272064,4.393835,1.1045994
1875,9.671996,17.111208,4.9456363,-2.5812328,-8.132018,-12.317421,6.663854,-16.68088,-1.0051291,-23.591936,-9.052657,-9.274027
1876,-18.301117,-6.9848228,-9.095393,-12.83325,-13.197092,-11.32187,-20.282911,-2.3763015,0.40932155,-8.37114,-13.474453,-1.2779461
1877,-8.891854,-10.023195,17.516321,0.008446588,11.768078,-1.752592,7.4709,8.236325,9.351414,23.471825,8.872719,-0.7349421
1878,4.0294747,13.248312,17.822706,-2.8413122,-2.0085957,7.248281,-8.693447,-2.9338388,19.72086,12.662359,2.7712796,16.961584
1879,24.37458,12.960617,9.684409,-4.4317975,-7.0139294,5.497099,-15.077332,-8.116441,-11.644313,-1.8594842,-8.058553,-13.766465
1880,-15.170573,-0.79617524,-14.444947,-14.51154,-9.535338,-9.076838,5.9279656,-4.873847,-1.1258445,-0.58848214,12.848644,9.289926
1881,9.911978,-5.4677157,8.639129,-7.9523163,-6.8897624,4.0760856,8.804338,2.5566561,-3.6055038,12.224151,7.5798907,-4.5020328
1882,5.549199,6.936043,-2.543641,-0.60618544,-2.5638328,-10.902013,15.452524,-5.40642,-9.494331,-9.168737,-6.456667,-7.710014
1883,0.2637126,-11.8079605,3.3744872,-6.8969946,-5.073528,7.0672207,11.817281,22.09099,9.022152,20.296799,7.7403255,6.894726
1884,-3.3100636,13.611616,-12.506832,4.304202,3.509805,5.854735,-12.849778,-22.968016,-12.300755,-8.57785,-3.7612662,-20.519505
1885,-3.2762704,0.20867665,-5.6521726,-23.86773,9.291182,8.03194,0.5690202,26.965143,19.849901,-3.9766643,-5.1736817,11.981362
1886,1.2946568,14.853882,6.83906,-0.5050435,4.272963,-3.933161,-1.0698227,-12.932898,2.9776442,-12.975796,10.084837,5.806992
1887,3.1650488,7.614639,-0.24203645,4.936062,-5.3546605,-13.106686,7.2370954,6.104369,2.6250722,-13.083365,-0.8006066,2.32981
1888,16.243101,0.297896,-7.7591214,7.2789993,-4.334969,-6.7617345,-4.867271,10.2090645,-13.882542,-6.055675,0.6344471,1.5383124
1889,4.07943,-6.058983,2.6917024,9.641387,-1.8006747,-10.405358,-7.9275045,-18.883846,-4.7860165,-5.894569,4.1064305,-8.544077
1890,1.7364199,-3.1480124,-9.821876,7.838615,-17.438683,-1.4050463,-2.2666905,3.706681,-2.548204,6.7068915,11.949521,3.6648867
1891,1.0145142,18.303194,-2.1905794,7.3395734,-0.17303343,7.2695823,3.6791973,13.456096,11.084719,8.504834,-2.0870368,-5.6800756
1892,1.2853513,-1.7019784,19.10634,-9.264383,-18.891201,-3.252644,-12.044942,-24.247301,-22.001688,-6.7000985,-11.2057295,-24.994112
1893,-21.996355,-15.451966,1.9771374,-12.527046,20.054464,-9.896373,-1.1184399,9.141699,-6.2067113,3.5388048,6.587755,9.244484
1894,9.527027,17.054123,4.5881057,4.7615643,12.394184,12.185672,13.1339245,5.557372,-2.203541,8.075053,5.3116593,23.425287
1895,-2.109173,-4.152108,-8.816816,8.651641,1.7527256,-7.7701774,-14.964187,-4.6691394,-7.0750294,-6.0680676,-10.425702,-7.322318
1896,-1.5126457,6.396946,-5.567259,3.8212771,3.752282,-2.824378,6.785397,7.279358,-0.50978,14.918338,8.345155,6.802691
1897,5.259261,-4.307486,-4.2369466,-6.759175,2.4854279,-2.673588,-4.3947997,-12.8785305,3.5649867,-3.1468449,0.9361233,-6.080426
1898,-25.35023,-3.92906,-34.969696,-15.244542,5.555631,3.753765,8.763677,15.576402,9.840102,9.259306,-8.216035,12.470296
1899,11.651114,-4.567961,-6.850894,10.952343,11.889317,3.364738,3.6588666,11.26367,-0.88233244,-1.0589116,7.8200507,16.141901
1900,1.3446122,7.993443,2.5993402,6.242572,-10.015021,-6.2852607,-7.1730533,3.6833808,4.8866115,6.6231165,-2.8148985,6.9654775
1901,11.679521,7.605188,1.7690743,-2.7762923,-7.4051723,-12.986166,-10.211188,-19.213375,-14.205143,-13.553795,-7.6781354,5.0712905
1902,-3.060776,7.396127,-24.710548,-9.920139,21.0642,-1.7828621,10.92184,13.661913,2.589274,11.448364,10.2442875,6.304554
1903,1.8676755,17.742548,5.056868,28.609955,-1.4346164,4.781267,-8.704938,16.47179,19.362877,-3.105205,21.652866,1.8374248
1904,8.140517,3.2035737,-6.64581,-9.54558,-2.9943173,-0.5967223,8.508657,4.504431,-6.2375145,-0.4244019,-4.697299,-0.5842354
1905,1.4396256,13.8698225,-6.412422,0.35188475,15.252952,-13.969944,6.473805,-9.90056,-4.7568784,-8.681455,-9.614671,-10.496936
1906,-12.974491,-10.494999,-14.543765,5.5712557,-6.16116,-7.445615,-2.2140956,3.256213,-3.60592,-16.319365,-4.9399195,-8.562484
1907,-4.4115334,-3.246305,-9.962901,17.882236,-6.7726235,15.085436,8.829973,5.6073008,-3.789907,0.3384968,4.0655837,-1.200292
1908,3.5544078,9.734733,1.8778232,5.611268,-8.844807,-6.341877,-4.496454,-2.6653333,1.4682864,-2.4176545,-11.60288,-0.97710806
1909,-0.20498738,-4.8223877,-19.551182,-1.3630831,3.9842165,-5.6226816,-1.2271657,-7.4496145,-21.45514,-7.357411,-5.280474,-0.43525442
1910,9.368345,-4.158913,-10.889006,-24.799126,-21.641617,-6.9024343,-8.115344,-3.803708,-0.91188693,-0.29303858,-2.9586008,5.0505824
1911,0.6530716,8.303443,-12.799809,0.084580936,22.073349,4.062632,15.0711,3.823736,5.19506,1.3165339,-4.610192,-7.6323595
1912,2.2609525,1.7446861,0.11301151,5.9474816,16.550848,16.52775,-0.201342,-1.8853358,12.565771,11.607487,27.871923,9.471119
1913,16.923378,16.786842,-6.8767157,-1.6937397,0.92806965,14.279354,1.9926213,-10.642279,-1.9974923,7.2328405,-9.986722,-4.2834506
1914,-7.6909637,-1.4025644,-12.929414,-9.218814,-2.3992531,3.6438956,-9.0236025,-7.712018,-1.554592,4.277414,-7.265238,6.009468
1915,-0.90240514,11.043535,-2.308763,-2.4628632,2.907127,-10.393026,0.1557737,8.028843,0.9009243,5.909293,2.8042521,-7.3654594
