Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1850,-3.2272463,0.67642885,5.3382974,1.6023303,9.219174,4.2134275,15.237903,12.202437,7.125688,10.60253,2.856867,8.992754
1851,16.714867,9.889523,25.151976,8.557827,8.428651,11.583848,7.9076705,-10.532932,4.599446,4.2416058,-0.8669165,-7.743481
1852,-11.024455,-12.087824,-9.968776,-12.7442875,8.099725,1.0220478,-4.3930454,-8.301207,-2.1185756,5.5750628,-1.898471,-2.3616188
1853,5.098117,8.163296,-23.421978,-1.8197197,-1.0806564,-27.595905,-5.2098985,-16.201174,-11.251506,-12.474588,0.2573312,-12.227751
1854,-21.10998,-5.9136043,-5.580191,6.2904983,12.551988,-2.632773,1.7138004,-6.647108,2.4242063,0.07563587,-8.529697,9.913593
1855,12.869237,14.756902,11.715761,11.291573,-5.699134,-5.3298473,-3.3050299,-0.20466591,-5.3545127,0.8584724,1.9703175,-8.566055
1856,3.003599,4.506732,2.2210922,7.5638614,-4.8705616,-0.38631886,5.505039,6.0158515,8.733334,5.0323462,14.37054,-6.096749
1857,-1.2727531,1.3637931,7.9154797,13.09656,15.7506275,6.753331,-6.796518,-8.000107,-1.7894354,-0.17426963,-3.575206,-1.227872
1858,2.2683349,-6.773368,-10.408663,-12.1877575,1.4396054,7.5220923,-7.603701,4.947962,0.22062707,3.1674638,6.9670243,3.9595737
1859,11.402435,-5.198549,-7.0549736,9.078584,10.72262,7.2466865,-0.70354533,0.76532763,-5.1221313,-5.209263,-1.1569265,0.646561
1860,7.6414604,2.6639345,3.561316,-1.6204737,-5.6085167,-5.1218686,-4.5111804,-8.010247,-5.504306,-9.086185,-10.668521,4.4345217
1861,-3.3795168,16.150389,8.426446,1.1114607,5.992498,8.510703,13.293517,0.31367806,5.0889053,0.576576,0.8612128,-4.495979
1862,-4.7611322,3.798376,-10.008116,-4.3940682,2.0584064,-12.641862,-17.091888,-13.255311,-13.921468,-4.919463,-23.78046,-17.480177
1863,2.9876266,-8.667527,-22.405857,-11.084659,4.0479813,2.7775202,9.986167,3.609004,7.478714,12.795601,13.780883,18.489073
1864,-3.3949568,11.880155,-1.9395028,6.448537,-8.9949,-5.515983,-1.9807446,18.772417,10.854729,10.691351,17.586346,-11.6989155
1865,26.133276,16.761826,18.127645,-1.0861322,0.68462825,-2.309409,9.584257,1.3597265,3.0586004,-6.505836,5.1053624,13.159511
1866,16.075436,4.005166,-12.588873,1.7902555,-3.373624,-8.032619,-7.7390723,-2.3100238,-10.865687,-2.4655719,-11.589945,-7.0207577
1867,-9.960158,-4.702789,-4.204204,-41.29171,-0.9464828,-12.345564,-0.014496684,0.42639545,-6.898192,-1.7565026,8.247749,6.0981603
1868,12.779259,4.8492975,-0.10127711,6.160083,3.9808943,5.0795302,17.325228,1.4521626,3.2087984,11.35187,10.68163,6.3274455
1869,21.50127,0.8412355,2.9376962,-1.1427361,-7.2125926,1.2091335,3.739746,-8.890145,-15.828295,-3.2182994,-9.2643585,-12.407375
1870,-9.866986,-3.415153,14.17403,-15.074559,0.040294338,8.589526,6.389998,-7.453291,-5.207554,4.5551167,1.9863782,-1.4624403
1871,10.514368,7.1650767,9.36791,-2.0026639,5.8182726,7.4480176,5.171235,2.0266702,6.7860217,6.8806686,10.03232,10.33888
1872,11.795358,4.234734,3.3945704,-1.3229632,4.234723,0.2570853,0.23942971,-3.3712833,-8.603405,-9.371093,-17.832043,-9.898445
1873,-4.7792344,-2.6630273,7.5292377,-8.89567,-8.642943,-12.650409,5.308288,5.612175,18.718466,11.723717,6.312207,13.897556
1874,0.42884314,-0.099368304,-4.3646913,8.2163925,11.509138,9.754301,-8.11702,-7.640503,-6.304687,-0.4535315,-2.6813145,7.4876075
