Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1850,1.9661173,14.606756,-22.910843,1.5723758,6.180508,12.095607,1.0933192,6.9619117,-2.2491288,8.020266,6.7083316,-0.0026599793
1851,24.485912,3.3776524,7.6562276,2.4658039,11.262868,3.1624289,-5.816003,-7.9740624,-19.500444,-9.915682,-5.271409,-10.15146
1852,-8.230579,9.069953,-9.9514,-2.4660172,-1.0750787,-9.59207,-12.982455,-11.164311,-7.1115036,-1.9514447,-11.495494,-14.660736
1853,0.34819123,-10.41117,-4.08772,-12.272558,-2.5848813,-0.89074713,10.038439,-0.5737044,7.172784,7.826131,2.9355032,3.0300455
1854,4.9678507,10.468144,-3.1109009,17.377436,6.9386244,15.786148,15.980312,12.638985,9.357916,3.2609005,-0.8208639,-6.6432557
1855,0.25882906,6.7199836,-8.60597,-15.259512,-13.600655,12.085068,16.824726,4.9526644,2.694612,4.020434,4.777238,4.310053
1856,14.503475,-8.159454,0.18908955,13.043204,-5.4431605,2.0002725,-12.259304,-2.23604,-16.108747,-13.1744,-4.812386,-4.3537498
1857,5.039445,9.670155,-2.3884232,4.937375,-4.7616158,-21.212675,-2.2821226,-0.38375893,-0.77235925,12.630841,-11.721713,-0.7084192
1858,0.86973196,4.428111,8.398057,-9.205369,-0.2520813,-5.2404504,12.776145,5.209821,0.38764897,-11.015777,2.701759,-6.0502863
1859,-8.471492,5.139382,4.6916733,-7.6474075,-20.25536,-4.6972165,-6.1519094,-14.762421,-9.324918,-17.609735,-27.979866,-16.150414
1860,-10.141676,-25.285057,-21.307386,-7.684326,14.0983515,3.8421896,10.742117,10.572963,18.16719,18.36749,25.122385,24.06195
1861,20.001602,13.903175,6.781698,5.0023513,-8.314884,0.7135652,2.652475,1.2723149,-2.0724735,-7.1878796,-3.2885814,6.1048717
1862,9.196615,-1.3419374,1.1253616,1.0692995,3.4046457,-2.183682,-0.87697935,-0.32698405,-5.428491,-5.8072104,14.620829,8.992494
1863,5.5588956,11.407534,5.1496725,-12.62353,-4.970288,-12.490275,-3.5474155,0.9350052,-7.5944777,-14.224427,3.0074608,4.737346
1864,0.6727171,-14.727066,8.248309,-13.4460745,7.668684,-6.166918,10.483659,1.6375946,19.191444,16.093615,21.109228,9.389834
1865,6.95629,5.385016,24.42158,9.969614,10.538653,13.391417,11.801618,8.604627,14.960851,4.114431,-5.412502,-7.3658633
1866,-3.7765794,-0.283789,4.5082893,-15.695642,-30.757343,-13.532671,-12.903235,-22.67542,-12.01739,3.0077226,-6.888335,-5.5888286
1867,-7.1922016,-16.308094,-14.831811,-4.6914654,2.1268954,-0.21481861,9.178093,0.5617937,-3.190711,14.419619,22.239384,-1.8690842
1868,-6.1668873,11.038015,4.569571,13.755486,-2.622875,-17.340097,1.6230693,-7.748633,-11.236364,-13.409157,-17.289246,-13.13596
1869,-19.21011,0.010544572,1.5695379,-10.301602,-25.83748,-9.879495,-15.050119,-2.4898574,9.705134,-3.7265234,-1.1938199,0.98437333
1870,1.7680572,11.805675,5.955549,1.3582484,13.190015,9.884348,8.163734,1.5465877,4.7613935,10.881742,-9.860225,7.5519586
1871,7.118814,-1.6337079,-2.6100504,-3.3594453,-1.0575433,-8.266081,-3.596983,-9.818412,-12.995956,-2.4181232,-7.8877444,-0.7056111
1872,-18.755983,-21.315609,-5.4704723,3.3705533,-1.2632926,5.128897,6.7315946,1.5445005,9.340946,10.953066,12.578742,14.326405
1873,16.223307,21.100464,9.238491,14.741456,-15.178261,-1.3084719,-2.0289755,1.4280283,10.771594,0.84012383,10.511259,9.184378
1874,14.174769,1.6633408,-2.4861052,21.160845,-1.1773689,0.62111,4.893623,2.768083,1.4776042,-0.8891372,2.2192209,-0.4435255
1875,8.3562975,15.010878,7.4903526,2.8064384,-10.927667,-1.0066754,-7.4512796,-0.05479848,18.522676,7.311745,15.467857,3.4156857
1876,8.539725,8.57783,-1.6512011,-1.6582402,-7.2469745,-16.245487,-3.8682752,4.870842,-1.7526662,4.3482423,6.66036,9.633668
1877,-0.489514,2.058491,5.195288,9.812588,10.492476,1.1341642,-13.519286,-12.956895,-14.237765,-5.025477,-14.883609,-5.622057
1878,-6.233256,-24.795923,-3.7481372,-9.854642,6.2664323,-4.8941026,-6.867094,-2.3320565,-14.599343,-11.434276,-14.06715,-15.9884815
1879,-7.075142,-5.1840796,-15.405002,-1.0552378,-6.6139445,-8.072069,4.4160957,2.513431,6.3277965,6.939536,7.6400156,4.047499
1880,-2.515057,-3.820918,3.7323632,-1.5922791,5.6626277,-4.2114677,0.4215058,-0.2171914,-4.020469,-13.283512,-7.231191,-1.9126092
1881,4.5544853,2.331038,9.179974,-7.6134424,-3.654544,-7.1264396,0.9185061,-1.1113961,-2.1477478,7.1993265,11.744883,12.919566
1882,18.90992,7.397933,19.279455,-0.19823606,12.496195,-3.0996106,6.7612467,-0.6463429,4.562547,11.719212,0.5237528,8.123867
1883,4.1520944,9.014846,16.02508,6.3860574,11.009773,-1.1091903,-13.27322,2.1857228,1.3849254,-7.9412727,6.0160346,-1.210126
1884,-15.506021,1.8307991,2.0289195,-2.2907772,7.4038987,4.3293757,-10.734225,-2.3420756,14.29513,-6.710337,-2.2430818,-11.440827
1885,-24.235296,-10.798632,-5.8621216,18.32009,14.762361,18.110939,13.476282,-3.0793145,9.528044,15.977417,19.3371,-1.4558313
1886,14.658684,12.141018,15.831099,-1.3136674,28.468657,-0.9199687,7.21222,10.359221,4.841454,19.270145,-1.582296,3.2172494
1887,0.20186718,0.11007973,-7.8908644,0.26939842,-1.6753758,-4.7920666,-2.7817783,-10.260087,10.228139,-3.0784638,8.697743,7.941343
1888,-36.770042,3.785191,8.799844,-18.614668,2.5874934,1.4359608,11.460842,17.362156,11.780619,-1.9301893,6.1900496,2.7899563
1889,10.460751,4.826679,6.9014964,-2.3355718,17.471004,-6.0667977,10.637671,-1.7480265,9.623334,11.963887,4.3732414,-2.742391
1890,10.9927435,-8.576391,-4.0462513,-6.0500665,-8.784249,-11.45219,-5.2796144,3.4301786,2.9800456,-18.830751,10.660348,6.870536
1891,-15.175224,-24.248268,-25.838076,-20.320303,17.446455,13.709979,19.234934,0.95170367,5.200856,7.390155,-1.9547817,11.687764
