Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1850,0.20791136,-3.1170633,-1.7654748,0.84681356,-6.1092196,-4.253603,-8.368174,-7.8131022,-11.73271,-6.1631627,-14.50221,-1.484011
1851,4.1322994,1.7981138,-1.986512,-1.9912198,4.1039042,-8.757386,-17.02753,-4.9938717,-12.44202,1.7875865,26.909735,-11.207494
1852,-8.475122,5.449738,-1.4588147,5.15183,4.7922072,-6.446492,-19.020807,-17.737562,-6.9037595,-11.470495,-4.939135,-14.986233
1853,-29.344297,-13.810918,-15.312497,-1.3751466,16.655674,3.7588944,-9.384861,13.189583,-10.013879,22.98258,22.423536,13.444451
1854,17.928274,17.7661,7.835916,2.9338672,5.068207,14.097776,0.013028612,15.94407,13.493421,1.3519711,13.681583,11.856655
1855,4.794945,0.28097588,11.11099,8.00935,13.864004,8.199802,-9.241216,-2.7046425,-13.217896,-9.680885,-10.485697,0.74094486
1856,2.3353515,-14.552435,12.151028,0.56001234,-12.565239,-3.511857,-14.7129545,-2.4287028,-12.739145,-7.9215117,-0.45073763,2.4778275
1857,-17.109995,5.9844527,-8.979665,-6.930797,6.3424435,4.488339,-12.56182,-0.38639048,3.202916,10.071453,-7.3035045,-5.4209075
1858,3.9911344,-7.258806,-1.7254554,5.141837,-2.9663284,-10.218098,-13.52978,-1.7620713,6.0331025,6.1416903,17.648598,17.108685
1859,4.2070336,1.1326718,20.183289,12.163471,1.7618649,1.1436473,5.331478,5.946831,-3.5286958,29.446598,-3.9810677,7.856269
1860,-8.5415535,0.16729985,-8.327256,-2.6047945,-7.4479313,8.64813,9.857084,-7.6443233,4.3693757,1.2320487,2.4944124,15.574741
1861,-9.265647,10.249053,9.453444,6.5313745,11.849432,9.214008,0.44802684,-17.650047,-15.02181,-7.745728,-7.3590527,8.493428
1862,1.5819178,-16.829018,-14.926729,-9.498518,-19.695423,5.7709036,-2.7512658,-6.378929,-3.4281845,-13.728008,-3.9942672,9.876586
1863,5.450947,11.321543,14.496349,-9.094298,-44.25318,11.457016,-5.3059287,-2.4876413,4.445641,-5.8577194,-11.989346,-12.523761
1864,-16.161144,-20.24236,11.396244,-8.473228,8.654508,6.525407,-3.2192569,2.7601278,-0.40711483,1.6610018,14.425158,-15.536662
1865,2.6702726,6.9655643,8.8675785,7.7100573,-13.282387,-24.206026,-17.196049,-10.689932,-0.55082834,-12.481123,-9.49903,-9.897462
1866,-0.95517784,-5.6328015,-17.13431,1.3059953,-0.38448605,9.962133,-13.19376,14.604556,5.3074813,7.2215033,6.1715875,11.590227
1867,-4.6835957,8.38564,7.5227413,7.7300434,15.169348,-6.390907,-0.29811946,-17.772388,-5.6500134,-11.577605,-6.767273,-12.545869
1868,4.458363,1.478072,9.948101,-14.282702,1.8563156,5.9668193,-3.0608912,3.251283,3.9536648,3.7596428,-3.233643,-4.7741113
1869,7.184786,11.750015,-1.4308943,12.949427,-8.464267,-2.3532205,-9.706669,-12.762607,3.1517785,-10.041677,8.901695,-0.85592157
1870,-1.4871763,-0.36347982,-3.0530748,-1.7678745,6.004231,-1.6820953,-18.582256,-3.5324621,-12.314617,0.34083098,-17.648104,-13.008432
1871,-15.61752,-8.367585,-12.298945,3.4535072,-3.5126724,17.011454,6.3111124,6.70455,3.4493449,21.19963,21.056833,22.483725
1872,11.45572,18.400938,18.895222,10.978292,7.756943,13.68772,2.37481,5.165448,14.202291,9.59125,13.495139,20.94808
