Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1892,-18.099949,-4.291268,-2.1698165,-7.9994497,-12.461242,3.8991127,3.4702852,2.2818668,4.546317,-6.4305844,-4.7368746,-3.082771
1893,1.0762858,6.072524,14.4981165,9.338715,-1.3142673,10.661089,16.002068,11.99184,7.914307,12.289816,6.247471,12.137131
1894,2.6221077,8.900584,6.8474197,15.121535,1.9687457,-0.16821976,9.84541,7.4271894,2.1963649,6.722907,12.238932,-4.383393
1895,11.485485,1.0233471,-2.6391482,16.450306,-8.677826,-0.093055375,0.9302929,4.9284687,2.8280346,9.3526945,11.373607,7.1114445
1896,-11.567465,0.17995581,7.3554244,-2.2594032,8.940346,4.8870544,7.740704,6.116607,11.239585,9.0973425,12.035804,-20.970087
1897,-0.055799477,4.3692513,1.4960462,2.1867268,1.4809866,1.6446512,-0.14967784,-14.244216,-19.178127,-12.838297,-21.33608,-10.10508
1898,-21.733784,-8.3904,-23.468884,-16.083755,-6.3110027,-8.865679,-5.873935,-14.634609,-10.27049,0.8938162,-1.0196339,-3.63873
1899,1.4223654,-11.73524,5.939694,5.5377607,10.693459,6.7633457,11.248548,4.143951,6.5361543,9.078751,6.2438145,-9.30335
1900,9.825862,10.75812,20.323153,4.740499,7.3282604,16.294657,-3.9040189,-1.0885397,3.5768688,1.2804493,-11.426689,1.8939022
1901,-3.8583093,4.646924,-12.780987,-2.6550636,-5.99588,-9.295995,-20.118008,-16.746328,-24.8369,-2.464845,-11.041965,-2.124197
1902,-15.298888,-2.4600637,-17.659935,-12.7026205,-12.63096,-14.051551,-16.92179,-10.390482,-15.5197735,-10.110618,-20.409412,-5.0909452
1903,-10.382064,-13.290102,-0.4348044,-17.083006,-1.2486167,-10.7978735,-5.678963,-5.2349844,3.9295378,-5.927848,-3.319042,-5.804099
1904,3.6135788,5.777297,11.320767,13.361065,-10.695485,5.540515,6.1384726,2.104477,-7.102345,0.697654,10.670784,3.3258116
1905,-3.0077643,10.41821,5.376929,1.0900464,5.956894,2.2008677,1.3581592,6.9330077,5.9381843,4.1147466,10.654128,4.08938
1906,-2.811029,13.417821,5.245442,-14.501905,0.034243327,-7.7447896,-14.730932,-4.802194,1.9980865,-3.4760098,3.9192183,-12.909382
1907,0.7794681,-16.808088,-13.814013,-9.094942,2.168615,-15.380551,-7.7655325,-3.7185218,-17.587982,-11.803228,-6.777091,-8.414796
1908,-14.631048,-4.8064523,-15.816949,-12.086753,-16.219858,-5.371944,-12.58748,-0.8952086,-2.810753,-9.032674,-7.022876,-22.543436
1909,-5.812256,5.739795,-7.5097427,4.5428667,-2.7498255,-1.6592932,4.1648464,0.10638248,5.1799455,4.19784,-12.205888,11.079828
1910,1.2125353,3.13515,-6.352037,1.9439442,-1.6225816,-7.95478,0.2579905,9.115276,6.071023,0.56257904,-4.0738654,-4.7460966
1911,-19.637978,-13.325476,-3.7820039,-1.1627228,3.1519141,-21.763887,-7.5924077,-9.084988,-15.908493,-3.910071,-10.641803,2.6424162
1912,5.446553,9.012292,-37.908962,-1.045094,-1.8963686,-6.9264374,-11.332734,-13.451219,-3.4290998,-5.060105,0.9320191,11.405421
1913,-13.796716,-1.3459148,9.027322,5.2094297,4.9974236,6.9615917,-1.4336889,10.302058,15.455548,12.124387,10.741879,13.535781
1914,15.376853,7.318062,16.531372,25.116417,3.4996188,5.4338756,6.570461,4.658144,13.571511,14.351226,23.193214,21.491106
