Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1850,-1.7944552,12.408297,9.100045,-2.4859104,27.663702,20.234934,1.1241119,18.116184,11.680633,4.402875,16.131863,18.96869
1851,1.8599392,4.990117,7.3599467,-1.1395388,13.298057,-1.3442565,-0.14927988,-7.7878995,-10.82387,3.1295636,-5.8829627,-0.7835524
1852,3.5558708,-16.895,-18.914396,-12.469132,3.7120917,-5.8166847,22.437214,12.367251,8.134427,8.867071,-4.6415253,-0.58459306
1853,12.341147,8.422352,16.658413,6.7893634,6.6815615,12.717684,-6.6072345,8.2352915,9.222409,4.2388287,-7.9808826,-4.2874475
1854,16.142338,-9.151982,-9.418888,-7.455455,12.182949,4.5429544,-11.562402,-7.815997,-14.509359,-4.21716,-16.046959,4.6575785
1855,7.093529,5.9166465,9.391505,4.5554867,-6.7648277,-11.145121,7.899733,7.630923,0.17541106,13.335379,21.800003,18.613821
1856,-2.9312553,16.3539,6.5348253,3.4835885,4.2809663,2.2225332,28.126337,-25.33716,-6.509296,2.2242255,5.2377033,-3.5078993
1857,-5.531517,1.6729552,-13.903462,-7.1356387,-21.919538,-22.418762,-7.648506,-5.820535,14.95565,7.8605924,-5.931967,-0.46882433
1858,-3.4422896,-0.5023931,9.01247,-5.7366695,3.23435,19.415731,22.182207,17.641836,7.30887,14.532629,12.801761,2.5382543
1859,14.352216,18.336895,12.300639,4.071228,-7.1378508,-19.178204,0.62445414,-12.04492,-20.447836,-8.905019,-1.2237606,3.8419614
1860,-9.4439335,-6.6394825,-11.426273,-7.986265,5.1447506,2.5409567,15.214789,5.79468,-17.796368,-13.27013,-16.629019,-14.293008
1861,-12.146401,-2.2310371,-28.416746,7.748207,13.680703,15.990586,4.2702665,6.1924505,20.461517,3.5875773,18.593502,25.08349
1862,2.3524358,1.5183921,8.136719,10.2499075,7.2311907,4.96566,27.96832,17.165283,4.727505,14.444233,11.816778,11.255815
1863,-3.3250523,12.73653,-4.625066,19.91694,6.306274,-3.234722,20.276207,-0.22035185,3.530217,-3.3208673,-4.768391,1.3485703
1864,14.016036,1.6929125,7.1843405,5.519167,-11.555263,21.016214,1.2260051,0.13720044,2.0534382,-3.644026,-5.3509955,-19.899939
1865,11.381205,-5.9269633,2.4926884,-0.18371765,4.6387067,5.260104,3.7994876,11.912185,6.1387925,10.484099,1.7578672,8.472712
1866,9.541984,7.767582,6.810778,2.7315066,-10.119773,27.56704,-2.5108032,-24.093716,-6.7878637,-0.12504867,4.5668917,0.79299676
1867,1.560333,-0.42128995,3.842348,-14.071841,-13.143018,-1.1663632,-6.7096725,-17.386719,-31.008512,-17.078964,1.8406297,-4.9250484
1868,-20.263327,-21.449516,-6.3596907,20.976143,27.121998,21.707155,14.269417,17.268307,13.468725,12.241325,8.641856,4.633145
1869,1.0092179,-3.3117049,-8.560471,-5.4869833,-0.7873967,10.951576,17.685835,4.534708,-1.2524799,-2.0298767,4.8391366,13.885336
