YEARS,anomaly
1850,-0.4681390615089827
1851,-0.4872375819855774
1852,-0.4213367203566689
1853,-0.2099607977874089
1854,-0.3405547011970971
1855,-0.3798123991851117
1856,-0.23400113282884732
1857,-0.2846541485187323
1858,-0.04778346092159223
1859,-0.27226806496446826
1860,-0.36791091965976014
1861,-0.026715114487361958
1862,-0.23221880472430106
1863,-0.3966824688686686
1864,-0.2938721293648254
1865,-0.4852776080754405
1866,-0.36107994921705905
1867,-0.38686258627303516
1868,-0.3972877690673926
1869,-0.34897157669339807
1870,-0.2310205279737906
1871,-0.21797126773530015
1872,-0.2674857368597945
1873,-0.30530809105654705
1874,-0.42720771688929343
1875,-0.3084657238173301
1876,-0.34450636780943616
1877,-0.3604860458155031
1878,-0.3672782259679134
1879,-0.2965060588565033
1880,-0.2466452233185783
1881,-0.221001132828
1882,-0.234575332135292
1883,-0.24928838695795824
1884,-0.40292077170947466
1885,-0.23886227731382045
1886,-0.20982286912186462
1887,-0.29859410938463943
1888,-0.29399066288520653
1889,-0.29855624594407215
1890,-0.37766400057212657
1891,-0.36856393534656107
1892,-0.21104084996746497
1893,-0.3137526689959544
1894,-0.18172311284507736
1895,-0.05869448354452306
1896,-0.19504977516421929
1897,-0.15942662456777504
1898,-0.05049651574350694
1899,-0.08472434863868702
1900,-0.1668219422694327
1901,-0.10224897875861108
1902,-0.18887120250850103
1903,-0.13415814768332138
1904,-0.062119975288364215
1905,-0.2135848752315915
1906,-0.12669417459883608
1907,-0.28139645053297224
1908,-0.2048037829263553
1909,-0.06500144176815674
1910,-0.203248360865089
1911,-0.21815938348827857
1912,-0.26980254713071433
1913,-0.27285242526844156
1914,-0.2730211458762568
1915,-0.10678376987518093
1916,-0.07462459236300935
1917,-0.2722973121571977
1918,-0.12666400055638316
1919,0.06419652604041373
1920,-0.09846572380420662
1921,0.010909580858840208
1922,-0.006545775978413366
1923,-0.09299158972238433
1924,0.010919123956458382
1925,0.006245786274490738
1926,-0.2546141224268839
1927,0.045513645259987794
1928,0.0367510212500883
1929,-0.25487089356269
1930,-0.08123819986001327
1931,-0.07061504926512172
1932,-0.11292138959116714
1933,0.11125563832857972
1934,0.04134461570198697
1935,-0.1276741615539045
1936,0.01914726579992743
1937,-0.1243182520426606
1938,-0.16505070201213848
1939,-0.019091037042874456
1940,-0.10759534517236083
1941,-0.09587274725225008
1942,-0.01296234252466355
1943,-0.014100580140184225
1944,0.027087226665441118
1945,-0.050812399164557896
1946,-0.18942662456968232
1947,-0.12039706842274733
1948,0.035612165734724775
1949,-0.06322834781135873
1950,0.1799292849645013
1951,-0.08126806495253942
1952,-0.05182256016207925
1953,-0.10207964025095297
1954,0.051305516462375536
1955,-0.07259565412008262
1956,-0.023357351276568135
1957,-0.016040541005339883
1958,0.0034345199271028563
1959,0.05488033366890429
1960,0.054087535617044644
1961,-0.1511787786292054
1962,-0.09548635474885703
1963,-0.25548542790911616
1964,0.01444406302543363
1965,-0.15983272116626868
1966,-0.1541991006243332
1967,-0.1427437437874838
1968,0.011434519927631087
1969,-0.024287460094129208
1970,0.028741478151977355
1971,-0.24371326080142483
1972,-0.050772990974413575
1973,0.05522670008233494
1974,0.023186673990305762
1975,-0.21274281694207803
1976,-0.1270103669698245
1977,-0.11663444441316696
1978,0.0785727575472675
1979,0.05844406302817033
1980,0.28748316228276294
1981,0.1119197418625865
1982,-0.14088074560312375
1983,0.055553671350602477
1984,0.06659307954141325
1985,0.06676149119934792
1986,0.2158301465915024
1987,0.09735570355272725
1988,0.03601918918298805
1989,0.32480059045570586
1990,0.28851364527519224
1991,0.21948470702811088
1992,0.2333159864211357
1993,0.2058304555408124
1994,0.21547423708048905
1995,0.32901795340162626
1996,0.36688894993628224
1997,0.27489941987789174
1998,0.3373550856679045
1999,0.30020699600257356
2000,0.35734461572173964
2001,0.32527626928685366
2002,0.4702547115013067
2003,0.2894145069000239
2004,0.33665188289362336
2005,0.5075524355791952
2006,0.41826641724513663
2007,0.5235918437703605
2008,0.39137448081643184
2009,0.6469086540488915
2010,0.6230268786178429
2011,0.46741388901131936
2012,0.6367106862477406
2013,0.6996010779290662
2014,0.7109683842379603
