YEARS,anomaly
1850,-0.18014474327834332
1851,-0.3624409226157584
1852,-0.12213520017713762
1853,-0.06976943861525754
1854,-0.3295111227461282
1855,-0.3014917275991925
1856,-0.1841151871360027
1857,-0.36290674939930434
1858,-0.5666484335266406
1859,-0.36318322463021097
1860,-0.27655114883277604
1861,-0.28815459533265214
1862,-0.2023334769325436
1863,-0.4080751610600146
1864,-0.33208439520298416
1865,-0.32093599658937494
1866,-0.3137494255855766
1867,-0.301698929547418
1868,-0.29074849873434283
1869,-0.33413458229055304
1870,-0.4081244212977146
1871,-0.3298273151170705
1872,-0.3026096432198052
1873,-0.25422355966328664
1874,-0.2164116754138864
1875,-0.27628359879968023
1876,-0.3007977589726596
1877,-0.09067984333899777
1878,-0.19521432551192264
1879,-0.44320292873030287
1880,-0.3736191863218476
1881,-0.23006561795125807
1882,-0.35876851178360997
1883,-0.3684510836135774
1884,-0.37696524378558194
1885,-0.37586703226006984
1886,-0.3589470844389702
1887,-0.24907546999999772
1888,-0.18344184945430453
1889,-0.11970970843334612
1890,-0.33720385557340793
1891,-0.43500557882909413
1892,-0.35002559186876486
1893,-0.35710471719943415
1894,-0.2157682028247498
1895,-0.24693630553465779
1896,-0.21531284598855618
1897,-0.2308082289156836
1898,-0.3542337206670401
1899,-0.36941198437339884
1900,-0.24993661448475823
1901,-0.28839228027326796
1902,-0.48338211928798386
1903,-0.28084701920912597
1904,-0.22408532204595447
1905,-0.09931284598126408
1906,-0.1969658616741624
1907,-0.34756930818271314
1908,-0.32163919936359936
1909,-0.2668273151131391
1910,-0.2596893864471872
1911,-0.3870840862565067
1912,-0.13989597048805436
1913,-0.04255083986822268
1914,-0.3009557006831851
1915,-0.040779290660990994
1916,-0.03386795908840286
1917,-0.12688735423936917
1918,-0.06466044819219685
1919,-0.0869769495144697
1920,-0.14136210622162287
1921,-0.15383778505346535
1922,-0.18865059615242608
1923,-0.3983722672351392
1924,-0.1333334769282649
1925,-0.004561618763158589
1926,-0.08872941252650048
1927,-0.022867032237966788
1928,-0.10861026110749941
1929,-0.0562044734556676
1930,0.03388450392772229
1931,-0.21634178423139783
1932,-0.0356296562480789
1933,-0.041471714537946916
1934,-0.22103575285815405
1935,-0.24642152746333862
1936,-0.056768820714613505
1937,-0.07159055701010526
1938,-0.20669892954150146
1939,-0.2443716493256504
1940,0.11650827242693047
1941,0.10678536555707384
1942,-0.12678852481408862
1943,0.003043681436008637
1944,0.06585432988726522
1945,-0.30122325071632705
1946,-0.06928359878673036
1947,0.13815112711757835
1948,0.06530999567333598
1949,0.01185494778370841
1950,-0.06372941252490162
1951,0.03302274154311893
1952,0.006498420372533089
1953,0.047389121002417066
1954,0.01082477374121654
1955,-0.1971050261393783
1956,-0.18038273716887523
1957,-0.07609548303414895
1958,0.28008123594393813
1959,-0.011480948683741743
1960,0.08283493474319749
1961,0.03966621413263831
1962,-0.16333285903026176
1963,-0.13336241517101072
1964,-0.35374818978839356
1965,-0.05487842903708459
1966,-0.2620255918632915
1967,-0.10986765014325478
1968,0.05062742384304943
1969,0.03542914709166339
1970,-0.004342402117946945
1971,0.03410217582331077
1972,-0.09503544390035384
1973,0.11375611836478751
1974,0.08479583550305783
1975,-0.046600100106181416
1976,-0.08963919934910744
1977,0.02839959094862088
1978,0.09771547437397195
1979,0.05578474765404046
1980,0.03471640121981019
1981,0.09281584854856727
1982,0.022003346397278672
1983,-0.020827932997603806
1984,0.03725088338631852
1985,0.020518742368316644
1986,-0.07911487817949643
1987,0.05977613140641521
1988,0.10699287645522607
1989,0.15740820720451654
1990,0.2581809922176199
1991,0.23545870324678017
1992,0.25270593128607416
1993,0.046062767633907285
1994,-0.02233255007154704
1995,0.3238435510061158
1996,0.1934682463417964
1997,0.11952797652220473
1998,0.3672699696022045
1999,0.23235987382131526
2000,0.1704097519549302
2001,0.3452902915957903
2002,0.36436941692716496
2003,0.3837259443392727
2004,0.5800215057776742
2005,0.4138056875712028
2006,0.5988832681633873
2007,0.5581511271438823
2008,0.5872003873833938
2009,0.4572308703676412
2010,0.36452735863769037
2011,0.41830968674546615
2012,0.42283462581452647
2013,0.346814921714704
2014,0.5119325283956527
