YEARS,anomaly
1850,0.2675367984499405
1851,0.334360916107466
1852,0.20144884867368534
1853,0.23837096800767718
1854,0.31926041437446334
1855,0.22591870159633118
1856,0.24685337288533812
1857,0.0704262448306648
1858,0.04657197148484877
1859,0.04558202338028298
1860,0.11000413410286672
1861,-0.018998383169504668
1862,0.08758704071585964
1863,0.23433326048517483
1864,-0.05846321875370588
1865,-0.02218431740381806
1866,0.044803130638593855
1867,-0.3093601825084764
1868,-0.27185767384155446
1869,-0.03534261323034606
1870,-0.11847828798376821
1871,-0.08500090044506305
1872,-0.32378982785011273
1873,-0.25884258738910826
1874,-0.005201886696562469
1875,-0.0627722413513138
1876,-0.03674712022421025
1877,0.05176042299790057
1878,0.02450916005484964
1879,0.007119705074849166
1880,0.042898597814749154
1881,-0.05162903197776023
1882,-0.16257375515764058
1883,-0.18603857352263292
1884,-0.20873706832018254
1885,-0.4129481236728243
1886,-0.2131993866272748
1887,-0.2538652084589482
1888,-0.15066923955429976
1889,-0.11693053717578006
1890,-0.10752601296232107
1891,-0.09440290737965834
1892,-0.3571918347835384
1893,-0.11271194719656603
1894,-0.008013452403139892
1895,0.062034272571397736
1896,-0.02219938663689067
1897,-0.08836269979841027
1898,-0.054749637502142415
1899,-0.13759385894963924
1900,-0.1392245077594334
1901,-0.048289819253932754
1902,-0.007940589076632747
1903,-0.3211817828899273
1904,-0.10505617725861155
1905,-0.36998581397765634
1906,-0.27225968077658713
1907,-0.22179736247175533
1908,0.056152360817376
1909,-0.05413154064647135
1910,-0.07103857352839785
1911,0.026164929993076735
1912,-0.37880239702158214
1913,-0.44992550260135994
1914,-0.26051344378043506
1915,-0.008857673854725811
1916,0.06359207527473425
1917,0.1785317638967055
1918,0.11870011162228004
1919,0.11763730019120709
1920,0.16697901297156578
1921,0.23531317391440737
1922,0.12767499049340975
1923,0.1189639265209087
1924,0.10259207527279779
1925,0.2007830268399896
1926,0.07884082093955797
1927,0.03689108041855219
1928,0.141300621964924
1929,0.24461719639409696
1930,0.24869759433690702
1931,0.30440110647044827
1932,0.4784513659386279
1933,0.4245392985008541
1934,0.36141367564182675
1935,0.28912222233953616
1936,0.31997397840619884
1937,0.3624011064675857
1938,0.4174388139874807
1939,0.42911468771597416
1940,0.5452202067815946
1941,0.4313357949741772
1942,0.4239890476340347
1943,0.3143056392938951
1944,0.30309208387273245
1945,0.3062252413512891
1946,0.4003935718491351
1947,0.45963478289521326
1948,0.5532026202692948
1949,0.6525317466528808
1950,0.17042372754680293
1951,0.23605187629459093
1952,0.2679212188730592
1953,-0.028536064861697057
1954,0.06347900436674085
1955,0.08634834694570333
1956,0.06137348529540694
1957,-0.038629031978436146
1958,0.07482573448667441
1959,-0.04860892818714741
1960,-0.04195064097033465
1961,-0.13297827937301362
1962,0.20337346806828047
1963,0.14569759434206994
1964,-0.032330026836271654
1965,0.14117749916153582
1966,-0.0009230025650997613
1967,-0.17240289015570145
1968,-0.06856872060466121
1969,0.027828251767906882
1970,0.01767750777776036
1971,-0.03422450776472158
1972,0.01822020680806791
1973,-0.29063656658228965
1974,-0.3630888157705983
1975,-0.2627295337009482
1976,-0.2580662119262828
1977,-0.1710812983837272
1978,-0.018347630568915967
1979,0.1317327673665786
1980,-0.013191852020808912
1981,-0.01818933474171206
1982,-0.1180461081425826
1983,-0.022257163510275683
1984,0.2588835113508245
1985,-0.007536064862736441
1986,0.030468952473021938
1987,0.03768504239327951
1988,0.23451669466080433
1989,0.3224086583061422
1990,0.45687849400320674
1991,0.15007699742732913
1992,0.08439107180615614
1993,0.25939357185619505
1994,-0.005312440325726614
1995,0.19334834694030187
1996,0.22712723968032714
1997,0.031172464609374655
1998,0.02779056146522747
1999,0.019426244833237735
2000,0.04225036249298971
2001,0.04516492999212823
2002,0.01635588156574389
2003,0.039041807189047074
2004,0.25604934179471217
2005,0.302172464595783
2006,0.20729558740391377
2007,0.7456799905800158
2008,0.6301674300215839
2009,0.48179809605895935
2010,0.3849262362048588
2011,0.403426244813972
2012,0.6452880355453641
2013,0.44925034525252183
2014,0.46594382271272305
