YEARS,anomaly
1850,-0.06622231278414724
1851,-0.20075586810918836
1852,-0.28815273056541435
1853,-0.3689735400152877
1854,-0.31643936679552975
1855,-0.2495089490239262
1856,-0.24333068531814542
1857,-0.34360716055528767
1858,-0.3552410900475434
1859,-0.24284484548957208
1860,-0.1313897975963677
1861,-0.3473205243271681
1862,-0.24386547643444578
1863,-0.23366689073348754
1864,-0.45731036333658426
1865,-0.26334946256469927
1866,-0.15969737372122325
1867,-0.33384546339508336
1868,-0.3261419516704785
1869,-0.35587409268931697
1870,-0.25663733459229543
1871,-0.11683622923381463
1872,-0.397339610525556
1873,-0.3211120865776439
1874,-0.16076572015421992
1875,-0.2880428132928818
1876,-0.2214987880247281
1877,-0.06788548946845879
1878,-0.2851718167604416
1879,-0.3420123303039124
1880,-0.33537932766173467
1881,-0.218063444233342
1882,-0.28053850516847184
1883,-0.2889639969126782
1884,-0.24842951474373437
1885,-0.30143905784466707
1886,-0.10641042853960359
1887,-0.3024489098922617
1888,-0.2643901065546004
1889,-0.1993303763654358
1890,-0.13262717358709572
1891,-0.06371707781026538
1892,-0.16553881411123775
1893,-0.3149830831095169
1894,-0.20339964964837573
1895,-0.14342951473714416
1896,-0.09793505865794665
1897,-0.2652115338992791
1898,-0.13154835720670055
1899,-0.22528018927963944
1900,-0.17277588115239703
1901,-0.2990425043436676
1902,-0.25915242161367613
1903,-0.45686362274828535
1904,-0.2641918298041395
1905,-0.3147965121061617
1906,-0.3551219386273194
1907,-0.12032052431297392
1908,-0.21117181675584376
1909,-0.2503399194662338
1910,-0.12718197774801923
1911,-0.21718166880374673
1912,-0.41328973238901284
1913,-0.4117749543176086
1914,-0.17521215179347832
1915,-0.10983530238363733
1916,-0.1348747105753344
1917,-0.15050802216795992
1918,-0.010488627014083216
1919,-0.00216165574528746
1920,0.1790646324095078
1921,-0.020914427708248116
1922,-0.16353819621126015
1923,-0.18357822230250237
1924,-0.1569439838593839
1925,-0.2430434311899135
1926,-0.2882900413311158
1927,-0.30407206048657537
1928,-0.21050802217171763
1929,-0.13565734762972229
1930,-0.2526074694995105
1931,-0.06899417094133395
1932,-0.02271707780770235
1933,-0.2913396105189269
1934,-0.3014387488947511
1935,-0.22178604215292452
1936,-0.17787563742781246
1937,-0.27786485853675824
1938,-0.2467558681120598
1939,-0.20654866616131023
1940,-0.13478604214747938
1941,-0.03745968877296798
1942,-0.18717181675434066
1943,0.0017484400274199287
1944,0.02109480644205595
1945,-0.0931123955132914
1946,-0.1641521126578328
1947,-0.02468690376538415
1948,0.12255047223449708
1949,0.11397596397758668
1950,-0.1962700282803456
1951,-0.11063671668329939
1952,-0.049687830616706494
1953,-0.13217212570081815
1954,-0.01949847906215988
1955,-0.026053901123734645
1956,-0.05256837024677555
1957,-0.06844921882756186
1958,-0.18090364882100848
1959,-0.08188487156949154
1960,-0.07068659481832881
1961,-0.16730020232098702
1962,0.0242435140050637
1963,-0.035994170939253
1964,-0.14149909696966356
1965,0.04467793094774012
1966,-0.10132114221163278
1967,-0.2244683050325328
1968,-0.005132717502715288
1969,-0.08559792639145587
1970,0.08553015023724939
1971,0.07025336605548008
1972,-0.024290968164362214
1973,-0.22064656873774294
1974,-0.1482407810846668
1975,-0.02675648599811614
1976,-0.13334977150649385
1977,-0.05459730848965611
1978,0.1643130962464668
1979,0.255797700281037
1980,0.01748212579500602
1981,0.029966729824623797
1982,0.00856063322481143
1983,0.0010464730528919788
1984,0.03146180380093816
1985,0.06399597701942698
1986,-0.003825759279379329
1987,0.08013452358579966
1988,0.11834265238619476
1989,0.19700521117548112
1990,0.2508959118061556
1991,0.16458957147732728
1992,0.0081249804837077
1993,0.10833280033802233
1994,-0.056577604394690256
1995,0.08881740436565495
1996,0.29486666461621963
1997,0.05243224765966818
1998,0.2323026263033081
1999,0.2477586010402805
2000,0.18085743046140634
2001,0.2716394496215489
2002,0.3974605680241815
2003,0.26840238258061294
2004,0.38246056802325623
2005,0.4235695584485716
2006,0.34862990652879455
2007,0.4327582921019352
2008,0.5678755898310961
2009,0.4765009030690124
2010,0.5013121694177686
2011,0.3271049674586635
2012,0.5004002199457311
2013,0.5077481311091926
2014,0.7509747282177502
