YEARS,anomaly
1850,-0.28059093462787565
1851,-0.4126592810690435
1852,-0.18572948118731078
1853,-0.236076156553763
1854,-0.38904598252090644
1855,-0.35331291465192954
1856,-0.21307646550222561
1857,-0.47702504263162904
1858,-0.1716309607110246
1859,-0.09202689630704453
1860,-0.4592919747638079
1861,-0.10131353253600074
1862,-0.2028378537112695
1863,-0.32122362832224655
1864,-0.21316513393008063
1865,-0.24242221401767106
1866,-0.44420361528495445
1867,-0.2787294811930926
1868,-0.16125442025451353
1869,-0.309759346287565
1870,-0.29492775794457443
1871,-0.46412510785581546
1872,-0.24463126966549953
1873,-0.44419376323740944
1874,-0.347154355041157
1875,-0.1688489415563555
1876,-0.5722230104380795
1877,-0.37826365441578225
1878,-0.4652334803787638
1879,-0.3024914873041099
1880,-0.3119271400457808
1881,-0.25089727494940123
1882,-0.30232369354602884
1883,-0.48424271452764983
1884,-0.3937282454005926
1885,-0.281501648300263
1886,-0.42094684414768424
1887,-0.4265798467897661
1888,-0.23041267091930134
1889,-0.17641297986581775
1890,-0.3390262784226649
1891,-0.21946224010621548
1892,-0.29322393727040075
1893,-0.47756937684559364
1894,-0.3782833585108722
1895,-0.2861934542775779
1896,-0.1171251078340704
1897,-0.20995669618202056
1898,-0.14859093461960876
1899,-0.2999967222776372
1900,-0.2509566961845836
1901,-0.27850103040022506
1902,-0.5106882193179364
1903,-0.3781734412383503
1904,-0.1306500469037086
1905,-0.1737688893767036
1906,-0.34566913311238756
1907,-0.35080767967805837
1908,-0.36588773185899004
1909,-0.3301149468499421
1910,-0.1480758475983521
1911,-0.26374980318707536
1912,-0.5512433324317042
1913,-0.37905521666793485
1914,-0.13430368049053673
1915,-0.2389468441362764
1916,-0.11354105647988572
1917,-0.09775934627430671
1918,-0.14268976404453124
1919,-0.10660140456434843
1920,-0.2176211086663865
1921,-0.31193699209332576
1922,-0.3942531844693941
1923,-0.3231642070871989
1924,-0.22430306259629132
1925,-0.24840250992297466
1926,-0.158352631779813
1927,0.06403221598792427
1928,-0.05870946813432492
1929,-0.16830337154272987
1930,-0.0613433976260135
1931,-0.34136217488883186
1932,-0.13324487715516894
1933,-0.36230275365503567
1934,-0.18740281886904792
1935,0.007724948811222937
1936,-0.185263654403708
1937,0.04170617156802255
1938,-0.09740281886343981
1939,-0.3211746770344626
1940,-0.16638311477267478
1941,-0.05673964217668926
1942,-0.3212042331770727
1943,-0.2396792941032302
1944,-0.1873033715439245
1945,-0.12860047771594715
1946,-0.07150133933715579
1947,0.05591337351713427
1948,-0.08282769270628237
1949,-0.049699616086248254
1950,-0.048927757929139434
1951,-0.19471932019040628
1952,-0.039145738774037875
1953,-0.2093135325427646
1954,-0.38036248384123306
1955,-0.11421470311152135
1956,-0.0005416743726208256
1957,-0.2268178406677452
1958,-0.1394025099161257
1959,-0.10821439416119037
1960,-0.03053182232697246
1961,-0.013274742240179698
1962,-0.3160650687115484
1963,-0.2682534934114581
1964,-0.3807288632996556
1965,-0.3159169790485679
1966,-0.1571555908289635
1967,-0.11202627840848145
1968,-0.038571230517655715
1969,-0.16547085635065364
1970,-0.034610020807687734
1971,0.10436934825618761
1972,-0.023165133918190688
1973,-0.06687818874266843
1974,-0.2889757823821738
1975,0.04810210716943799
1976,0.12971478782140136
1977,-0.06180891545967884
1978,0.10878467900259597
1979,0.03847864762471545
1980,0.08405253798411202
1981,0.25722987485060583
1982,0.15402236394603358
1983,-0.06618329326635518
1984,0.08127082777932351
1985,0.20673572772096982
1986,0.33691337353472806
1987,0.06309287302271793
1988,0.20561688525062294
1989,0.3050713152432223
1990,0.2161609105152884
1991,0.34243769470398455
1992,0.17991368247479975
1993,0.13513104541767512
1994,0.02705192008068514
1995,0.06750851271905309
1996,0.10932008801879604
1997,0.21824988789314803
1998,0.4018237782611696
1999,0.35690321253849
2000,0.1356467503387746
2001,0.10058732910143339
2002,0.3959025946411216
2003,0.15177544485760233
2004,0.30549773383667006
2005,0.4020122029640748
2006,0.30934902627405925
2007,0.27502329080336824
2008,0.422774518024799
2009,0.20778560585856226
2010,0.3601606015743801
2011,0.41692291663734826
2012,0.4635072769441468
2013,0.557844100265837
2014,0.49883424821461936
