YEARS,anomaly
1850,-0.1654953131736782
1851,-0.18289063087595267
1852,-0.11115787195464794
1853,-0.14456489540500284
1854,-0.4542363794065068
1855,-0.2290584246369052
1856,-0.1601184637675487
1857,-0.09132659256121892
1858,-0.09242665778629167
1859,-0.2862172932007382
1860,-0.19380196244879958
1861,-0.38064309390021
1862,-0.27680196245397526
1863,-0.393870308894264
1864,-0.23655442546334723
1865,-0.2018118144968373
1866,-0.35019789805959156
1867,-0.4471874281182905
1868,-0.2701187727243741
1869,-0.3891083027844413
1870,-0.263722837122948
1871,-0.25201963434801106
1872,-0.48470220619196003
1873,-0.40528625754096903
1874,-0.3102874933347028
1875,-0.39396913831954455
1876,-0.21853441241721028
1877,-0.2499903871552037
1878,-0.3117425412210547
1879,-0.15525793718237227
1880,-0.31840664475541947
1881,-0.2992868754341828
1882,-0.045010091237442984
1883,-0.2869792993103021
1884,-0.4709691383243622
1885,-0.2130491904881821
1886,-0.21042511304404918
1887,-0.2354152609980924
1888,-0.25241587889900585
1889,-0.28190079187961037
1890,-0.41456304172238034
1891,-0.36284075274967226
1892,-0.2095938336518148
1893,-0.29996913831366695
1894,-0.09835676660411498
1895,-0.06385153162824794
1896,-0.0525442644543791
1897,-0.034227763132365016
1898,-0.06622776313435018
1899,-0.18369235412557697
1900,-0.37898884241366315
1901,-0.24836569181130227
1902,-0.1678422974870971
1903,-0.26706920353656294
1904,-0.12311939061502478
1905,-0.22491987807127342
1906,-0.08712862476047226
1907,-0.04045621392562611
1908,0.0034945258394106222
1909,-0.22622683629460935
1910,-0.2594943863298216
1911,-0.0626541817275285
1912,-0.22640571789989636
1913,-0.28103902949499626
1914,-0.05401009123801016
1915,-0.011554734399214563
1916,-0.06607936452144288
1917,0.034247606753095745
1918,-0.15105873358191854
1919,-0.007109847510149962
1920,-0.09438632274650174
1921,-0.32456396856649566
1922,-0.3169204959768698
1923,-0.2921280068734338
1924,-0.0006935899137910928
1925,0.05211891223639861
1926,-0.21265232803739054
1927,-0.10319820699404436
1928,-0.11296083100402893
1929,-0.1527720973537104
1930,-0.09928811122133696
1931,0.13099914292126277
1932,0.021257149849877283
1933,-0.07156458645047105
1934,0.049256840901723054
1935,0.02660320731370027
1936,-0.1269703741025334
1937,-0.20507967348007972
1938,-0.0985245603621961
1939,-0.11836630970297746
1940,-0.21102948639300365
1941,-0.10764309388310896
1942,-0.21110861172322976
1943,-0.0812074411403781
1944,-0.12951378146681705
1945,-0.10952425141293577
1946,0.07871250668965495
1947,-0.033059351474391416
1948,-0.06690017396632489
1949,0.020791632016211946
1950,0.14110844229456931
1951,0.019109060186772716
1952,-0.13861291984260224
1953,0.03507026989748154
1954,-0.017692972015043645
1955,0.003593973164590874
1956,0.1195240819893128
1957,0.07987137525001037
1958,-0.05226624447388477
1959,0.0890099218159399
1960,0.07107857719765795
1961,-0.05804919047850787
1962,-0.07379149249388568
1963,-0.21976162741051275
1964,-0.32397960826252237
1965,-0.07263416868316411
1966,-0.04471267611177484
1967,-0.1851477109618202
1968,-0.006069821420066999
1969,-0.0821785028976712
1970,-0.1341483288584832
1971,-0.06446544807483129
1972,0.18641509157075065
1973,0.15701946491780855
1974,0.021060726798977095
1975,-0.02279118354077907
1976,-0.010157871948327221
1977,0.08669311154496319
1978,0.038464969699026914
1979,0.020207580662211597
1980,0.0737128156392733
1981,0.032644160253836485
1982,0.17494003063880068
1983,0.07088122729697745
1984,0.12421743271626164
1985,0.01798959981657231
1986,-0.13228718437363762
1987,0.03349483479124467
1988,0.13887999150152083
1989,0.11485074430734515
1990,0.06762445616095158
1991,0.1023365841351173
1992,0.10438677122268615
1993,0.2195828853308666
1994,0.00362476510685119
1995,0.2762565319659905
1996,0.15993079649012723
1997,0.0732771628981341
1998,0.2074548087121157
1999,0.1379307964887589
2000,0.3365339340504351
2001,0.4306330724315094
2002,0.4436321455825763
2003,0.330890461460944
2004,0.3613858443889966
2005,0.40769218471530083
2006,0.1415644170306058
2007,0.29702962592402926
2008,0.39583134917976515
2009,0.4598412012313373
2010,0.5532962491233859
2011,0.5595234641169968
2012,0.5153756834012063
2013,0.6007713100576012
2014,0.5652765450290937
