YEARS,anomaly
1850,-0.06755162852927385
1851,0.011860430297182761
1852,-0.1729461008425336
1853,-0.05937324613176224
1854,-0.05900137766281799
1855,-0.19408681015676185
1856,-0.11750890366641284
1857,0.0066041500153287604
1858,0.0915765116037783
1859,0.00978504969193722
1860,-0.06950388633114321
1861,-0.13823001953367217
1862,-0.2645566458570752
1863,-0.12681796070380738
1864,0.07628755835745632
1865,-0.015061689037308267
1866,-0.1340440852994102
1867,-0.06894108351008053
1868,-0.1831395696930421
1869,-0.10824258870940733
1870,-0.04868480322899331
1871,-0.05062197457774054
1872,-0.08864711292432599
1873,-0.3123104174679402
1874,-0.10729786552404004
1875,-0.32577775311230744
1876,-0.23835814244966805
1877,0.017611684631297236
1878,-0.07013956969871615
1879,0.009486061769515221
1880,0.048418215778749454
1881,-0.06729031368949374
1882,-0.11072499358734089
1883,0.014207143197550535
1884,-0.4960616890131523
1885,-0.3743682115582392
1886,-0.2551948465039662
1887,-0.3975742323622806
1888,-0.3731546389165502
1889,-0.34263202645846985
1890,-0.45524257147197206
1891,-0.4266998724430727
1892,-0.27618227732870276
1893,-0.2442501233191221
1894,-0.16395615273835373
1895,-0.3100290160574885
1896,-0.3548531337161617
1897,-0.33167725137823095
1898,-0.3523606769428333
1899,-0.4860415852229203
1900,-0.42462197455898604
1901,-0.2628380644877238
1902,-0.5059662046165839
1903,-0.781307900165545
1904,-0.8658254952832322
1905,-0.8218707202046348
1906,-0.7576420783330139
1907,-0.5544310229802983
1908,-0.5591923292098695
1909,-0.6808983586189914
1910,-0.5135591631234037
1911,-0.6260264987627896
1912,-0.7069335316414898
1913,-0.6529159451323135
1914,-0.5043807807259315
1915,-0.6329611872725046
1916,-0.7624335402487228
1917,-0.5001923464328554
1918,-0.6970516198876497
1919,-0.3765566630714557
1920,-0.33326770982653153
1921,-0.4153581768808098
1922,-0.5603531423158632
1923,-0.534408419131729
1924,-0.5269662046155221
1925,-0.4557576665350477
1926,-0.5174862997967148
1927,-0.60562952638645
1928,-0.700594336137842
1929,-0.7032023810980053
1930,-0.6926194572666955
1931,-0.698822978012746
1932,-0.6215968534206645
1933,-0.5605516285045158
1934,-0.3723280211968589
1935,-0.5548531337061084
1936,-0.7602551406308891
1937,-0.6431496215652858
1938,-0.49601142953624877
1939,-0.5579486181020576
1940,-0.4949310315932964
1941,-0.5386219745532381
1942,-0.1977652011645169
1943,-0.29571244162388
1944,-0.5013154347961275
1945,-0.18666971676895355
1946,-0.14210189661243952
1947,-0.45050640359084904
1948,-0.43192599703876644
1949,-0.22862700912650552
1950,-0.07836319423543094
1951,-0.1620013776576551
1952,-0.27731796930624114
1953,-0.3649259970421232
1954,-0.4357274936298602
1955,-0.3827827704471172
1956,-0.3969561527266591
1957,-0.37564961296870786
1958,-0.2809184624298185
1959,-0.3689837911353416
1960,-0.388825478087157
1961,-0.3271521216400263
1962,-0.2930566544656428
1963,-0.37537322889587754
1964,-0.14644359217502662
1965,-0.2756697167644836
1966,-0.28471244162440823
1967,-0.3312852963385587
1968,-0.0727752530661758
1969,0.08233278327633739
1970,-0.07489082403287006
1971,0.02401620884492093
1972,-0.08674258010048129
1973,-0.20696618741154632
1974,-0.041044085304061895
1975,-0.10090841054348894
1976,-0.14005917175216845
1977,-0.09286068556585017
1978,-0.001875754803483633
1979,-0.09552900745824677
1980,0.3506292711264839
1981,0.3642146950165343
1982,0.1646317884146854
1983,0.01039811198990335
1984,0.0005664597129787931
1985,0.31275741126948137
1986,0.27235792161524347
1987,0.49018957388175133
1988,0.42084032648589587
1989,0.34836043889029067
1990,0.494875499505986
1991,0.4730388126719586
1992,0.4214207330388756
1993,0.5190513818438653
1994,0.5236644441416497
1995,0.6883679562697209
1996,0.6240061569194011
1997,0.5857398247438624
1998,0.6352699718174791
1999,0.5745639424053074
2000,0.6674659579457155
2001,0.8361091587013414
2002,0.5693579043803416
2003,0.7445815289086671
2004,0.6522498680258783
2005,0.5819961050261538
2006,0.7354508887092691
2007,0.9489634320427441
2008,0.7658151881200962
2009,0.6541443489543282
2010,0.8557624113598644
2011,0.7966418230583259
2012,1.022589046291233
2013,0.9031795047456505
2014,0.793913172573616
