YEARS,anomaly
1850,-0.4707483769359106
1851,-0.2899281853796552
1852,-0.29347159274402396
1853,-0.2112742428382174
1854,-0.37345157970404474
1855,-0.36317386867281426
1856,-0.3059568146734952
1857,-0.30701623590871663
1858,-0.1604823716329972
1859,-0.23011506532917952
1860,-0.19296697566390544
1861,-0.14612615317117078
1862,-0.10357196690704847
1863,-0.30893741952855197
1864,-0.30443218455453536
1865,-0.22272990862499353
1866,-0.07007658397876533
1867,-0.2617791688651325
1868,-0.23342264145249308
1869,-0.1508980113284922
1870,-0.21256180591637958
1871,-0.23887830723892187
1872,-0.4116797215493642
1873,-0.3391452393784814
1874,-0.2945414839265976
1875,-0.37012584423525374
1876,-0.36381888601162016
1877,-0.47963969546365237
1878,-0.5202536119127029
1879,-0.30677947781788106
1880,-0.22919542645901694
1881,-0.3598776893466334
1882,-0.30245219759942804
1883,-0.16147282853546407
1884,-0.38317510447375497
1885,-0.43358089212546275
1886,-0.4103133420909134
1887,-0.41679918191983406
1888,-0.4078191949642836
1889,-0.25474037857438786
1890,-0.3829072454906862
1891,-0.5157385248911874
1892,-0.29609567018815686
1893,-0.3169081723363615
1894,-0.23258181896264055
1895,-0.2259577415182381
1896,-0.29865047434961933
1897,-0.19601623590177908
1898,-0.2359574325689743
1899,-0.3436400044050534
1900,-0.2841360052273407
1901,-0.23921420370496474
1902,-0.07222560049166091
1903,-0.21789770238276626
1904,-0.367214512662889
1905,-0.32501716275959586
1906,-0.2882834769907372
1907,-0.2506412401989111
1908,-0.4220165448658504
1909,-0.26409567018617175
1910,-0.10443311139180897
1911,-0.1196701784334858
1912,-0.18331365102659988
1913,-0.04988877717448007
1914,-0.29403594000296984
1915,-0.3255898173164635
1916,-0.2569869887129031
1917,-0.21768095733691198
1918,-0.11453132291789897
1919,-0.08597775455450578
1920,-0.015810269741976905
1921,-0.14436291126187156
1922,-0.17327424283582807
1923,-0.12655164491355847
1924,0.07123006530338219
1925,-0.1619475805167854
1926,-0.08649129682612855
1927,0.008359686667037841
1928,-0.20934382507069063
1929,-0.11024499563917792
1930,-0.0515223977161461
1931,-0.08219542644982479
1932,-0.06436383810660372
1933,-0.18919573540646578
1934,-0.09796759355778559
1935,-0.023600905144802987
1936,0.0042005091565819695
1937,-0.0403733812027295
1938,0.039467441292086104
1939,0.055190348162336235
1940,-0.11224437773945911
1941,-0.00250238466811979
1942,-0.024413407291706376
1943,-0.021105831168392836
1944,-0.028482371624730243
1945,-0.008582127898546801
1946,0.03120112705811227
1947,-0.10366063533489277
1948,-0.012799799794404747
1949,-0.0635913620496982
1950,0.14944711930403057
1951,-0.024264699728882993
1952,-0.0165618059041316
1953,-0.04828440382548666
1954,0.006725448225518274
1955,0.05905180159719719
1956,0.24490309404599428
1957,0.0907553133233052
1958,-0.11959043520340612
1959,0.07017095301809832
1960,-0.08432350306795883
1961,-0.18279825505542718
1962,0.027052419495065573
1963,0.002339364671782516
1964,-0.07295743255876115
1965,-0.25051161883133477
1966,-0.31694665367673613
1967,-0.2148478242450391
1968,-0.18968957358303415
1969,-0.04995743255730772
1970,0.0018442906955070948
1971,-0.1978872324341342
1972,-0.05184844213467947
1973,-0.026412789391998256
1974,-0.027620918190042962
1975,0.12971497828585501
1976,0.15377501742233715
1977,-0.09609597912557696
1978,0.09823068320491248
1979,0.29043788516517327
1980,0.09391325503400437
1981,0.13813123588230244
1982,-0.09764000438966453
1983,-0.011611375091403787
1984,-0.1161951175020179
1985,0.14540802006353284
1986,0.1029335770294902
1987,0.03706196259331125
1988,0.15707181464832543
1989,0.3318335118188776
1990,0.2775961358247889
1991,0.22037846392561639
1992,0.15811153178849235
1993,0.00029995648149276063
1994,0.04340925585686956
1995,0.34452686254630854
1996,0.15121159701302617
1997,0.25325931250746264
1998,0.19654718453197473
1999,0.219685113198937
2000,0.19956688862724897
2001,0.20530026544424537
2002,0.38215032209280364
2003,0.4256358529741479
2004,0.5191801871939051
2005,0.4637149783067634
2006,0.35213123589569545
2007,0.4443387467996012
2008,0.3442700914104918
2009,0.6483181158674964
2010,0.21281473456608088
2011,0.532011466586891
2012,0.6150219365394652
2013,0.5733479809553398
2014,0.5893873891465157
