YEARS,anomaly
1850,-0.10955423364965822
1851,0.01114724189027135
1852,-0.1468747959750326
1853,-0.05637742408100276
1854,0.08048407934909718
1855,-0.1667863911868429
1856,-0.18655423364325516
1857,0.07841220297156008
1858,-0.11986403031079522
1859,-0.30095769127917343
1860,-0.3243110571506565
1861,-0.3453441139666023
1862,-0.3058084290537571
1863,-0.10338869628904933
1864,0.12272674928134168
1865,-0.2502562157333712
1866,-0.35502931437964025
1867,-0.2949136155227603
1868,0.02411367852608342
1869,0.1332183584396614
1870,-0.23257101532101696
1871,-0.21331131043261606
1872,-0.2942614719266292
1873,-0.3057535876303322
1874,-0.30105711500489923
1875,-0.2474217530947706
1876,-0.30310144403435785
1877,-0.17924519680008716
1878,-0.14470925861409992
1879,-0.23309017182824526
1880,-0.058101444054720876
1881,-0.11137793062188078
1882,-0.1742449435277856
1883,-0.14846608213262655
1884,-0.3452832565281151
1885,-0.18304058660589886
1886,-0.2618747959654814
1887,-0.292526686286416
1888,-0.2683278388368656
1889,-0.18805160554468525
1890,-0.11083622969073897
1891,-0.09122841512584376
1892,-0.15178113499121682
1893,-0.1735489774474827
1894,-0.10063712896734912
1895,0.06821310224818058
1896,-0.23949913894274624
1897,-0.08760983489306019
1898,-0.11954897745194144
1899,-0.17295769128978203
1900,-0.21242200637037698
1901,-0.106692730208433
1902,-0.21044930044589044
1903,-0.08324494353534254
1904,0.04645653200386376
1905,-0.09448235727322503
1906,0.032622069366143154
1907,-0.17972553374729822
1908,-0.16860932834092593
1909,0.012848717440122406
1910,-0.11420086777587775
1911,-0.1650846623643062
1912,-0.07565916684787373
1913,0.043693945742946605
1914,-0.27063136621090217
1915,-0.18158729046136232
1916,-0.042112209722573124
1917,-0.19475833729104927
1918,-0.13059254666253725
1919,0.041975941784234
1920,0.039909574876351855
1921,-0.11802956767208783
1922,-0.016908106076253204
1923,-0.03120061451002921
1924,0.11580989787155113
1925,-0.04907364343471111
1926,-0.13680817579510207
1927,-0.027747571638417654
1928,-0.03567569526004012
1929,0.03902527373831389
1930,-0.028449300461050774
1931,-0.1456090750700917
1932,0.034760312651775954
1933,-0.19958754373261683
1934,-0.1622006144991571
1935,0.005572484141862777
1936,-0.04851617391287303
1937,-0.17502956766731914
1938,-0.14512373519867955
1939,-0.1069579445680165
1940,-0.06726748796053054
1941,-0.015676455079850146
1942,-0.30297972915744026
1943,-0.20205711501313986
1944,-0.114759097115845
1945,-0.09989708713011657
1946,-0.08288581491959521
1947,0.07515800755145703
1948,-0.058189848841286605
1949,-0.05120112105380224
1950,0.0104122029772295
1951,0.007981451256677189
1952,-0.1339521818234285
1953,-0.11022841512426969
1954,0.042406693504953394
1955,0.3779198339693061
1956,-0.04118984884270397
1957,-0.005090425119923071
1958,0.08339592783505692
1959,0.18268267351941592
1960,-0.07894141616150915
1961,-0.038051858829899685
1962,0.050008745328551624
1963,-0.04685275810489965
1964,-0.006554740203666175
1965,0.09022462773101386
1966,0.2609366156606077
1967,-0.152725533749556
1968,-0.28181970126769007
1969,-0.28249362946952294
1970,-0.11690810606795227
1971,-0.020664929594769458
1972,-0.19905135227107312
1973,-0.03952117683780775
1974,0.06095941337384486
1975,-0.23096294748188623
1976,-0.06033309505106364
1977,-0.03445480993013226
1978,-0.052731043227455046
1979,0.06310867559862741
1980,0.10657824687579566
1981,0.16537388994976362
1982,0.22090406539167948
1983,0.2892131022298118
1984,0.09967741732941279
1985,0.039672161137522144
1986,0.10908087497404179
1987,-0.098305547699837
1988,0.05355595572904878
1989,0.04156722794198463
1990,0.08951162669644203
1991,0.20166614510902678
1992,-0.08569798640705051
1993,-0.2256371289569575
1994,-0.07310695352311519
1995,0.036898302664630164
1996,0.04497043231436203
1997,0.15274353096036758
1998,0.2666824202397607
1999,0.18303654593828692
2000,0.361544430218776
2001,0.35040067746432524
2002,-0.029548724186716304
2003,0.13327972242354566
2004,0.22903629266173328
2005,0.20060003147371314
2006,0.15064436050753058
2007,0.3440087453041036
2008,0.402428478080777
2009,0.4294174591393126
2010,0.32231803542245435
2011,0.3725551958843705
2012,0.23813020691710662
2013,0.3594069467513292
2014,0.5179917103353942
