YEARS,anomaly
1850,-0.3923035708792942
1851,-0.5049556597233373
1852,-0.2680760469283759
1853,-0.4555705030165033
1854,-0.4127290626241953
1855,-0.2460763558769343
1856,-0.3577093585256915
1857,-0.25620443249555047
1858,-0.4733426701245988
1859,-0.39728324888469463
1860,-0.11682881888072641
1861,-0.13652155170880378
1862,-0.5667084316889959
1863,-0.5056788755425536
1864,-0.2940757379800869
1865,-0.17792795725977656
1866,-0.3806991975296733
1867,-0.261838053037486
1868,-0.18849230451934995
1869,-0.37834297906855224
1870,-0.5022438407010836
1871,-0.30927432368139973
1872,-0.15431434976167724
1873,-0.2930163167448656
1874,-0.34123429759343316
1875,-0.3384125612986823
1876,-0.3849371914204285
1877,-0.6360156988664984
1878,-0.5557684708233191
1879,-0.33965024623933704
1880,-0.2886407031385283
1881,-0.3919565865659993
1882,-0.3310064646997562
1883,-0.3279273393692995
1884,-0.5221739495198394
1885,-0.3810156988505423
1886,-0.3777389146695352
1887,-0.4460357118996358
1888,-0.19661114699013996
1889,-0.39580818795336153
1890,-0.5087878659655257
1891,-0.1763531400533932
1892,-0.22428355782379142
1893,-0.31103571189119517
1894,-0.23426385372930764
1895,-0.2431647153546782
1896,-0.25229248302328244
1897,-0.04530387980751138
1898,-0.2246006770445033
1899,-0.17244242638082158
1900,-0.18977001555000259
1901,-0.4750064647087178
1902,-0.31157081195741165
1903,-0.3652835578325901
1904,-0.32578848385388637
1905,-0.18596736545041365
1906,-0.08948245246560832
1907,-0.09375954559659179
1908,-0.16489747426656023
1909,-0.22206526802822535
1910,-0.17454032895646726
1911,-0.23009544207116034
1912,-0.13711576406027584
1913,-0.4368371261986703
1914,-0.28930264402305844
1915,-0.2713623742070118
1916,-0.2621450112607723
1917,-0.19789685636878762
1918,-0.19971921056334244
1919,-0.17374907565423078
1920,-0.14882850993279548
1921,-0.2668174220929703
1922,-0.1336893454666544
1923,-0.11275985454771324
1924,-0.24481773104152874
1925,0.026319270791222964
1926,-0.2142934098706734
1927,-0.34979771800309156
1928,-0.1550655769739513
1929,-0.09001631673218521
1930,-0.08193688245153956
1931,-0.22621397559127204
1932,-0.4072041235550853
1933,-0.17023367968288436
1934,-0.03357204773969854
1935,-0.1615412558054464
1936,-0.21419458044539283
1937,-0.1110073915357393
1938,-0.17449230451846368
1939,-0.1588783880709658
1940,-0.30222444554344924
1941,-0.28477801390397095
1942,-0.17072998945881004
1943,-0.22338207829910628
1944,-0.20750122971831994
1945,-0.08543288327776895
1946,-0.23959051604800297
1947,0.014923335189499122
1948,0.1278546798136976
1949,-0.15594735240353585
1950,-0.1718084968892784
1951,-0.07860036808548017
1952,-0.03535252214469486
1953,-0.04852155170327355
1954,-0.21217425845036084
1955,-0.25391656046737643
1956,0.021299875645740738
1957,-0.042273705764838646
1958,0.004468905202422846
1959,0.04428017155210429
1960,-0.14735283110165495
1961,-0.0362339886244095
1962,-0.14574845775266154
1963,-0.07010498515874974
1964,-0.06989809216048654
1965,-0.21553078586140142
1966,-0.0743432879994779
1967,-0.07328386676425658
1968,0.06171613324418405
1969,0.03029956669639184
1970,0.002250615406846095
1971,-0.002986760584140684
1972,0.1590126215261693
1973,0.10343780431642176
1974,0.06484451881229451
1975,-0.12445166052551754
1976,-0.17515517225280952
1977,-0.1311151461600288
1978,0.06090363109726996
1979,-0.14818472839373215
1980,-0.0961650242954128
1981,0.0026465510079141837
1982,0.1250920558042023
1983,0.006032634561600304
1984,0.11305202971345289
1985,0.21057696878830576
1986,-0.006104676204841967
1987,0.11016194698576565
1988,0.2963783830933137
1989,0.08421120722182782
1990,0.08604279556407404
1991,0.16824076336973415
1992,0.04131003664445677
1993,0.1187844796807151
1994,0.011864222904069834
1995,-0.15106588592360862
1996,-0.0016308510729960667
1997,0.031210589318705857
1998,0.09860714282377148
1999,0.29580449273678505
2000,0.35027924472151667
2001,0.4378632960809514
2002,0.39577524555034804
2003,0.31226046747380704
2004,0.1816958112567915
2005,0.3219627433988289
2006,0.5025064597242239
2007,0.2523983961355937
2008,0.44367518032836656
2009,0.47505141183628025
2010,0.255864222919324
2011,0.45100184264715043
2012,0.164102216804113
2013,0.2876862681658024
2014,0.7006459331517385
