YEARS,anomaly
1850,-0.5006107151416376
1851,-0.6531245663727339
1852,-0.3901661371958706
1853,-0.41154175080331395
1854,-0.48270985351573537
1855,-0.2917200145012321
1856,-0.32110578910662924
1857,-0.4889478474066253
1858,-0.37462180298097003
1859,-0.4696107151396914
1860,-0.41509624601488865
1861,-0.7047095445796944
1862,-0.5380956281227703
1863,-0.47420523644135965
1864,-0.4162652755727158
1865,-0.3886014809869129
1866,-0.29510609805491816
1867,-0.28783854802134373
1868,-0.2993536350433023
1869,-0.35061102408218786
1870,-0.3342246315777276
1871,-0.3455423686990057
1872,-0.1857110892968276
1873,-0.19642352621938153
1874,-0.18699834342510913
1875,-0.24824588041702036
1876,-0.31931515370416125
1877,-0.4044432303274709
1878,-0.500868413127224
1879,-0.5231251842644444
1880,-0.27523510152141806
1881,-0.1929592441852389
1882,-0.4172351015303018
1883,-0.44278866989352134
1884,-0.3094432303215437
1885,-0.3303637960427202
1886,-0.35418553233874367
1887,-0.19172063239480383
1888,-0.34151219465629395
1889,-0.41040196843815946
1890,-0.21062149402079117
1891,-0.1745623817332916
1892,-0.24472063239811837
1893,-0.353353635046702
1894,-0.2003942790269677
1895,-0.17430468374770527
1896,-0.39889827821337975
1897,-0.3725516028483845
1898,-0.2554438482179976
1899,-0.19593830429065107
1900,-0.25449310845560175
1901,-0.24137426598450337
1902,-0.43532376995930183
1903,-0.4118585610740992
1904,-0.30919662018316324
1905,-0.2270275906203058
1906,-0.25772001449911214
1907,-0.23662118507250218
1908,-0.2811458151941137
1909,-0.5935506760124404
1910,-0.4172249405328762
1911,-0.16181915286830717
1912,-0.07809655494373333
1913,-0.1771950754253193
1914,-0.0969379953345383
1915,0.02139790113887454
1916,-0.1516408891622569
1917,-0.12644292136017016
1918,-0.29127420076265653
1919,-0.19393799534060027
1920,-0.03911749483605586
1921,-0.08632500573712916
1922,-0.07754267763218592
1923,-0.27862149402503095
1924,-0.4200269727325158
1925,-0.3707193966063309
1926,-0.2104927995029383
1927,-0.27096755148806345
1928,-0.2840174296264074
1929,-0.17672032344395183
1930,-0.004443230302446784
1931,-0.06754236868159619
1932,-0.04610702488910051
1933,-0.013918600184199484
1934,-0.04343399615718367
1935,-0.4068376211790399
1936,-0.2385118856999579
1937,-0.04288904404341159
1938,-0.0972357194101332
1939,-0.04377020157314261
1940,-0.10825449665611993
1941,-0.12289889609594785
1942,-0.13562118506618145
1943,-0.06458146792164007
1944,0.04943700038087534
1945,-0.1538394748627224
1946,-0.1796802973541738
1947,-0.14567044530449824
1948,-0.1517006193473092
1949,-0.048631346058172584
1950,0.0204973484639697
1951,0.04640775318797221
1952,-0.05658177687108477
1953,-0.0734629344018368
1954,-0.0698394748574616
1955,-0.021898896089627123
1956,-0.06022524946043046
1957,-0.18317568028053896
1958,-0.13874002753666306
1959,-0.0033440919271543585
1960,-0.019808991861987167
1961,-0.05015597617713247
1962,-0.10753158978683046
1963,-0.14688811720012565
1964,-0.1526609022073232
1965,-0.13361164196842856
1966,-0.2360171206734745
1967,-0.00106730774623238
1968,0.04446686547309309
1969,-0.19537395703170515
1970,-0.1974718596073863
1971,0.13183324493698556
1972,-0.06150203364131351
1973,-0.044413674162325334
1974,0.12339851904508775
1975,-0.012660902198517343
1976,-0.04317629817159732
1977,-0.24647247751028492
1978,-0.0988693399518454
1979,-0.010869030996399067
1980,0.12104168268417004
1981,0.11513035111166699
1982,-0.12196755147873653
1983,-0.06876927472496117
1984,0.16177351475379437
1985,0.25995146951543746
1986,-0.09705683780484621
1987,0.1653880491003481
1988,0.388139585276424
1989,0.36114020317460077
1990,0.17408139982755566
1991,0.17850689157149263
1992,0.021368036046348387
1993,0.0837445765061351
1994,0.03921009433696795
1995,0.22813035111873925
1996,0.3585952510606478
1997,0.1979523963613253
1998,0.11141760523959396
1999,0.1756546722843727
2000,0.10177444159976015
2001,0.20835818401051967
2002,0.26195208741537956
2003,0.40893207437960116
2004,0.42254537292711075
2005,0.2570515347402514
2006,0.4891891544703714
2007,0.5203277010376693
2008,0.44885325800181525
2009,0.4043975922129581
2010,0.5333375530860155
2011,0.694822466074887
2012,0.58252659569183
2013,0.531655290206503
2014,0.6725155078502323
