time,ohc
1850,-17.576276192947198
1851,-17.110679429955916
1852,-17.28128437881561
1853,-17.142414425510466
1854,-17.19122527569628
1855,-17.222370007471742
1856,-17.669959218888014
1857,-17.44961705920647
1858,-17.78621990468051
1859,-17.525141641812443
1860,-17.72373878951177
1861,-17.638079078086783
1862,-17.99768446692368
1863,-17.700166217394408
1864,-17.846111779335065
1865,-17.657364396070374
1866,-17.58604755354093
1867,-17.53849423473576
1868,-17.338178138378005
1869,-16.90944513533941
1870,-16.85932954738422
1871,-16.352033376594985
1872,-16.149501780556218
1873,-15.704142967534466
1874,-15.304163143696934
1875,-15.45932703622973
1876,-15.18613096654621
1877,-14.895268778452342
1878,-14.981222716653262
1879,-14.72347726570244
1880,-14.783105411022346
1881,-15.154703286247154
1882,-14.890792988569087
1883,-14.623626882789535
1884,-15.869890128913028
1885,-16.527478710637453
1886,-15.832646181589693
1887,-15.428167916986892
1888,-15.97511690224146
1889,-15.942397667039998
1890,-15.396657896561008
1891,-15.325003846958277
1892,-15.419415135383204
1893,-15.79877682188392
1894,-15.702945037667867
1895,-15.016637300260783
1896,-15.517725644022063
1897,-15.911083429942597
1898,-15.85806836576409
1899,-16.163856539990938
1900,-16.091720838085845
1901,-15.98570741867293
1902,-15.961098764219756
1903,-16.675365282574916
1904,-16.637039856764332
1905,-16.73956172593754
1906,-16.811808455183503
1907,-16.26836118819792
1908,-16.12514680175903
1909,-16.247068636721238
1910,-16.472010702109827
1911,-16.562202877825197
1912,-17.040018912567003
1913,-17.58482940196303
1914,-17.551772959688286
1915,-17.225453214346174
1916,-17.011160143373488
1917,-17.009765918932267
1918,-16.583614309851946
1919,-16.552291714955846
1920,-15.89086481351599
1921,-15.42072129314766
1922,-15.228323015700681
1923,-14.730052413662728
1924,-15.035503380819646
1925,-14.860357010890617
1926,-15.157495073055953
1927,-14.887573936282164
1928,-14.468492599529647
1929,-14.31274619538626
1930,-14.223994245900451
1931,-13.730299088450233
1932,-14.23666597815315
1933,-14.397532189915717
1934,-14.441661399897852
1935,-14.868010602537247
1936,-14.639037455595725
1937,-14.143820337419312
1938,-14.155112138314104
1939,-13.65518469271997
1940,-13.242065878454751
1941,-13.216570923215967
1942,-13.173409849563477
1943,-12.808164852225895
1944,-12.518920753485576
1945,-12.68755077652405
1946,-12.51968656556857
1947,-12.05135389639129
1948,-12.008472150801214
1949,-11.906494644662807
1950,-11.585106675786605
1951,-11.548669104986187
1952,-11.793579354680983
1953,-11.784854654661142
1954,-11.767470280170636
1955,-11.977395062520463
1956,-11.753556016291505
1957,-11.69578230808685
1958,-12.014824726176984
1959,-11.82805176414402
1960,-11.55696499852221
1961,-12.001336651450126
1962,-12.510901470243656
1963,-12.561484417417894
1964,-13.502250795640183
1965,-13.989439168605642
1966,-13.610554403726418
1967,-13.765197889750873
1968,-13.963419076177644
1969,-13.861171804379266
1970,-13.604360466236333
1971,-13.470383535194472
1972,-13.435824256998423
1973,-13.767273372368866
1974,-13.706388301295156
1975,-13.993498735898507
1976,-13.814422143724777
1977,-14.021168121788874
1978,-14.064343589565377
1979,-13.84127508610364
1980,-13.741040989742968
1981,-13.486242827034388
1982,-13.031848378266057
1983,-13.346951011705691
1984,-14.067690392061195
1985,-13.450418971953376
1986,-13.173937902368188
1987,-13.153586610241053
1988,-13.02370347148121
1989,-11.988118841527307
1990,-11.531094682192279
1991,-10.851057482545597
1992,-10.953126386627133
1993,-11.460832037624542
1994,-11.116874861079413
1995,-10.636366506079167
1996,-10.289500290908283
1997,-9.550299889299952
1998,-8.61870835677959
1999,-8.170208989085245
2000,-7.541927512002477
2001,-6.427644831471295
2002,-5.175009683693031
2003,-4.499133717745039
2004,-3.4453338756617526
2005,-2.8115810907998466
2006,-2.466381281590939
2007,-1.4964810322108075
2008,-0.9178072194309732
2009,-0.7970075284332847
2010,-0.3775406680024088
2011,0.8287426235777634
2012,1.593363392469904
2013,2.5575804474251544
2014,3.887112356995438
