time,ohc
1850,-12.610441750455772
1851,-12.35971422741295
1852,-12.388041611320824
1853,-12.727847100377693
1854,-12.815327303742567
1855,-12.762162126315845
1856,-12.923205459449939
1857,-13.183174820670576
1858,-13.15659440922573
1859,-13.144279452802863
1860,-13.756866850743421
1861,-14.16936633786832
1862,-14.493457819067897
1863,-14.005023201321762
1864,-14.062234231240303
1865,-14.520987805734883
1866,-14.711204495446701
1867,-14.55542888245891
1868,-14.219379535330146
1869,-14.380341038573645
1870,-14.144874153039863
1871,-13.70571677911321
1872,-14.431848396129006
1873,-14.51477506033159
1874,-14.57414011499874
1875,-15.00802838241281
1876,-14.596967352686224
1877,-14.904475694330674
1878,-15.327121663165855
1879,-15.612724828779946
1880,-15.170462468516256
1881,-15.207198070738745
1882,-15.214968197059974
1883,-15.227997334466853
1884,-16.06947445934649
1885,-16.413651023290168
1886,-16.624387361593325
1887,-15.858680321187444
1888,-15.692657592104476
1889,-15.29772633158477
1890,-15.480863916928037
1891,-15.773735263089495
1892,-15.446818410689653
1893,-15.191808254550594
1894,-15.50045663396229
1895,-15.855793666597613
1896,-15.544508992161113
1897,-15.236682040021652
1898,-15.5501548646684
1899,-15.251044645904916
1900,-14.791474869671795
1901,-14.666799952836218
1902,-14.869814740247108
1903,-16.31017007014812
1904,-16.498484836683087
1905,-15.885081237003986
1906,-15.37060366541479
1907,-15.43599622847382
1908,-15.083344937295633
1909,-14.480169649214055
1910,-14.120023492314369
1911,-14.262292052152771
1912,-14.620570411343946
1913,-14.540990739616507
1914,-14.40902883773926
1915,-14.057164848364957
1916,-13.782611421620622
1917,-13.486297674129458
1918,-14.358875495161314
1919,-14.065874614683658
1920,-14.1780188563559
1921,-14.502570319803704
1922,-14.591008096660339
1923,-14.38749223447895
1924,-14.068549034543125
1925,-13.8575383066436
1926,-14.419135613769994
1927,-13.755711689362812
1928,-13.270470499744286
1929,-13.321868513847392
1930,-12.371605106200953
1931,-12.073263384750412
1932,-12.491689745878944
1933,-11.9570894825537
1934,-11.425946941522142
1935,-11.671015013097069
1936,-11.294493597322084
1937,-10.48191543941709
1938,-10.162745554310497
1939,-10.506305088124737
1940,-10.631763823237241
1941,-11.030873598934619
1942,-11.339774079921423
1943,-11.720581257165657
1944,-12.42907813865636
1945,-12.71412729954067
1946,-12.77927437292792
1947,-12.424576303292701
1948,-12.518254286733969
1949,-13.0404941465804
1950,-12.83847105812626
1951,-12.441763925218929
1952,-12.642939814845905
1953,-12.825957961303272
1954,-12.589130964731453
1955,-12.382781022285792
1956,-12.646422598379921
1957,-12.718982707601429
1958,-12.742763164246991
1959,-12.717763968316609
1960,-12.798895955630563
1961,-13.268961466003654
1962,-13.067001402942452
1963,-13.347641879941293
1964,-14.263992444038559
1965,-14.367816909193468
1966,-14.338201148704503
1967,-14.679506023385242
1968,-13.970514679027374
1969,-13.904438576919013
1970,-14.295744971833532
1971,-13.77185180685169
1972,-13.418936221504069
1973,-13.173953108192748
1974,-12.860376165627438
1975,-12.858277328211125
1976,-12.216576115555462
1977,-11.666595775835273
1978,-11.927050535708482
1979,-11.632563493403552
1980,-11.633342957150155
1981,-11.156636036632122
1982,-11.173337388909129
1983,-11.52673488937229
1984,-11.272953212791045
1985,-11.582830071763908
1986,-10.96309706053154
1987,-10.184705780614792
1988,-10.43110296613578
1989,-9.66142841960172
1990,-9.08975078452764
1991,-9.083532973796279
1992,-9.51488348340976
1993,-9.537196582729065
1994,-9.51253131826103
1995,-8.86987914401694
1996,-7.692099344276115
1997,-7.454447436901749
1998,-7.4165937297826865
1999,-6.477950773076123
2000,-5.546368116240461
2001,-5.04875120217578
2002,-4.016006662614364
2003,-3.318156982447139
2004,-2.9119712307542223
2005,-2.8875138469626567
2006,-2.0541329418025973
2007,-1.2512290907653398
2008,-0.675142771809151
2009,-0.2592262997588923
2010,-0.2052240189352962
2011,0.5424193007858871
2012,1.7063051859590344
2013,2.2687054710206622
2014,2.8150390122683504
