time,ohc
1850,-19.92217023067633
1851,-19.508580102338684
1852,-19.76185860996479
1853,-19.203147658100818
1854,-18.81775221412203
1855,-18.648903208948294
1856,-18.67858775470025
1857,-18.74829243797369
1858,-19.45604513659315
1859,-19.44007152636433
1860,-18.98137265831677
1861,-18.782451160000853
1862,-18.868525074463815
1863,-19.005426859179902
1864,-18.98060443710009
1865,-18.482434847788497
1866,-18.143170456053216
1867,-17.833118469111124
1868,-18.289006001499516
1869,-17.85184607891718
1870,-16.98817249760687
1871,-16.450923971213417
1872,-16.331966227949106
1873,-15.874757976605322
1874,-16.187091822169233
1875,-16.325092439416988
1876,-16.114034815846907
1877,-16.204184204153172
1878,-16.040743657437822
1879,-16.070432795282336
1880,-15.799698489601429
1881,-15.637433295412462
1882,-15.617861699702338
1883,-15.315879548352871
1884,-16.33463386323184
1885,-17.02594540275627
1886,-17.00433836617077
1887,-16.36167848168764
1888,-15.834692863854233
1889,-15.98358232592091
1890,-15.988760469077764
1891,-16.46987063659922
1892,-16.447011727489276
1893,-15.894965698700696
1894,-15.57567770782136
1895,-15.301813720829328
1896,-15.543510111557978
1897,-15.538821722419451
1898,-16.265848365631207
1899,-16.424059535821666
1900,-16.436758098306992
1901,-16.921786107586414
1902,-16.841601221415047
1903,-17.55437518640999
1904,-18.202694539187153
1905,-18.435307965974697
1906,-17.899162864198754
1907,-17.49310233937805
1908,-17.267562477596954
1909,-17.134280128206967
1910,-17.437301449838916
1911,-17.37505293155556
1912,-16.916912663957273
1913,-17.33999439816038
1914,-17.392402426085706
1915,-17.756825198619023
1916,-17.523611877506607
1917,-17.505143706417353
1918,-17.092585074795068
1919,-16.712841425543186
1920,-16.587471279663838
1921,-16.56336509011864
1922,-16.255047056152204
1923,-16.06780715519461
1924,-16.60507713143286
1925,-16.5447110140321
1926,-16.234357539186934
1927,-16.072101529186437
1928,-15.807563842407397
1929,-16.222503813109007
1930,-16.025397379862735
1931,-16.035830941478476
1932,-16.73835118209849
1933,-17.09361447068927
1934,-17.29075613005802
1935,-17.299154250801745
1936,-17.435835659708744
1937,-17.169420164143023
1938,-17.09793564192578
1939,-17.30604266611487
1940,-17.16329016070423
1941,-17.06596165918089
1942,-17.41394327261917
1943,-17.367834425531132
1944,-17.23385421197341
1945,-16.990387166486066
1946,-16.9436523831358
1947,-17.315208382914683
1948,-16.885582655938492
1949,-16.83642064753739
1950,-17.06685018554263
1951,-17.25624186558535
1952,-17.05154308510174
1953,-17.148051316487766
1954,-16.879289707961842
1955,-16.911735111312254
1956,-17.050848337362645
1957,-16.738229861647905
1958,-16.71240808750064
1959,-16.31951518464946
1960,-15.995463039940844
1961,-15.960008885588318
1962,-16.587820789615616
1963,-16.504515406318237
1964,-17.19615598630109
1965,-17.304570782947078
1966,-17.217036885810256
1967,-17.808980646157448
1968,-17.439427977560104
1969,-17.61425630729782
1970,-17.20766014249063
1971,-17.18693156262436
1972,-17.24405018484033
1973,-17.476285603726733
1974,-17.19014163567287
1975,-17.025075800627842
1976,-17.573712110047015
1977,-17.95522034630447
1978,-17.398648907869294
1979,-17.00458524458429
1980,-16.43438706419117
1981,-16.064523723512348
1982,-15.58517355090055
1983,-15.581755402656706
1984,-15.45083753459716
1985,-14.956451115417625
1986,-14.395808795231702
1987,-14.06432193537445
1988,-13.895342850670728
1989,-12.829713733412357
1990,-12.493998359715665
1991,-12.290168851762807
1992,-12.302885782621722
1993,-13.061728056136426
1994,-12.787022349165639
1995,-12.467676206655113
1996,-12.62065951093868
1997,-11.62301106347388
1998,-10.587927335623776
1999,-10.035980787296062
2000,-9.149386308466084
2001,-8.573005285448778
2002,-7.400789457577706
2003,-6.679287611034079
2004,-5.196232391084755
2005,-3.7477934422977954
2006,-3.101319788613476
2007,-1.8770242179614691
2008,-0.6621268754279623
2009,-0.013225996696165221
2010,0.3488781804748629
2011,0.9789826029730154
2012,1.8356576286603081
2013,2.5856648316442707
2014,3.652307077244412
