year,ohc
1850,-4.903893688728475
1851,-4.987827921963909
1852,-5.257072309806575
1853,-5.407845745314434
1854,-5.642656576835714
1855,-5.694237676424366
1856,-5.549876624024546
1857,-5.588437823715026
1858,-5.472794547816912
1859,-5.173885150590568
1860,-5.016403918612749
1861,-4.867063262190858
1862,-4.788803254684766
1863,-4.817797268089787
1864,-5.0472044308729
1865,-5.1228804802257235
1866,-5.206293183732534
1867,-5.239822459140137
1868,-5.179780421725241
1869,-5.183334618034684
1870,-5.069169264091343
1871,-4.778874845418173
1872,-4.764313516776913
1873,-4.9043884915421945
1874,-4.876211607484988
1875,-4.758236116241512
1876,-4.775138573748997
1877,-4.58428738796239
1878,-4.497987811123737
1879,-4.392088563937637
1880,-4.358875838807281
1881,-4.348166703304882
1882,-4.442355290998697
1883,-4.410851221959982
1884,-4.1906273474590545
1885,-4.07167640303452
1886,-4.018753299174024
1887,-4.477757832582759
1888,-4.868461164369421
1889,-5.0664733609071675
1890,-5.275728387315245
1891,-5.3669539791886915
1892,-5.352715870929505
1893,-5.2809496040009964
1894,-5.1973108405186865
1895,-4.928612872557887
1896,-4.791698850607279
1897,-4.882184047472171
1898,-4.78430783694948
1899,-4.556438477104937
1900,-4.453242677553228
1901,-4.3859771402656085
1902,-4.431600741831525
1903,-4.410253566567993
1904,-4.47747196052161
1905,-4.511324385956285
1906,-4.4726519926274
1907,-4.283925657770361
1908,-4.245108856261039
1909,-4.172926104965704
1910,-4.400316013061764
1911,-4.7018173940791135
1912,-4.6740465180770165
1913,-4.844566517984856
1914,-5.025839527262553
1915,-5.128163884052192
1916,-5.136977569727737
1917,-5.297390932544033
1918,-5.778709303073468
1919,-5.641155521417427
1920,-5.36378587553522
1921,-5.238350986535743
1922,-5.103205475725843
1923,-5.063634825253835
1924,-4.784962612643982
1925,-4.565488882040176
1926,-4.586241250100383
1927,-4.605895546123389
1928,-4.77060136397531
1929,-4.385203228129421
1930,-4.265709286946316
1931,-4.122793405870681
1932,-3.5321768622526926
1933,-3.2273132317972335
1934,-3.113058585786174
1935,-3.0617817500920355
1936,-3.4545341805390497
1937,-3.1762728955291832
1938,-3.147260990925931
1939,-3.5665834385378536
1940,-3.555195875182827
1941,-3.3204961683605725
1942,-2.876599701811066
1943,-2.741742369810223
1944,-2.6103765645398918
1945,-2.4278495981635153
1946,-2.7087829416886895
1947,-2.7520025283430973
1948,-2.709705020974435
1949,-2.459195034846023
1950,-2.4173606178056266
1951,-2.323423090562801
1952,-1.9649213125404528
1953,-1.8762022775722365
1954,-1.7907842695441962
1955,-1.7768295963748422
1956,-1.5138607540783733
1957,-1.353535868358032
1958,-1.3344067281155598
1959,-1.3019127633570062
1960,-1.344843840950297
1961,-1.4639849925438924
1962,-1.660079336787832
1963,-1.5107535841361055
1964,-1.523437599009982
1965,-1.5883935868621797
1966,-1.9481701582920539
1967,-2.0440633160449115
1968,-2.3478245364362493
1969,-2.3012838641761615
1970,-2.459952871751127
1971,-2.498067155410423
1972,-2.6443181306807655
1973,-3.023956916442164
1974,-2.968670788700593
1975,-2.831136051355603
1976,-2.6824533658914698
1977,-2.577873709968695
1978,-2.441734050239359
1979,-2.5291497834289185
1980,-2.294138919818781
1981,-2.243452853371514
1982,-2.334686748798006
1983,-2.2859594766779927
1984,-2.170940291936092
1985,-2.200838790681596
1986,-2.164036026056083
1987,-2.338436045226949
1988,-2.3888586587513645
1989,-2.4071703029726392
1990,-2.5558486386038464
1991,-2.517357362767651
1992,-2.543717607916155
1993,-2.5860365927463818
1994,-2.9332699522254204
1995,-2.7598462258639227
1996,-2.728505452856191
1997,-2.69028986096517
1998,-2.528818900976372
1999,-2.4936682507030055
2000,-2.355649479504776
2001,-2.2690807193910336
2002,-2.1089829321761573
2003,-1.7387645210148501
2004,-1.3474043357453303
2005,-1.3469472900234702
2006,-1.3168704145241672
2007,-0.9802535502332566
2008,-0.5780439442845782
2009,-0.17655454620101807
2010,0.28888012619159475
2011,0.5794156646036397
2012,0.9714266256817998
2013,1.2272147945232517
2014,1.3317325342662079
