years,ohc
1851,-6.951470680236817
1852,-7.253997297286988
1853,-7.4974943351745615
1854,-7.2189484786987315
1855,-7.097199935913086
1856,-7.222637815475465
1857,-6.923800582885743
1858,-6.4294278335571295
1859,-6.123211975097657
1860,-5.96272518157959
1861,-6.023599548339845
1862,-6.958849449157715
1863,-7.519630403518677
1864,-7.320405597686769
1865,-7.294580144882203
1866,-7.313026876449586
1867,-8.00293509706855
1868,-7.8830312681198125
1869,-8.196625907421113
1870,-8.60798828125
1871,-8.726047439575195
1872,-9.500810642242433
1873,-9.628093261718751
1874,-10.081883163452147
1875,-11.050337142944336
1876,-11.135192222595217
1877,-11.050337142944336
1878,-11.435874099731446
1879,-11.836168594360352
1880,-11.559467239379885
1881,-11.358397598266603
1882,-11.631409759521485
1883,-11.555778045654296
1884,-13.334044189453124
1885,-15.412992401123047
1886,-15.224835510253905
1887,-15.136291046142578
1888,-14.902017517089844
1889,-14.29511978149414
1890,-14.184439010620117
1891,-14.315410919189453
1892,-14.791337127685546
1893,-14.863279266357422
1894,-14.916775054931641
1895,-14.641918487548828
1896,-14.656676025390624
1897,-14.953668518066406
1898,-14.896483154296874
1899,-14.759977264404297
1900,-15.010853118896485
1901,-14.876192016601562
1902,-14.750754089355468
1903,-15.086484832763672
1904,-15.804062957763671
1905,-15.9719287109375
1906,-16.010666961669923
1907,-16.333484954833985
1908,-16.40542709350586
1909,-16.58804962158203
1910,-16.735623474121095
1911,-16.65445816040039
1912,-16.709797973632813
1913,-17.28349182128906
1914,-17.42922164916992
1915,-17.292715759277343
1916,-16.259698028564454
1917,-15.505225677490234
1918,-15.529206390380859
1919,-15.304156799316406
1920,-14.575509948730469
1921,-14.553374023437499
1922,-14.204730529785156
1923,-14.239779205322264
1924,-15.082795257568359
1925,-15.47755615234375
1926,-15.265418548583984
1927,-14.599490661621093
1928,-13.990748138427733
1929,-13.904048461914062
1930,-13.880067749023437
1931,-12.920837326049805
1932,-12.293648071289065
1933,-12.40617286682129
1934,-12.31762878417969
1935,-12.13500587463379
1936,-12.365590209960938
1937,-12.369279403686525
1938,-12.745593185424804
1939,-12.22170555114746
1940,-11.683060379028321
1941,-11.522573776245117
1942,-11.389757080078125
1943,-11.411893386840822
1944,-11.421116561889647
1945,-11.113056106567385
1946,-11.07431785583496
1947,-11.127813453674317
1948,-11.590826721191409
1949,-10.856646270751952
1950,-9.998872680664064
1951,-9.701880187988282
1952,-9.617025108337405
1953,-9.973047370910644
1954,-10.6924702835083
1955,-11.070628662109378
1956,-11.397135848999024
1957,-11.245872802734377
1958,-10.950724716186524
1959,-11.376844711303713
1960,-11.517039794921878
1961,-12.051995391845704
1962,-12.609087295532229
1963,-13.583075256347655
1964,-15.099397583007812
1965,-15.448041076660155
1966,-15.516294403076172
1967,-15.892607421874999
1968,-16.117657775878907
1969,-15.933190460205077
1970,-16.560380096435548
1971,-16.766983337402344
1972,-16.81309997558594
1973,-17.14145233154297
1974,-17.737282104492188
1975,-18.434569091796877
1976,-17.844272918701172
1977,-17.335142822265624
1978,-17.200481719970703
1979,-17.211549682617186
1980,-16.591739196777343
1981,-16.043870849609373
1982,-16.058628387451172
1983,-16.604651947021484
1984,-17.70223342895508
1985,-17.484561462402343
1986,-17.26689025878906
1987,-16.903489227294923
1988,-16.62863265991211
1989,-15.881539459228515
1990,-15.027455444335937
1991,-14.14201156616211
1992,-15.412992401123047
1993,-16.283678741455077
1994,-15.855713958740234
1995,-14.477742309570312
1996,-13.35618049621582
1997,-12.022480697631837
1998,-10.471109313964845
1999,-8.941874332427979
2000,-8.001090423464776
2001,-6.8647710037231455
2002,-6.274475212097169
2003,-6.28000919342041
2004,-5.435148353576661
2005,-4.616112823486328
2006,-3.979700393676758
2007,-3.1237715911865243
2008,-1.4912348937988285
2009,-0.44899398803710966
2010,0.41800354003906226
2011,1.235194091796875
2012,2.613165740966797
2013,3.976379852294922
2014,5.417070465087891
