year,ohc
1850,-4.735608352177294
1851,-6.041353225502292
1852,-5.066979720356379
1853,-3.8364385259853853
1854,-3.3653655071681
1855,-3.046664255042919
1856,-3.4910254925379585
1857,-3.3742752903214033
1858,-2.0241547801701807
1859,-2.15329657841861
1860,-3.235042751459411
1861,-2.744200951372756
1862,-2.8235241727896763
1863,-4.376308412588737
1864,-4.731734534201078
1865,-4.766046742657094
1866,-2.814169207297943
1867,-3.020044760191486
1868,-3.870936483310714
1869,-4.761897577179392
1870,-4.865539661226858
1871,-4.012141335916264
1872,-3.386263931720985
1873,-4.216260114966034
1874,-4.370992540950122
1875,-3.227675803338313
1876,-1.6182094634475672
1877,-2.0135423097374945
1878,-2.5305131258184708
1879,-1.7654661141441568
1880,-1.4024373193672317
1881,-1.135025539255678
1882,-0.9357381926185262
1883,-1.2293785280858702
1884,-3.8127542967075683
1885,-4.256389118415812
1886,-3.3220191129821033
1887,-2.3105057055746334
1888,-1.8595951658706165
1889,-1.9155175418004637
1890,-2.409620794672213
1891,-3.240114016103404
1892,-4.2169737894987005
1893,-4.5737569696865
1894,-5.116068002523356
1895,-4.1831314519595155
1896,-3.950887290839612
1897,-2.8733369392210646
1898,-1.3899188639961553
1899,-0.6523543132882446
1900,-1.23715290776886
1901,-2.330070473612521
1902,-2.777879150098423
1903,-2.854720231612577
1904,-2.4719295079460846
1905,-1.5308211970892622
1906,-0.6402502913031078
1907,-0.853695693379477
1908,-1.0813084415243632
1909,-2.0660399465819426
1910,-2.633976439809956
1911,-1.7715146135937978
1912,-1.4758936149630362
1913,-2.019934435274941
1914,-1.9011788889925325
1915,-1.7829230918177763
1916,-3.012200451847284
1917,-3.9601501424013943
1918,-3.2289094261170526
1919,-1.8619764647241484
1920,-2.2076839683861653
1921,-2.377742962433627
1922,-2.6862633081643557
1923,-3.335307055601028
1924,-3.472364391931033
1925,-3.7949126080071087
1926,-3.521193162061915
1927,-2.9915563401557597
1928,-3.627289364721231
1929,-4.204835929156737
1930,-4.261462693367381
1931,-3.9430607033277507
1932,-2.4901325791152757
1933,-2.333237683933411
1934,-3.131522689044296
1935,-3.4883034592022515
1936,-3.2276135133623356
1937,-2.5224450337661524
1938,-2.927716826571385
1939,-3.4003445973436497
1940,-3.1186885042088917
1941,-2.5966624145302104
1942,-3.012671899669948
1943,-4.032995949655246
1944,-4.245618240184989
1945,-4.891586506504732
1946,-5.53088205525595
1947,-4.841483442268298
1948,-4.121558196045176
1949,-3.0731625409110452
1950,-4.974741047007494
1951,-5.485143376284501
1952,-5.060374030442613
1953,-3.7901858412708704
1954,-2.802167925139594
1955,-2.1815179924184283
1956,-2.116544066666243
1957,-2.2592935505177327
1958,-2.074653465471584
1959,-1.9177863914282873
1960,-1.7346151402788852
1961,-2.294199635375197
1962,-3.24574164703135
1963,-3.6283272786530385
1964,-4.231085341688043
1965,-3.8037271294764174
1966,-2.832859335527237
1967,-2.3359971919411073
1968,-2.8771973199763408
1969,-2.7034231536988615
1970,-2.6833318450318027
1971,-1.503791992130504
1972,-0.9552747576643292
1973,-2.6971729249439074
1974,-3.553768241315122
1975,-3.12821390795642
1976,-3.567333797449973
1977,-4.744069058875886
1978,-4.956715823228793
1979,-5.2865817689561805
1980,-6.000353824685487
1981,-6.108227377019681
1982,-5.531473917915596
1983,-4.468880825660111
1984,-4.82735459347256
1985,-6.886973944870723
1986,-7.231950202151559
1987,-6.108886525203921
1988,-6.037084019780911
1989,-4.411741992506442
1990,-3.1060439221788014
1991,-2.4561136203300435
1992,-4.1197327653315465
1993,-4.564761328099418
1994,-3.632916121083884
1995,-4.979731261935248
1996,-6.480778927497511
1997,-5.948550147858775
1998,-5.187736566999803
1999,-4.308491598175453
2000,-3.7456972850780748
2001,-2.9276473646013184
2002,-1.6523320573403661
2003,-2.7354794196493852
2004,-4.2413976607398665
2005,-4.571109314659972
2006,-3.2261288990548054
2007,-1.3882453053121053
2008,0.500010406326878
2009,1.8079283813401248
2010,2.7774116238791424
2011,1.7136183422791
2012,0.7078109014538261
2013,0.6980759286253799
2014,0.9806279351224272
