time,ohc
1850,-19.840878173103082
1851,-19.757003577606998
1852,-19.793073529597105
1853,-19.167328694824274
1854,-18.724573515138918
1855,-18.51524407662876
1856,-19.20221465349818
1857,-19.566012735862955
1858,-19.471541664570772
1859,-19.53844478290948
1860,-19.898216172444098
1861,-20.32209215702142
1862,-20.604725814740142
1863,-20.146287978993822
1864,-19.831211444992306
1865,-19.994535927413324
1866,-20.047239992382075
1867,-20.261318246978362
1868,-20.215269114671273
1869,-20.305376128947852
1870,-20.55145346648949
1871,-20.28342169793069
1872,-19.679608413343644
1873,-19.827992041047523
1874,-19.43164465324797
1875,-18.91567040405312
1876,-19.58059979883454
1877,-19.20364247245675
1878,-19.231233322171914
1879,-19.04733158226941
1880,-18.828463554039534
1881,-18.617860168405517
1882,-18.36508533928633
1883,-18.392569759842804
1884,-19.33256579487632
1885,-20.46455792894706
1886,-19.91520582189941
1887,-19.8910882397781
1888,-20.12741573065776
1889,-20.063987481281313
1890,-19.834098862009114
1891,-20.397836797162476
1892,-20.40423469529216
1893,-20.1685180944012
1894,-20.005912532499337
1895,-19.514730609720292
1896,-18.94535146768729
1897,-18.77871921295527
1898,-19.11030215132048
1899,-18.682800708334558
1900,-18.546366247755937
1901,-18.625344640466448
1902,-19.009800325893124
1903,-19.802406764986628
1904,-19.52970972866565
1905,-19.22204640401394
1906,-19.12979593265136
1907,-19.278176357615063
1908,-19.555507774011353
1909,-19.36556359281101
1910,-19.4522760837091
1911,-19.331098562573455
1912,-19.223589550396138
1913,-19.816040075643482
1914,-19.4908928061422
1915,-18.78853437847468
1916,-18.766321311557128
1917,-18.55603240927718
1918,-18.056795499469427
1919,-17.33705955610767
1920,-17.30287283986171
1921,-17.874978644026093
1922,-17.700609088362963
1923,-16.96709820688083
1924,-16.68316772120686
1925,-17.155036725401043
1926,-17.035341205587994
1927,-16.941923216253524
1928,-16.847763425575234
1929,-17.246414961628336
1930,-17.049899396093632
1931,-17.122835347502942
1932,-17.48863957011152
1933,-17.43039912604669
1934,-17.0669990753633
1935,-16.5389399435694
1936,-16.32536454843471
1937,-15.673334176324463
1938,-15.533929307616944
1939,-15.656770800702356
1940,-15.593337747213969
1941,-15.662458262735385
1942,-15.694811201140821
1943,-14.977086202134814
1944,-14.404523793662225
1945,-14.679626603276795
1946,-14.921564413349238
1947,-14.856541328011147
1948,-15.277124414253377
1949,-15.927530664086886
1950,-15.83326284288149
1951,-15.340168398046558
1952,-15.588463132774269
1953,-15.825208333419795
1954,-15.702755263788518
1955,-15.824535668057383
1956,-16.010420667372305
1957,-15.683997849378748
1958,-15.87560440115374
1959,-16.057462707641868
1960,-15.97198847206548
1961,-15.975836874575663
1962,-16.616599706905877
1963,-17.362896776420133
1964,-17.89770125631672
1965,-18.608290236153064
1966,-18.568801278581322
1967,-18.56639758422316
1968,-18.47498893787603
1969,-17.986554956691332
1970,-18.04136838831569
1971,-18.430479733277295
1972,-18.36492450216253
1973,-18.31844164637526
1974,-18.307242765016323
1975,-17.765723178456117
1976,-17.879130909605376
1977,-17.58830815075927
1978,-17.08779409108747
1979,-16.51448667852752
1980,-16.10795732195757
1981,-15.835782823189394
1982,-15.53044332487909
1983,-15.672882933584981
1984,-15.45972684958793
1985,-14.950417602911992
1986,-14.906900351141685
1987,-14.42132554481525
1988,-13.515308649395985
1989,-13.235398451065102
1990,-12.599892560034629
1991,-12.080728638913131
1992,-12.227299768232749
1993,-12.439776781383674
1994,-11.801303684964473
1995,-11.090037235657128
1996,-10.738286742720835
1997,-10.054357311336853
1998,-9.19496106611072
1999,-8.133078675213316
2000,-7.171326655130776
2001,-6.18001221308668
2002,-5.867041842997241
2003,-5.362393059971534
2004,-3.8212614221490835
2005,-3.1944426875922822
2006,-2.9199347542588097
2007,-2.050259719337537
2008,-1.4374271798366631
2009,-0.677948447114718
2010,-0.10145936948695691
2011,1.0719980985205673
2012,1.6589772227890884
2013,3.1437399651281854
2014,4.506756871189126
