year,ohc
1850,-6.747677959257873
1851,-6.661513195670206
1852,-6.603727929607027
1853,-6.627426032062143
1854,-6.880954365707751
1855,-6.7575477095241485
1856,-6.610465467000653
1857,-6.860208150033577
1858,-6.822194665985672
1859,-6.607100288999579
1860,-6.390834835414113
1861,-6.191852546226811
1862,-6.111950471760803
1863,-5.892396604667629
1864,-6.031869769824858
1865,-5.843114486008634
1866,-5.61305997704104
1867,-5.868973198590087
1868,-6.243073676731132
1869,-6.2232379007064536
1870,-6.064950641245933
1871,-5.945476505332133
1872,-5.8301986586106285
1873,-5.822891762196559
1874,-5.873465735412495
1875,-5.83502252999102
1876,-5.677281284019124
1877,-5.496813777138606
1878,-5.5029673100443945
1879,-5.691083237401073
1880,-5.868768017130936
1881,-6.108679352883804
1882,-6.037871142732099
1883,-5.808201235578917
1884,-5.8619804465156635
1885,-5.970790979435302
1886,-6.009546317296302
1887,-5.960659016302876
1888,-5.77861616338438
1889,-5.582304784121309
1890,-5.46213100170461
1891,-5.242680135596287
1892,-5.195565103571946
1893,-5.114799381015445
1894,-5.19549754405249
1895,-5.425600523258463
1896,-5.530134042134021
1897,-5.59613983098906
1898,-5.637747942299364
1899,-5.415125716938615
1900,-5.260094445879377
1901,-5.498920765113648
1902,-5.621839552361198
1903,-5.651346903569715
1904,-5.942037912939672
1905,-5.866286899901114
1906,-5.8639749991188435
1907,-5.575482137655745
1908,-5.3671070876630775
1909,-5.292683948495193
1910,-5.273128366213813
1911,-5.373110085675993
1912,-5.281492327430597
1913,-5.305856920079464
1914,-5.185877144317951
1915,-5.0797621477029455
1916,-5.122801909148167
1917,-5.074780963710154
1918,-5.076190194033323
1919,-5.047939088130878
1920,-5.107633135022153
1921,-5.108382907325577
1922,-5.237309612007223
1923,-5.238573167979853
1924,-5.4919139375586585
1925,-5.388667358629225
1926,-5.336156998473302
1927,-5.185461415425564
1928,-4.986671243602618
1929,-5.035180175638172
1930,-5.143322754309352
1931,-4.844135200707267
1932,-4.7043730957552405
1933,-4.49694754631856
1934,-4.294801272536965
1935,-4.325569839050272
1936,-4.278811398685418
1937,-4.095091846994486
1938,-4.149142055386765
1939,-4.045373365760508
1940,-4.287164767921864
1941,-4.4418057604706185
1942,-4.15333026977941
1943,-4.317198026921892
1944,-4.307423774449424
1945,-4.388588525155064
1946,-4.354780823743982
1947,-4.254406595219567
1948,-4.322998712610017
1949,-4.2575052817286885
1950,-4.221834820153421
1951,-4.293384502958771
1952,-4.182221644694819
1953,-4.3579401720138495
1954,-4.681291661172303
1955,-4.771519877691907
1956,-4.697277250598122
1957,-4.541920655584909
1958,-4.374957566474564
1959,-4.248568566831772
1960,-3.917398977099298
1961,-3.6496577535382215
1962,-3.58895441503347
1963,-3.3108118488157965
1964,-3.3932278040477315
1965,-3.3440814934641
1966,-3.289238810911614
1967,-3.120052738716752
1968,-2.959156477526617
1969,-3.2068189240597444
1970,-3.4280806352414794
1971,-3.514145005789669
1972,-3.4064106564619654
1973,-3.375410436578838
1974,-3.467940037656724
1975,-3.2319082929071037
1976,-3.1005492974345517
1977,-3.2182984928160523
1978,-3.4965933817187618
1979,-3.4705590562946083
1980,-3.359737863723588
1981,-3.1919579751876372
1982,-3.2164836081369197
1983,-3.391243943425473
1984,-3.331514440857614
1985,-3.089218304268884
1986,-2.9544872971518203
1987,-2.9694969607440216
1988,-3.0903029204003216
1989,-3.266405579822397
1990,-3.181704013158699
1991,-3.137646552162072
1992,-2.823536909007355
1993,-2.6546064652944894
1994,-2.560742416833201
1995,-2.7067993357229447
1996,-2.6513096100801006
1997,-2.664380552812726
1998,-2.732167227248343
1999,-2.595410597226155
2000,-2.6088154658182807
2001,-2.5980414502100544
2002,-2.2689703945138744
2003,-1.7395009015923781
2004,-1.454118193211519
2005,-1.1681658786812346
2006,-0.7739410733980723
2007,-0.6152511950858024
2008,-0.33480658846490474
2009,-0.04768835381113412
2010,0.27809852729702733
2011,0.3270891214705207
2012,0.5156010594353946
2013,0.7435484575025466
2014,1.0755159237356606
