year,ohc
1850,-12.68461315793659
1851,-12.897790385656611
1852,-13.096576764123212
1853,-13.16183992913593
1854,-12.956333009595166
1855,-12.957452999269668
1856,-13.076389452611984
1857,-13.065422470541549
1858,-13.096422163923533
1859,-12.995584246428002
1860,-12.972395922698476
1861,-13.005150108832744
1862,-13.15702813755378
1863,-13.295094161748555
1864,-13.54022711332364
1865,-13.729330961306188
1866,-13.711163833333599
1867,-13.524720913908725
1868,-13.604996434695352
1869,-13.487778653555802
1870,-13.392655550247609
1871,-13.042829544810433
1872,-12.821126940543538
1873,-12.733943930259992
1874,-12.802470558662563
1875,-12.929696945206581
1876,-12.77886872950055
1877,-12.912002627052633
1878,-13.063528125888809
1879,-13.102499215872518
1880,-12.941914689153675
1881,-12.64843171090798
1882,-12.554665954910435
1883,-12.376360138632586
1884,-11.980198468149368
1885,-12.035075199017296
1886,-11.81658618284971
1887,-11.754106348495835
1888,-11.809903468810088
1889,-11.711017035153924
1890,-11.591410826508127
1891,-11.430712621364552
1892,-11.366644728240589
1893,-11.460746712282567
1894,-11.283152974836776
1895,-11.33270125215181
1896,-11.283747139650432
1897,-11.22075339820717
1898,-11.3025045099152
1899,-11.10373326891996
1900,-11.200783259387675
1901,-11.436055021246629
1902,-11.79434930482219
1903,-11.772039415841588
1904,-11.576380607779692
1905,-11.53725725093865
1906,-11.598491942126444
1907,-11.72901230415395
1908,-11.809383490396163
1909,-11.718884822314807
1910,-11.78766555417675
1911,-11.852581538030101
1912,-11.843729724905948
1913,-11.704989556858214
1914,-11.494673930373942
1915,-11.506178063305782
1916,-11.445279293316215
1917,-11.234699827458241
1918,-11.029161313959378
1919,-11.186863060525802
1920,-11.119094553059677
1921,-10.938068867666399
1922,-10.797607896466156
1923,-10.889860593690717
1924,-10.667566705454327
1925,-10.604526199211428
1926,-10.393599718797585
1927,-10.2043121808912
1928,-10.23739410576811
1929,-10.03839351918175
1930,-9.544092426403376
1931,-9.464110794175944
1932,-9.500372938541062
1933,-9.5834127326875
1934,-9.307404409771317
1935,-8.981308262884088
1936,-9.11062739886501
1937,-9.057215692872875
1938,-8.93917153132832
1939,-8.961988717423024
1940,-8.846292637190365
1941,-8.931588995746687
1942,-8.841478735398011
1943,-8.567127913891195
1944,-8.560258030358263
1945,-8.558221778116891
1946,-8.177753981396407
1947,-7.873399801379852
1948,-8.042261575465089
1949,-8.09688942255771
1950,-8.022337317506603
1951,-7.75124711746819
1952,-7.65595403928307
1953,-7.405389487361253
1954,-7.254681544098576
1955,-7.275415700068083
1956,-7.113904355127148
1957,-7.044221770238025
1958,-6.786284691132235
1959,-6.539489542229829
1960,-6.466733808624664
1961,-6.392940049662496
1962,-6.244553867781037
1963,-6.01615392948831
1964,-5.840902656732909
1965,-5.755537801172284
1966,-5.702803312539193
1967,-5.797416306649833
1968,-6.042410606949925
1969,-6.183319241959211
1970,-6.02678249328715
1971,-5.922432931667939
1972,-6.00498075262132
1973,-6.292231574427345
1974,-6.412124833109818
1975,-6.3816747885180085
1976,-6.178984222533243
1977,-6.154709997714271
1978,-6.092326543512286
1979,-5.97079832285906
1980,-5.812339412907123
1981,-5.673272501023586
1982,-5.694002969932032
1983,-5.942764273210066
1984,-5.942855167128786
1985,-5.68989416306629
1986,-5.686016447829879
1987,-5.519401529123257
1988,-5.320604317278541
1989,-5.067154106861536
1990,-4.877240282390325
1991,-4.525666882510496
1992,-4.391558989441149
1993,-4.315390276814284
1994,-3.9020064768678946
1995,-3.6487614743945276
1996,-3.4574806909431537
1997,-3.2349321508109927
1998,-2.943525655511065
1999,-2.6984322648728725
2000,-2.4925988843869042
2001,-2.1956321938872243
2002,-2.0631081438267422
2003,-1.8774222181602216
2004,-1.6671133622486511
2005,-1.4294504164078017
2006,-1.0965072317364495
2007,-0.8951596704416716
2008,-0.5950074538670691
2009,-0.21378189722104146
2010,0.23490757343173563
2011,0.6857100657120743
2012,0.9982381532269464
2013,1.094940474833166
2014,1.2161104024700986
