time,ohc
1850,-4.223317161999236
1851,-4.023642591201333
1852,-3.9297996715714376
1853,-3.687233123215299
1854,-3.4916251481494367
1855,-3.198949866864842
1856,-2.92076923272137
1857,-3.0863658347717426
1858,-3.2921522484786965
1859,-3.265547375292048
1860,-3.366818640930303
1861,-3.47474069926395
1862,-3.473731236370342
1863,-3.290184674528692
1864,-3.1235115975359213
1865,-3.11074421873216
1866,-3.0509118839416445
1867,-2.9097924028396824
1868,-2.9868752645868963
1869,-3.0645942708911917
1870,-2.8741229309519056
1871,-2.8164558052816067
1872,-2.6471665245775604
1873,-2.5630406621995383
1874,-2.6019317493411753
1875,-2.456451576895164
1876,-2.2577071389741765
1877,-2.0968418357018828
1878,-2.0335585108149226
1879,-2.0193227944692995
1880,-1.8399703313927462
1881,-1.6203955144296012
1882,-1.586646490520736
1883,-1.4996999109462599
1884,-1.450965409994967
1885,-1.5423414313536226
1886,-1.6998001413228854
1887,-1.8291184862963772
1888,-1.814871016506858
1889,-1.815997870889067
1890,-1.7972887782159832
1891,-1.8225110538405596
1892,-1.9033088422394489
1893,-2.1472435569669854
1894,-2.3409727525065973
1895,-2.4888459892771433
1896,-2.738348877407531
1897,-2.6593591533301026
1898,-2.4459145944361786
1899,-2.552731189687498
1900,-2.509492012462535
1901,-2.650225131665982
1902,-2.738548887336809
1903,-2.826233080531388
1904,-2.674944183213718
1905,-2.3950034898912294
1906,-2.311009403440941
1907,-2.349730379068891
1908,-2.6062367603434216
1909,-2.9763775582755687
1910,-3.2644954662710024
1911,-3.552932042946912
1912,-3.5606743929666282
1913,-3.459869407447556
1914,-3.489142593204808
1915,-3.626059837793104
1916,-3.707230288979461
1917,-3.8876946987733443
1918,-3.8852639261294515
1919,-3.838126973777972
1920,-3.8616483817718974
1921,-3.6796941444842006
1922,-3.6016408381632297
1923,-3.534187020949254
1924,-3.6144267820060882
1925,-3.745901076966415
1926,-4.0713711971774185
1927,-4.015863101581834
1928,-3.8973048063185085
1929,-3.759603042337412
1930,-3.6928923420019615
1931,-3.6103714942692835
1932,-3.535650252184473
1933,-3.458289600604826
1934,-3.4027508114104883
1935,-3.336408865400675
1936,-3.1159424464033343
1937,-2.921512579690857
1938,-2.860034123420566
1939,-2.946242840202954
1940,-2.756435485492759
1941,-2.563400658607956
1942,-2.692216300892447
1943,-2.6488111941756123
1944,-2.6668537658603544
1945,-2.584016896983326
1946,-2.499575347911339
1947,-2.481133704436903
1948,-2.436207720803041
1949,-2.3761088381790247
1950,-2.6279246332615642
1951,-2.9480420683920254
1952,-3.145307724225235
1953,-3.2611175252701887
1954,-3.2107049115737554
1955,-3.2751262844395925
1956,-3.3209851206145453
1957,-3.2900504246303366
1958,-3.338238032196326
1959,-3.3896938050763525
1960,-3.2696414890568235
1961,-3.290540215643523
1962,-3.306255974768149
1963,-3.136223614384407
1964,-3.084307560829041
1965,-3.0241824247050832
1966,-3.14036712913536
1967,-3.115746625202263
1968,-3.0305394745448937
1969,-3.0770881526490976
1970,-2.9225432533057623
1971,-2.760551117219555
1972,-2.5895733066471225
1973,-2.487685448589977
1974,-2.618142678993101
1975,-2.6080182750076903
1976,-2.83604791873378
1977,-2.850826223430752
1978,-2.8825286495876994
1979,-2.817695756495964
1980,-2.846305443250764
1981,-2.709462417192677
1982,-2.429222284861812
1983,-2.461137082522776
1984,-2.4142536670106747
1985,-2.4328536382201733
1986,-2.26575032643186
1987,-2.224717756119709
1988,-2.145040907743359
1989,-1.920374615958065
1990,-1.7745471101487416
1991,-1.700083253455677
1992,-1.580411320502326
1993,-1.5443511966959738
1994,-1.6578467293217731
1995,-1.6104545867656304
1996,-1.6152426395110528
1997,-1.532206094057077
1998,-1.5344735172141628
1999,-1.5880591030687132
2000,-1.5652922639453524
2001,-1.5854042990601047
2002,-1.6370122234315294
2003,-1.7622333235448826
2004,-1.792619965753531
2005,-1.297108938752257
2006,-0.7756677963075421
2007,-0.5343028129448388
2008,-0.22953909407292805
2009,0.06595389633343383
2010,0.3450765052268647
2011,0.47767706789132075
2012,0.61523895626145
2013,0.691401265511348
2014,0.641270950853149
