year,ohc
1850,-6.990227755358912
1851,-7.138369047289867
1852,-7.462515653999407
1853,-7.567598306269065
1854,-7.61205894756931
1855,-7.488110713863001
1856,-7.170021061637926
1857,-6.962038877059212
1858,-6.892456678337618
1859,-6.645836885651899
1860,-6.434800886265813
1861,-6.337557570249134
1862,-6.3939515791834545
1863,-6.474023229101303
1864,-6.558798122181714
1865,-6.681056917074355
1866,-6.935034067078326
1867,-7.347893322146586
1868,-7.142609040832417
1869,-7.067207825722181
1870,-7.090384703343248
1871,-6.9623940565334514
1872,-6.858205296002158
1873,-6.751743478798879
1874,-6.838609548835893
1875,-6.745527031741542
1876,-6.592806448703249
1877,-6.575255519743593
1878,-6.370281816970398
1879,-6.239070078636606
1880,-6.258171888978254
1881,-6.2607028259870265
1882,-6.437214288958782
1883,-6.302462556006303
1884,-6.112676672508551
1885,-5.912689439465371
1886,-5.880817505941741
1887,-5.914129187888256
1888,-5.79014698262616
1889,-5.757287069006826
1890,-5.609460722231068
1891,-5.582074597082184
1892,-5.710862293051351
1893,-5.875466768023188
1894,-5.839152040559007
1895,-5.832697260557478
1896,-5.8807231712663075
1897,-5.8778928679314095
1898,-6.104187154403114
1899,-6.221791330619309
1900,-6.4000007006096435
1901,-6.423731398829135
1902,-6.403286572197652
1903,-6.464974763718319
1904,-6.444954279498339
1905,-6.256847078113329
1906,-6.089126059491513
1907,-6.18664134626516
1908,-6.346608821835814
1909,-6.325159356146821
1910,-6.108158319221841
1911,-6.151218606198948
1912,-6.257065502970135
1913,-6.190459337830401
1914,-6.2892951795343395
1915,-6.4222859331382
1916,-6.498082780872021
1917,-6.693878115842494
1918,-6.840906475781622
1919,-6.674496182277474
1920,-6.711748880804969
1921,-6.361113388271754
1922,-5.962073542322095
1923,-5.760986759772964
1924,-5.403314911599056
1925,-5.1255749581720735
1926,-5.165388986573682
1927,-5.320187647715471
1928,-5.22243382511025
1929,-5.036471955409082
1930,-4.949829818740897
1931,-5.049125983824602
1932,-4.894395732674514
1933,-4.822925967968035
1934,-4.718059132884688
1935,-4.681835319020486
1936,-4.410381225342171
1937,-4.286472588265649
1938,-4.412961666968631
1939,-4.480482869833024
1940,-4.462004528062875
1941,-4.375512639933503
1942,-4.482757867788995
1943,-4.400761049042139
1944,-4.298965039475483
1945,-4.312504993241563
1946,-4.3548932880824776
1947,-4.255653844192309
1948,-4.352777474671196
1949,-4.179079810787562
1950,-4.1390422098630975
1951,-4.314009327925793
1952,-4.296881302391798
1953,-4.086854854846102
1954,-4.007551767830421
1955,-3.650020581663395
1956,-3.346742009630695
1957,-2.8226894544498977
1958,-2.7873634883119207
1959,-2.6808644582612953
1960,-2.677447186636247
1961,-2.7225213274834523
1962,-2.779419989989812
1963,-2.656388163065067
1964,-2.5158915020334964
1965,-2.441116868734446
1966,-2.424468300061662
1967,-2.4108953089810807
1968,-2.5292812837730283
1969,-2.515337186187547
1970,-2.5198183847498417
1971,-2.409360615818735
1972,-2.4066384187073355
1973,-2.5777085220808953
1974,-2.6406611539938565
1975,-2.4974734825773677
1976,-2.481799615528212
1977,-2.5709244129618734
1978,-2.4660305373691616
1979,-2.600402540443251
1980,-2.4306483104581416
1981,-2.231379934296399
1982,-2.0919880612015165
1983,-2.2085946322109624
1984,-2.1777939265329715
1985,-2.1593467716129986
1986,-2.044412789745121
1987,-1.8741274822572418
1988,-1.8523472492895454
1989,-2.089323747893504
1990,-2.412181384724809
1991,-2.520916269389031
1992,-2.3651451194045077
1993,-2.3736141165547773
1994,-2.4669477654446785
1995,-2.41126490841288
1996,-2.1539696829087243
1997,-2.1204218966868567
1998,-1.780989719184106
1999,-1.332822273521221
2000,-1.0229983720590088
2001,-1.0953028905150362
2002,-1.2459080115597088
2003,-1.310790466603117
2004,-1.215209789312702
2005,-1.0846402857537374
2006,-0.8353738053437159
2007,-0.4785139371335845
2008,-0.20370106242658892
2009,-0.08082899366174967
2010,0.045671561262564886
2011,0.18176375719148918
2012,0.48548444591460704
2013,0.7563497431860204
2014,1.2137885767647036
