years,ohc
1851,-8.336452493667602
1852,-8.484026536941528
1853,-8.668493590354919
1854,-8.841893581151963
1855,-8.900922605991363
1856,-8.915679953098296
1857,-8.517230377197265
1858,-8.048683080673218
1859,-8.196257219314575
1860,-8.321695098876953
1861,-8.55043493270874
1862,-8.78655291557312
1863,-9.122283980846404
1864,-8.926748046875
1865,-8.71645523071289
1866,-8.926748070716858
1867,-8.793931422233582
1868,-8.72752314567566
1869,-8.661115369796752
1870,-8.391793022155762
1871,-8.284801874160767
1872,-8.033926210403441
1873,-8.052372465133667
1874,-7.694505891799927
1875,-7.539552793502807
1876,-7.36246434211731
1877,-7.181686315536499
1878,-7.24440556526184
1879,-7.155860815048218
1880,-7.163239870071411
1881,-7.00828724861145
1882,-7.141103754043579
1883,-7.410425672531128
1884,-7.724020586013793
1885,-8.008100471496581
1886,-8.605774841308593
1887,-8.867718759775162
1888,-8.945194778442383
1889,-9.166555867195127
1890,-9.354712972640991
1891,-9.044807276725768
1892,-8.92305868625641
1893,-8.99315668106079
1894,-9.181313190460205
1895,-9.347333917617796
1896,-9.266168031692505
1897,-9.531801233291624
1898,-9.498597440719605
1899,-9.5133549785614
1900,-9.273546895980834
1901,-9.491218576431274
1902,-9.885979089736939
1903,-9.908115301132202
1904,-9.967144880294802
1905,-9.738405046463013
1906,-9.59821005821228
1907,-9.594520101547241
1908,-9.793745431900025
1909,-9.981901655197145
1910,-10.033553133010864
1911,-10.358215818405153
1912,-10.136854944229125
1913,-10.299186239242552
1914,-10.181126794815064
1915,-10.184816179275513
1916,-10.10365029335022
1917,-9.849085435867309
1918,-9.826949224472045
1919,-9.62772413253784
1920,-9.738405237197876
1921,-9.963455305099489
1922,-10.49841052055359
1923,-10.535304651260375
1924,-10.730839738845825
1925,-10.764043626785279
1926,-10.417245111465455
1927,-9.92656174659729
1928,-9.668307123184205
1929,-9.332576284408567
1930,-9.402674589157105
1931,-8.926748571395875
1932,-8.911990509033203
1933,-9.033739671707151
1934,-9.089079675674439
1935,-9.207138833999633
1936,-9.151798448562621
1937,-9.214517698287963
1938,-9.351023397445678
1939,-9.258789739608764
1940,-9.369470224380493
1941,-9.25141058921814
1942,-9.461703691482544
1943,-9.314129743576048
1944,-8.926748476028441
1945,-8.85665036201477
1946,-8.945194730758667
1947,-8.664804372787476
1948,-8.332763395309447
1949,-8.163053331375123
1950,-7.771981725692749
1951,-7.451008710861206
1952,-7.373532781600952
1953,-7.2886771297454835
1954,-7.233336935043335
1955,-7.296056280136108
1956,-7.340328512191772
1957,-7.1521715259552
1958,-6.964014444351196
1959,-6.860713014602661
1960,-6.731585798263549
1961,-6.654109582901
1962,-6.595079431533813
1963,-6.532360849380493
1964,-6.513914499282837
1965,-6.34051495552063
1966,-6.347893247604371
1967,-6.248281297683716
1968,-6.318378648757935
1969,-6.314689359664918
1970,-6.643041143417358
1971,-6.871781167984008
1972,-6.646730527877807
1973,-6.683623991012573
1974,-6.388476476669312
1975,-6.421680555343627
1976,-6.443816480636596
1977,-6.237213048934937
1978,-6.167115507125856
1979,-6.170804891586304
1980,-6.495467672348022
1981,-6.654109487533569
1982,-6.753722105026245
1983,-6.661487874984741
1984,-6.720518026351929
1985,-6.3220681285858165
1986,-5.964201269149782
1987,-5.654296216964722
1988,-5.414488515853883
1989,-5.580509481430054
1990,-5.5657513713836675
1991,-5.0676894283294684
1992,-4.872154150009155
1993,-4.731958684921265
1994,-4.340887746810913
1995,-3.9129235363006596
1996,-3.7247666454315187
1997,-3.6140860652923594
1998,-3.407482824325562
1999,-3.234083280563355
2000,-3.1086455440521243
2001,-2.6548556423187257
2002,-2.053491315841675
2003,-1.7509651279449465
2004,-1.4779529666900635
2005,-1.4041660404205323
2006,-1.1606690502166748
2007,-0.7991129016876221
2008,-0.12396222114562985
2009,0.2523515605926514
2010,0.24497269630432128
2011,0.44419754981994636
2012,0.7688602352142335
2013,0.9164341831207277
2014,0.8610939884185792
