year,ohc
1850,2.888772002725431
1851,3.1454785681621265
1852,2.6668394668861297
1853,3.273432582694203
1854,3.2629152228519978
1855,2.6362273057541277
1856,2.45741967611801
1857,3.566059223742737
1858,2.727482218926064
1859,1.8547122539841119
1860,2.427931815546673
1861,2.9480186652829037
1862,3.1098204351736594
1863,4.107834811380268
1864,4.370128936741138
1865,3.2217003082728595
1866,2.916869016876735
1867,3.6178303496685817
1868,5.046766387917044
1869,4.442193788335776
1870,3.7300768652039333
1871,4.1129066330334165
1872,3.7904905851509993
1873,2.9481499690130324
1874,3.6179576646969425
1875,4.578804980402423
1876,4.317360008730679
1877,4.559597784035916
1878,4.4809046425917085
1879,4.681412987555965
1880,4.630462217725016
1881,4.665742832330935
1882,4.240139389412509
1883,4.881956755125557
1884,3.5194411456647674
1885,3.5832460779935413
1886,3.3559216521267987
1887,2.809998476779826
1888,2.4937998832860675
1889,2.6046544334352744
1890,2.8226102779083977
1891,2.4930565404834026
1892,0.9706620949389106
1893,1.2480747917797137
1894,3.1199141419741
1895,4.035360740008953
1896,3.5435016554193512
1897,4.417671142635891
1898,4.980437503526042
1899,4.7892892169398396
1900,3.8900081080697007
1901,4.239752864188047
1902,4.73175615925215
1903,4.780827690922978
1904,4.789143236746398
1905,4.559502857101673
1906,5.2908060328585815
1907,4.7324006908895875
1908,4.761148046112942
1909,4.181028561174366
1910,2.7750490891687303
1911,2.5754462463011536
1912,3.233579816230205
1913,1.4270313588523122
1914,0.13708196041105492
1915,1.0722982267256669
1916,1.5023094423182328
1917,1.296487567891595
1918,2.5104262648553033
1919,3.5809260118393498
1920,2.8445861508867267
1921,1.989512360696261
1922,2.361980390941122
1923,2.8308740762719
1924,3.19231464808729
1925,2.2996495005486417
1926,2.429282783532088
1927,2.840900217794192
1928,2.7286586339704995
1929,2.1884800960364115
1930,1.6963047515780727
1931,1.765664870635286
1932,1.7957781646638122
1933,0.6957807569791841
1934,1.3435798517453479
1935,2.5068811058167575
1936,1.8244646692337574
1937,1.348712524522633
1938,1.4273236965022529
1939,1.504687835042273
1940,1.8983555123513662
1941,1.4429190047821976
1942,0.6645242447701691
1943,1.7749099247356388
1944,2.03210002811147
1945,1.8924646341367315
1946,2.2974918261870707
1947,2.272557258526679
1948,1.916543621490022
1949,2.0969158136248005
1950,2.639725077209034
1951,2.515080939953875
1952,1.9439743230874225
1953,2.9656652790255005
1954,5.060261125064578
1955,5.52859960136457
1956,4.631389093777985
1957,4.686997358755544
1958,5.340975569936207
1959,4.59768642712872
1960,2.4210881945945752
1961,2.141470252186684
1962,2.3499792117348575
1963,1.7795668256443178
1964,1.5549441152894525
1965,1.8905396534204204
1966,0.6983146585461835
1967,-1.4578001108236807
1968,-2.6774131544595736
1969,-2.3341803098877767
1970,-1.7723769323183838
1971,-2.4240794438725493
1972,-3.2630100380360023
1973,-3.1957233461377914
1974,-3.0684504962046315
1975,-4.6497705237012825
1976,-4.1162779667651
1977,-3.5865660971773945
1978,-3.7059949833910926
1979,-3.7166775264076275
1980,-3.2505407758115847
1981,-2.7380522157550837
1982,-2.286192913140251
1983,-2.507458881098433
1984,-3.7030654650334753
1985,-3.883031948709446
1986,-4.606564481741638
1987,-5.687701411754229
1988,-4.750125315416482
1989,-3.302516216534028
1990,-2.5428581312806937
1991,-2.87336387700718
1992,-6.3267944406272205
1993,-7.8694446122410495
1994,-7.034655908004395
1995,-5.9106243045516225
1996,-5.1531480155053
1997,-4.655652713245181
1998,-3.994731307769169
1999,-3.0331588700000696
2000,-2.5687770946701143
2001,-3.6607269397719344
2002,-4.964121802688452
2003,-4.400124079354334
2004,-3.7263045506206955
2005,-3.898185806362501
2006,-3.4908792849332126
2007,-1.6512927031328513
2008,-0.32357154299052615
2009,0.2953295920465804
2010,0.05286099539602196
2011,1.1278661576653493
2012,1.505112105164323
2013,2.998330804685888
2014,3.384429682460931
