time,ohc
1850,-8.671716033401637
1851,-8.608017382431116
1852,-8.57000832758591
1853,-8.508972980111883
1854,-8.654533545320016
1855,-8.851036918204262
1856,-8.742337547516698
1857,-8.894771868283945
1858,-8.796586786198631
1859,-8.769134518493031
1860,-8.641009233014177
1861,-8.243901309067365
1862,-8.258971878670291
1863,-8.225437976553769
1864,-8.285510777895274
1865,-8.266787066077942
1866,-8.355179663471862
1867,-8.64520710591006
1868,-8.72640468301669
1869,-8.86203199050795
1870,-9.114163699504296
1871,-9.033548597117788
1872,-9.009040762267217
1873,-8.911920375983803
1874,-8.96587282070186
1875,-9.253066232898329
1876,-9.494959005951772
1877,-9.563588817499037
1878,-9.52291199347401
1879,-9.522340635324161
1880,-9.337397420937817
1881,-9.342043197348568
1882,-9.578764209303577
1883,-9.490800883974172
1884,-9.463671682298465
1885,-9.623516249303492
1886,-9.706302870340405
1887,-9.875909548108813
1888,-9.9133793275167
1889,-9.814347905489653
1890,-9.861279238769782
1891,-9.800491559947417
1892,-9.438424938543859
1893,-9.249592741550735
1894,-9.092908072332397
1895,-9.206147456199432
1896,-9.346225249143831
1897,-9.478101579976776
1898,-9.66037277864939
1899,-9.842114398404041
1900,-9.790420222105595
1901,-9.722172066469659
1902,-9.489196071910882
1903,-9.320774609778267
1904,-9.106226490190584
1905,-9.012876275033392
1906,-9.27770927538604
1907,-9.601235881753098
1908,-9.860773281389049
1909,-10.015868553517992
1910,-10.057318507863114
1911,-10.093338120259968
1912,-10.055602048048168
1913,-9.957361154478185
1914,-9.908948819042164
1915,-9.947355694560516
1916,-10.158915057250445
1917,-10.223556076677887
1918,-10.325057462785075
1919,-10.500312703716064
1920,-10.672269782898153
1921,-10.67561160088368
1922,-10.533805789209477
1923,-10.311178962618252
1924,-10.372132024916404
1925,-10.481375087273717
1926,-10.530752753009828
1927,-10.556077373251036
1928,-10.485855609390129
1929,-10.412247946426215
1930,-10.399125630607848
1931,-10.352480119417024
1932,-10.436902680761019
1933,-10.54965084720797
1934,-10.72757943494868
1935,-10.635161094064442
1936,-10.581234128945145
1937,-10.385097550916191
1938,-10.087889508110457
1939,-9.97803386024092
1940,-9.802614072264804
1941,-9.648243310764833
1942,-9.492354648769895
1943,-9.481403680767817
1944,-9.38768176199805
1945,-9.338183559775276
1946,-9.284452048170369
1947,-9.331841533610817
1948,-9.35749735243788
1949,-9.164339899951516
1950,-9.159515792650792
1951,-9.101702244031015
1952,-8.998073593383586
1953,-8.787998495227647
1954,-8.442927156421604
1955,-8.36103092981823
1956,-8.176964941758106
1957,-7.8073909746075465
1958,-7.47842449021631
1959,-7.531201788650207
1960,-7.655484261063581
1961,-7.845891124613245
1962,-7.749322523234534
1963,-7.34502369351419
1964,-6.9810182537935095
1965,-6.850779968416969
1966,-6.731168613355547
1967,-6.436991036669941
1968,-6.223320243915316
1969,-5.880396670160362
1970,-5.471445611376715
1971,-5.393230139520442
1972,-5.4278288745761
1973,-5.346646003096442
1974,-5.374047180535061
1975,-5.507238323534222
1976,-5.574979530413772
1977,-5.379059182178132
1978,-5.2149432649807155
1979,-5.119693975449535
1980,-5.208641895336847
1981,-4.993055380019216
1982,-5.023351966222574
1983,-5.0862041951898025
1984,-4.863299744775567
1985,-4.61349317967415
1986,-4.589521451672217
1987,-4.6037726889565445
1988,-4.497446818115203
1989,-4.007389143855325
1990,-3.6773495941581738
1991,-3.3355509616134946
1992,-3.0429969330697233
1993,-2.543501944997212
1994,-2.2372473500168337
1995,-2.041133972567188
1996,-1.8971261126299759
1997,-1.585804680398121
1998,-1.4215179538444158
1999,-1.4715948572861404
2000,-1.431101912350165
2001,-1.1487419796716305
2002,-1.0008825377398871
2003,-0.9458944200737515
2004,-0.9609732254179089
2005,-0.8348083813448861
2006,-0.5805983026117084
2007,-0.5149447820346077
2008,-0.1811306530871812
2009,-0.08382917778549287
2010,0.20305453655345418
2011,0.4205518415756436
2012,0.4942168799378201
2013,0.5085592809811423
2014,0.5689287578158164
