time,ohc
1850,-15.133180760037668
1851,-14.59994474656401
1852,-14.90939503787537
1853,-15.404061226133212
1854,-15.073420300921763
1855,-14.574942670089639
1856,-14.481438168410802
1857,-14.600168895504206
1858,-14.788833037073182
1859,-15.227559471975164
1860,-15.734418032560749
1861,-15.558271293983788
1862,-15.25211491434356
1863,-15.440996103283661
1864,-15.09457767373042
1865,-14.924368697173907
1866,-14.77185576022669
1867,-14.242556618170205
1868,-13.739959959666052
1869,-13.474816572974653
1870,-12.818476670871835
1871,-12.543693143670405
1872,-12.173124462392613
1873,-11.984169100480727
1874,-12.182173979836053
1875,-12.12588029171416
1876,-12.011628514076676
1877,-12.46986972293302
1878,-12.162246348347496
1879,-11.66156822510078
1880,-11.819844950201073
1881,-11.990413848538125
1882,-11.429342650420217
1883,-11.156160810192723
1884,-12.78122050487786
1885,-13.146862488045905
1886,-12.661979314704153
1887,-12.695550464201345
1888,-12.280283857051666
1889,-11.75842436309398
1890,-11.425383343653273
1891,-12.05931755541489
1892,-12.29665138540262
1893,-11.616812373702057
1894,-11.005105487688457
1895,-11.272110682232032
1896,-10.650763655711756
1897,-9.991272716343861
1898,-10.07719848717951
1899,-9.925037289638773
1900,-10.210272419442912
1901,-10.851845881111284
1902,-11.077004784327729
1903,-11.860246363729134
1904,-12.045143217032566
1905,-11.894683507371425
1906,-11.390854346859628
1907,-10.877701894124657
1908,-11.10276099643544
1909,-10.87357847573353
1910,-10.282020060237926
1911,-9.785613102258404
1912,-9.641941898562541
1913,-10.146417810482042
1914,-10.14441472452257
1915,-10.569000233179683
1916,-10.371824261480208
1917,-10.29321650155207
1918,-9.87925217865936
1919,-9.832433920359172
1920,-10.113133373302137
1921,-9.75946232437161
1922,-10.025117770442073
1923,-10.238218993359409
1924,-9.894405132313397
1925,-9.786243254294883
1926,-9.560680756733358
1927,-9.543750910366857
1928,-9.112207794340392
1929,-8.85867542009926
1930,-9.354162333638893
1931,-8.919867383976685
1932,-8.386184702654191
1933,-8.49524527058459
1934,-9.364132859024043
1935,-9.285225696375582
1936,-8.872763259551153
1937,-9.01838349891169
1938,-8.380126266944279
1939,-8.195476961422573
1940,-7.725907179020672
1941,-7.778394297034932
1942,-7.7837310582585335
1943,-7.677071066308304
1944,-8.357257426696249
1945,-8.224745695138514
1946,-7.39301706532076
1947,-7.202230395960581
1948,-7.497474851244405
1949,-7.603267135444256
1950,-7.824025053831517
1951,-7.765266361701052
1952,-7.925948053497262
1953,-7.738664160811997
1954,-7.963558552431099
1955,-8.553797719860828
1956,-8.743833927932744
1957,-9.216355627532609
1958,-8.948230786737827
1959,-8.231268189292818
1960,-8.313760965706235
1961,-8.374321428376218
1962,-8.144557547796827
1963,-8.653005222266549
1964,-9.31964946184692
1965,-10.272381770535812
1966,-10.464653362152013
1967,-10.50169726966108
1968,-11.347202994974973
1969,-11.064785090336798
1970,-10.481235109717604
1971,-10.401729141628492
1972,-10.121963269720402
1973,-9.755418687675633
1974,-10.019008333363505
1975,-10.161594781927791
1976,-9.777888055941775
1977,-9.685673265423395
1978,-9.636372557551462
1979,-9.129227649086264
1980,-8.764067706640953
1981,-8.829098936392798
1982,-8.59479937895223
1983,-8.952806984680176
1984,-9.233042324214486
1985,-9.258979096274937
1986,-8.79464846955053
1987,-8.266955886941352
1988,-7.686709081179046
1989,-7.419569676354382
1990,-7.254786884196875
1991,-7.527400419390957
1992,-8.558039686302129
1993,-8.417524392338
1994,-8.43880824106509
1995,-7.88156154036889
1996,-7.367228922312432
1997,-6.54816165070109
1998,-6.0440030688159965
1999,-5.436854177693401
2000,-5.0023121619970246
2001,-4.423350194928519
2002,-3.8062443150191037
2003,-3.2572705607899426
2004,-2.9745706989946132
2005,-2.1403596196051144
2006,-1.7165255357313758
2007,-1.6670426716079465
2008,-0.9003300213350617
2009,-0.1549159882453327
2010,0.16210816144255888
2011,0.1137875353231789
2012,0.9340049535963214
2013,2.239085904285141
2014,3.13018728187763
