years,ohc
1851,-4.682889976501466
1852,-4.764055767059327
1853,-4.82677477836609
1854,-5.018621006011965
1855,-5.258428373336793
1856,-5.324836959838868
1857,-5.690082659721376
1858,-5.542508759498597
1859,-5.498236432075501
1860,-5.236292448043824
1861,-4.944834365844727
1862,-4.583278121948243
1863,-4.764055910110474
1864,-4.782502689361573
1865,-5.132991161346436
1866,-5.284253849983216
1867,-5.151437177658082
1868,-5.358041348457338
1869,-5.000174465179445
1870,-4.9190085315704355
1871,-5.125611963272096
1872,-4.837843217849732
1873,-4.645996990203858
1874,-4.8415319347381605
1875,-5.018621315956117
1876,-5.4539639943838125
1877,-5.693771948814393
1878,-5.679014601707459
1879,-5.572023549079897
1880,-5.505615367889405
1881,-5.612606086730958
1882,-5.575712957382203
1883,-5.487168588638307
1884,-5.583091726303102
1885,-5.557266130447388
1886,-5.708529605865479
1887,-5.686392869949341
1888,-5.623674573898317
1889,-5.612606086730958
1890,-6.040570297241213
1891,-6.272999229431154
1892,-6.36154417037964
1893,-6.265620460510256
1894,-6.162318935394288
1895,-5.948336830139161
1896,-5.59046992301941
1897,-5.505614891052247
1898,-5.461343183517457
1899,-5.258428707122803
1900,-4.959591522216797
1901,-4.598034896850587
1902,-4.705026044845582
1903,-4.598035612106324
1904,-4.365605964660645
1905,-4.384052982330323
1906,-4.3213338279724125
1907,-4.398810329437256
1908,-4.31026596069336
1909,-4.476286449432374
1910,-4.760366287231446
1911,-4.760366382598877
1912,-4.64599708557129
1913,-4.959591045379639
1914,-4.893183269500733
1915,-4.7603664779663095
1916,-4.682890357971192
1917,-4.498422946929932
1918,-4.553763141632081
1919,-4.852600326538088
1920,-4.815706672668458
1921,-4.8636684799194345
1922,-4.9374552154541025
1923,-5.085029640197755
1924,-5.206778182983399
1925,-5.029689064025881
1926,-4.9891064071655284
1927,-4.771435012817384
1928,-4.546384658813477
1929,-4.203275051116944
1930,-4.472596969604493
1931,-4.457839622497559
1932,-4.328713073730469
1933,-3.9634670639038094
1934,-4.0114290618896495
1935,-4.17376045227051
1936,-4.155313339233399
1937,-4.184827842712403
1938,-3.948710098266602
1939,-3.7310385131835946
1940,-3.668319168090821
1941,-3.731038131713868
1942,-3.601911392211915
1943,-3.387928619384766
1944,-3.1222957992553724
1945,-2.893556060791016
1946,-2.8787985229492197
1947,-2.62054428100586
1948,-2.6537483596801765
1949,-2.487728157043458
1950,-2.3549112701416024
1951,-2.5393787765502935
1952,-2.281124343872071
1953,-2.151997032165528
1954,-2.137239875793458
1955,-2.233162918090821
1956,-2.3512216949462896
1957,-2.4729702377319343
1958,-2.410251655578614
1959,-2.3180179977417
1960,-2.395493927001954
1961,-2.5098638916015634
1962,-2.4139408493042005
1963,-2.4360769653320324
1964,-2.3844259643554695
1965,-2.33277515411377
1966,-2.118792762756348
1967,-2.1704439544677743
1968,-2.2257843399047856
1969,-2.2589882278442386
1970,-2.3586006546020513
1971,-2.5504467391967776
1972,-2.4250091934204105
1973,-2.495106544494629
1974,-2.472970237731934
1975,-2.613166084289551
1976,-2.4582130813598635
1977,-2.465591850280762
1978,-2.1999584579467775
1979,-2.351221885681153
1980,-2.0118019485473635
1981,-1.8752960586547855
1982,-2.0044231796264653
1983,-2.2848137283325203
1984,-2.29957088470459
1985,-2.255299034118653
1986,-2.1999584579467775
1987,-2.1999584579467775
1988,-2.218405570983887
1989,-2.4508343124389653
1990,-2.6316124343872076
1991,-2.60209774017334
1992,-2.8123905563354494
1993,-3.055887260437012
1994,-3.25880168914795
1995,-3.041130104064942
1996,-2.9156925582885744
1997,-2.5024853134155283
1998,-1.9933552169799809
1999,-1.5801479721069338
2000,-1.281311073303223
2001,-1.159562339782715
2002,-1.0931538009643558
2003,-0.9234440231323244
2004,-0.9677162551879883
2005,-0.9750948333740237
2006,-0.7574234390258792
2007,-0.7094618225097659
2008,-0.5360624694824221
2009,-0.07489379882812522
2010,0.11695247650146463
2011,0.5449166870117186
2012,0.5227807617187498
2013,0.8289968109130857
2014,1.0392896270751952
