time,ohc
1850,-6.689702044359463
1851,-6.533226774958243
1852,-6.308192634593148
1853,-6.324363527631472
1854,-6.3345778585754715
1855,-6.50385688362953
1856,-6.621692483818016
1857,-6.724507310700085
1858,-6.831378710863712
1859,-6.902974053866271
1860,-6.680989252174168
1861,-6.558299591040697
1862,-6.637207396829263
1863,-6.728947515212984
1864,-6.671388968460619
1865,-6.512250621876101
1866,-6.43738487288249
1867,-6.432935756233068
1868,-6.502664164545109
1869,-6.639132907482821
1870,-6.536973443704685
1871,-6.563998308367002
1872,-6.411685222071398
1873,-6.325858321229413
1874,-6.3696343775918765
1875,-6.446071665878882
1876,-6.382835855617478
1877,-6.056407237549497
1878,-5.9035051062890895
1879,-5.8290499350609295
1880,-5.81627481359347
1881,-5.793713351259569
1882,-5.7774926725813875
1883,-5.73246595336876
1884,-5.949166390683928
1885,-6.096363746515088
1886,-6.445226850305106
1887,-6.856700317497097
1888,-6.963379363489358
1889,-6.964361689526637
1890,-7.01097827293757
1891,-6.983574231418302
1892,-6.9063141478294385
1893,-6.92867465711047
1894,-6.831915732261901
1895,-6.84869681257481
1896,-6.811035060223171
1897,-6.956200269963713
1898,-6.8616552901876675
1899,-6.856700728577372
1900,-6.940927744696762
1901,-7.1961344268844165
1902,-6.950224579778345
1903,-6.811022649497136
1904,-6.836167704380632
1905,-6.945194765955581
1906,-7.019370804341088
1907,-7.1000251545661675
1908,-7.332832229311309
1909,-7.485016814081078
1910,-7.571002995720825
1911,-7.425483583449851
1912,-7.36460886947275
1913,-7.412520958243793
1914,-7.4350809369988955
1915,-7.512417213036535
1916,-7.6479990646307305
1917,-7.759658114634502
1918,-7.643643281721037
1919,-7.504978816913591
1920,-7.558355138587776
1921,-7.498678641428265
1922,-7.433436052739513
1923,-7.4237707638886965
1924,-7.413060310072213
1925,-7.283552491320879
1926,-7.113514362213725
1927,-7.1937901938907025
1928,-7.240432216701047
1929,-7.082910166963126
1930,-7.415355544475844
1931,-7.269481783630778
1932,-7.154597397339396
1933,-7.304418066496684
1934,-7.2752789296038785
1935,-7.166496922432794
1936,-7.240475047203012
1937,-7.514364159204938
1938,-7.684505036209903
1939,-7.747136060157875
1940,-7.594803134922005
1941,-7.63295793610073
1942,-7.539703088049774
1943,-7.268445334561884
1944,-6.835491142736091
1945,-6.683456142792045
1946,-6.612484050435571
1947,-6.6255989282043775
1948,-6.3962221028642325
1949,-6.363370010161944
1950,-6.422491281879011
1951,-6.568125130161467
1952,-6.583934656025183
1953,-6.5138809745872965
1954,-6.570572358952714
1955,-6.495763334633167
1956,-6.345003931293636
1957,-6.264011221786408
1958,-6.128468967287533
1959,-6.037297832891854
1960,-5.951109717540691
1961,-5.792783477841104
1962,-5.671656800384461
1963,-5.582105143167187
1964,-5.7540194829812865
1965,-5.854141696949046
1966,-5.963622351909734
1967,-5.914984250695899
1968,-5.998658835797878
1969,-5.786189536481277
1970,-5.5470417835072325
1971,-5.868196920556319
1972,-6.0962845409277895
1973,-6.231630822368093
1974,-6.223405945459908
1975,-6.318727274306375
1976,-6.580003393544452
1977,-6.58973628855287
1978,-6.473380858347699
1979,-6.2363277978658
1980,-5.908509075494385
1981,-5.665464242163267
1982,-5.439958516124042
1983,-5.210462357372953
1984,-4.956547544687395
1985,-4.789655662892585
1986,-4.729852019161662
1987,-4.720074007625911
1988,-4.661082277095488
1989,-4.550068365997089
1990,-4.34756005970913
1991,-4.07670425110968
1992,-3.833571810669893
1993,-3.7732461505651766
1994,-3.6404287556152806
1995,-3.588309418539831
1996,-3.5100480877628266
1997,-3.0999128196951204
1998,-2.8916297728218896
1999,-2.7433981836215993
2000,-2.6616352557890774
2001,-2.502131899354273
2002,-2.4827378301826517
2003,-2.173615993842181
2004,-1.928824958894749
2005,-1.4535414266951407
2006,-1.2727204097536315
2007,-1.2156558052504693
2008,-0.8505805639866678
2009,-0.4394472740177717
2010,0.03617388974446968
2011,0.6063185859131809
2012,1.0632359187958544
2013,1.590169468921539
2014,1.9360476163286364
