years,ohc
1851,1.4132050108909606
1852,1.8891310286521912
1853,1.6935955595970154
1854,1.1531059813499451
1855,0.6033930373191834
1856,0.5480528426170349
1857,-0.047777025699615554
1858,-0.0035047936439514802
1859,0.32853656530380243
1860,0.34698329687118523
1861,0.3783427786827087
1862,0.0758162093162536
1863,-0.04039835214614876
1864,-0.49418820619583137
1865,-0.7616660046577455
1866,-0.7044810700416566
1867,-1.3538064527511597
1868,-1.3335150408744814
1869,-1.3722531962394717
1870,-1.7559454846382143
1871,-1.5364292311668397
1872,-1.7559454846382143
1873,-1.8813833165168763
1874,-2.523329966068268
1875,-2.7963418412208565
1876,-2.883041517734528
1877,-2.925468962192536
1878,-2.8627499985694893
1879,-3.1542087006568913
1880,-3.052751486301423
1881,-2.971585791110993
1882,-2.9881879258155823
1883,-2.1949779915809633
1884,-3.845961515903473
1885,-5.688791410923004
1886,-5.4803433823585515
1887,-4.502665464878082
1888,-3.923437826633453
1889,-3.5950858521461484
1890,-3.537900869846344
1891,-4.332955496311189
1892,-4.052565138339996
1893,-4.1337306427955625
1894,-3.5342114853858946
1895,-3.2372189927101136
1896,-2.916245596408844
1897,-2.488281195163727
1898,-2.5141066002845767
1899,-2.9291583466529847
1900,-2.779739706516266
1901,-2.7576036858558655
1902,-3.251976339817047
1903,-4.013826887607574
1904,-4.552471678256988
1905,-5.463741056919098
1906,-5.871414320468903
1907,-5.087427656650544
1908,-4.456548826694489
1909,-4.513733808994293
1910,-4.201983778476715
1911,-4.220430510044098
1912,-4.714803068637848
1913,-5.425003187656403
1914,-5.393643705844879
1915,-5.698014967441559
1916,-5.615004484653473
1917,-5.378886168003082
1918,-5.120631926059723
1919,-4.945387403964997
1920,-4.655773680210113
1921,-4.589365141391754
1922,-3.9732440400123594
1923,-3.9068356919288636
1924,-3.20585951089859
1925,-3.292559187412262
1926,-3.7131450104713437
1927,-3.5046967911720275
1928,-3.508386175632477
1929,-3.912369863986969
1930,-3.938195173740387
1931,-4.9472321915626525
1932,-5.277428953647614
1933,-4.428878538608551
1934,-3.8072234559059144
1935,-3.9750888276100165
1936,-3.917903845310211
1937,-3.8127574372291564
1938,-3.9935355591773987
1939,-3.718678991794586
1940,-3.9031464982032773
1941,-4.428878538608551
1942,-4.259168570041656
1943,-4.106060545444488
1944,-4.104215948581696
1945,-4.3514022278785705
1946,-4.094992582798004
1947,-4.338489668369293
1948,-4.901115171909332
1949,-5.235001509189605
1950,-5.120631926059723
1951,-5.747821180820465
1952,-5.792093031406402
1953,-5.972871153354645
1954,-6.8251107621192935
1955,-6.898897688388825
1956,-6.731032316684723
1957,-6.976374189853669
1958,-7.022491209506988
1959,-7.242007200717926
1960,-7.101812117099762
1961,-7.317638914585114
1962,-7.568514769077301
1963,-7.852594511508942
1964,-9.654841368198396
1965,-10.92766699075699
1966,-11.04941534280777
1967,-11.06232809305191
1968,-10.665723173618318
1969,-10.28756460428238
1970,-10.322613279819489
1971,-10.307855741977692
1972,-10.837277739048005
1973,-10.783781950473784
1974,-11.363010160923004
1975,-11.754080717563628
1976,-11.921946470737456
1977,-12.230006926059724
1978,-12.036315672397613
1979,-11.846314756870271
1980,-11.184076445102692
1981,-10.645431272983553
1982,-10.48863424539566
1983,-10.925822203159333
1984,-11.409126799106598
1985,-11.70611929178238
1986,-11.888741819858552
1987,-11.62679800271988
1988,-11.257863371372224
1989,-10.562421171665193
1990,-10.175039427280426
1991,-9.614258329868317
1992,-10.94426855325699
1993,-11.945927183628083
1994,-11.905344145298004
1995,-11.278154509067537
1996,-10.697082273960113
1997,-10.17872900247574
1998,-9.887270109653473
1999,-9.40765508890152
2000,-7.992789976596832
2001,-7.2493859696388245
2002,-6.8195767807960515
2003,-6.065105192661285
2004,-4.659462873935699
2005,-3.5895518708229064
2006,-2.624787085056305
2007,-2.191288607120514
2008,-1.9330342221260073
2009,-1.580701415538788
2010,-0.15292343378067025
2011,1.5146622252464295
2012,2.5993303847312927
2013,3.5161337447166447
2014,4.442160279750825
