years,ohc
1851,-12.22908421933651
1852,-11.919179167151453
1853,-11.948693980574609
1854,-11.801119862794877
1855,-11.926558007597926
1856,-11.88597480982542
1857,-12.011412544846536
1858,-12.02985955655575
1859,-11.72733267724514
1860,-11.897043074965477
1861,-12.044616641402245
1862,-12.048305978178979
1863,-12.037237800955772
1864,-12.133161296248437
1865,-11.908110560774805
1866,-11.635099210143089
1867,-11.638788403868677
1868,-11.483836116194723
1869,-11.509661139845848
1870,-11.775294484496117
1871,-12.181123008131982
1872,-12.251220692992211
1873,-12.457824410796164
1874,-12.550057305693626
1875,-12.579572715163229
1876,-12.332385959029196
1877,-12.007722606062888
1878,-11.683060778975488
1879,-11.421117057204247
1880,-11.487525214552882
1881,-11.181309069991112
1882,-10.974705352187158
1883,-10.812374152541162
1884,-10.661111297011377
1885,-10.591013755202297
1886,-10.959948291182519
1887,-10.989463080763818
1888,-11.148105182051658
1889,-11.291989936232568
1890,-11.15917295396328
1891,-10.948880423903464
1892,-10.97839540421963
1893,-10.893540229201317
1894,-10.882471980452536
1895,-10.827131976485253
1896,-10.635285796523094
1897,-10.51722654283047
1898,-10.605770720839502
1899,-10.875093259215356
1900,-11.111211718916891
1901,-10.915675963759423
1902,-10.631596316695212
1903,-10.432371177077293
1904,-10.709072722792625
1905,-10.668489970564842
1906,-10.871403970122337
1907,-11.15179432809353
1908,-11.66092451542616
1909,-12.0077233928442
1910,-11.900732030272485
1911,-12.195880402922631
1912,-12.46151303231716
1913,-12.37665819108486
1914,-12.262288274168968
1915,-12.114714707732201
1916,-12.32131790101528
1917,-12.398794497847556
1918,-12.40248350083828
1919,-12.428309096693994
1920,-12.184811820387841
1921,-12.199569644331932
1922,-12.380347194075584
1923,-12.26597808778286
1924,-12.103646315932274
1925,-11.804808844923972
1926,-11.911800040602685
1927,-11.686750068068505
1928,-11.513350810408593
1929,-11.251406707167625
1930,-11.33257268846035
1931,-11.358398188948634
1932,-11.122279300093652
1933,-10.967327346205714
1934,-10.945190657973288
1935,-10.77548097550869
1936,-10.705382861495018
1937,-10.720140494704246
1938,-10.351205434203148
1939,-10.222078837752342
1940,-10.151980771422387
1941,-9.94168814599514
1942,-9.783046330809592
1943,-10.011786021590233
1944,-9.92693098962307
1945,-9.395664348006248
1946,-9.576442255377769
1947,-9.506344999670983
1948,-9.358770932555199
1949,-9.122652758955956
1950,-8.967700375914573
1951,-9.159546174407003
1952,-9.259158601164819
1953,-9.074691237807274
1954,-8.986147107481957
1955,-9.277605380415917
1956,-9.189060725569723
1957,-9.107894935011863
1958,-8.882844867110252
1959,-9.011972178816796
1960,-8.938185347914695
1961,-8.823815287947655
1962,-8.764786090254784
1963,-8.665173377394677
1964,-8.417986811995506
1965,-8.502841987013817
1966,-8.318374385237695
1967,-8.16342157304287
1968,-8.299927939772607
1969,-8.222451819777488
1970,-8.023226394057273
1971,-7.8572061914205555
1972,-7.746525611281396
1973,-7.916235579848291
1974,-7.613708915114405
1975,-7.6247772592306156
1976,-7.388658942580225
1977,-7.510407485365869
1978,-7.237395705580713
1979,-6.816809882521631
1980,-6.909043540358545
1981,-7.067685355544092
1982,-6.864771499037744
1983,-7.052928199172022
1984,-6.846324767470361
1985,-6.5696236032247555
1986,-6.281854285597802
1987,-6.381466712355614
1988,-6.244960631728173
1989,-6.00515331208706
1990,-5.5845672982931145
1991,-5.337381209731102
1992,-5.027475776076317
1993,-4.902037848830223
1994,-4.717570151686668
1995,-4.2379549401998515
1996,-3.876398791670799
1997,-3.4705703157186507
1998,-2.928236140608788
1999,-2.016966928839684
2000,-1.256961091160774
2001,-1.0688043731451031
2002,-1.1573487478494646
2003,-0.6814227360486984
2004,-0.44899372041225444
2005,-0.35307065427303325
2006,-0.37520675241947177
2007,-0.5781209605932237
2008,-0.5891889947652817
2009,-0.36413872420787813
2010,0.012174845933914191
2011,0.0380002897977829
2012,0.28149731278419493
2013,0.8791718107461929
2014,1.0488818269968032
