year,ohc
1850,-8.755607167230536
1851,-8.610007591535524
1852,-8.687792510196505
1853,-9.00618380619363
1854,-8.907276349723961
1855,-8.850797373884555
1856,-8.631524305197356
1857,-8.56734670343539
1858,-8.727693020437806
1859,-8.996230298443828
1860,-8.629660273667875
1861,-8.5192785923158
1862,-8.450211341385092
1863,-8.043888245159662
1864,-7.603518773373014
1865,-7.417506223648741
1866,-7.701929731691984
1867,-7.664715846914511
1868,-7.816139379516226
1869,-7.7215259415189985
1870,-7.591058725801643
1871,-7.476559250148294
1872,-7.727910145930724
1873,-7.785030536886526
1874,-8.074452551838208
1875,-8.354593069373198
1876,-8.761457373314341
1877,-9.023716428642024
1878,-9.058467278469283
1879,-9.032359677893147
1880,-8.853322618213108
1881,-8.959402915876664
1882,-9.025853637161447
1883,-9.130984187524865
1884,-8.896910555831349
1885,-8.642425367133916
1886,-8.64063091110595
1887,-8.88888993325567
1888,-8.969579714275772
1889,-9.193090684533468
1890,-9.047581197474859
1891,-8.883872314677351
1892,-8.579428224557592
1893,-8.310547634985939
1894,-7.989157113366959
1895,-7.9354734758291885
1896,-8.17507269377978
1897,-8.527852741631676
1898,-8.697302661322883
1899,-8.758592781654356
1900,-8.724490352042023
1901,-8.523873079800833
1902,-8.604629134021739
1903,-8.533342466959672
1904,-8.610993601911124
1905,-8.676095377817106
1906,-8.651012936112904
1907,-8.669610170865376
1908,-8.647365122655572
1909,-8.613559318974072
1910,-8.580729174219744
1911,-8.432932143750005
1912,-8.486104255534416
1913,-8.546354520467988
1914,-8.557473442552181
1915,-8.374474857513087
1916,-8.317187157886103
1917,-8.114870948933696
1918,-8.090194934171047
1919,-8.314230853885917
1920,-8.184116124925081
1921,-7.980654988261198
1922,-7.782565450976042
1923,-7.561048235749537
1924,-7.234344021919839
1925,-6.9879686446216605
1926,-6.89473214688869
1927,-6.94668669441974
1928,-6.800271535290262
1929,-6.404608294139965
1930,-6.322239943088588
1931,-6.28917712589583
1932,-6.442371541807102
1933,-6.739211414003416
1934,-6.822155131284502
1935,-6.67740726927841
1936,-6.575221359309576
1937,-6.6673560968310275
1938,-6.445004765324327
1939,-5.933776556854691
1940,-5.697710208412561
1941,-5.632834160168431
1942,-5.373181978149498
1943,-4.98275825252712
1944,-4.993252395078358
1945,-4.999930542076531
1946,-4.8534556253971814
1947,-4.5391446487029254
1948,-4.415490773143485
1949,-4.289316631184437
1950,-4.2409740421464885
1951,-4.1139670844370855
1952,-4.175242024636147
1953,-4.394480510590278
1954,-4.529058138226704
1955,-4.454516387812609
1956,-4.287896889928679
1957,-4.083169417561844
1958,-3.9201970533759267
1959,-3.826816150238786
1960,-3.6739172394849122
1961,-3.5803953168071967
1962,-3.5606617508886558
1963,-3.5509571257321877
1964,-3.5255167034379227
1965,-3.5485644326018617
1966,-3.663617401089221
1967,-3.8314937535598466
1968,-3.9448793139830975
1969,-4.076333965304253
1970,-4.220797468795672
1971,-4.565774960707808
1972,-4.748467530701452
1973,-4.700409274532069
1974,-4.506226995728544
1975,-4.671727626635551
1976,-4.652409556897761
1977,-4.51713301354884
1978,-4.2905086281778075
1979,-4.13168675546
1980,-4.077636459038072
1981,-4.054954321434866
1982,-3.967567636792757
1983,-4.095535429360017
1984,-4.122785219190225
1985,-3.948737113105687
1986,-3.7908345444375566
1987,-3.9792740720438315
1988,-3.821937809162306
1989,-3.802277920624589
1990,-3.992681560263641
1991,-4.110271883650375
1992,-4.029893319753858
1993,-3.867489853755573
1994,-3.757644692969861
1995,-3.592563687899328
1996,-3.3417308934583136
1997,-3.168927384288737
1998,-2.9565026586846335
1999,-2.722504762204161
2000,-2.478557498432311
2001,-2.348960291356521
2002,-2.1367483552273026
2003,-2.082874578415314
2004,-1.62384665816061
2005,-1.0004762754279692
2006,-0.7129594576798786
2007,-0.3666929100451384
2008,-0.4083924055189101
2009,-0.3165523924191369
2010,-0.1279433118322899
2011,0.010244055812625774
2012,0.5016794599070327
2013,1.0356246257264168
2014,1.385468611477247
