years,ohc
1851,2.740079281330109
1852,2.6349328732490545
1853,2.852604458332062
1854,3.0905673718452453
1855,3.2418307995796205
1856,3.6771739697456365
1857,4.011059925556183
1858,3.8745536541938783
1859,3.311928532123566
1860,3.3949386334419254
1861,3.2879474377632145
1862,2.5039609646797185
1863,2.14424950838089
1864,2.061239216327668
1865,1.5059921956062317
1866,1.4635646557807922
1867,1.7291978573799136
1868,1.590847179889679
1869,1.7587125515937807
1870,2.042792484760285
1871,1.9597820019721983
1872,1.8509462094306948
1873,2.277066013813019
1874,2.3065808987617493
1875,1.4764774060249328
1876,1.2292910313606262
1877,1.4746327137947084
1878,1.6812362408638002
1879,0.9894833302497864
1880,0.7810351586341858
1881,0.751520369052887
1882,0.7994818902015686
1883,0.4489937520027161
1884,-2.179667308330536
1885,-3.6720089221000674
1886,-4.437548854351045
1887,-4.369295909404754
1888,-4.064924647808075
1889,-4.0796821856498715
1890,-3.8786125445365904
1891,-3.9690014147758483
1892,-3.424822261333466
1893,-3.6148239398002624
1894,-3.426667048931122
1895,-3.758708598613739
1896,-4.0520118975639345
1897,-3.9413315081596374
1898,-3.841719081401825
1899,-4.070458629131317
1900,-3.4856968188285826
1901,-3.201616694927216
1902,-3.5705517077445985
1903,-3.9468654894828803
1904,-4.107352092266082
1905,-4.083371379375458
1906,-3.985603740215301
1907,-3.4174438738822936
1908,-2.9894792819023133
1909,-3.03928549528122
1910,-3.229286983013153
1911,-2.923070933818817
1912,-3.002392032146454
1913,-4.461529567241668
1914,-4.585122706890107
1915,-4.42648089170456
1916,-4.227256038188934
1917,-3.8878357195854187
1918,-4.230945231914521
1919,-4.147935130596161
1920,-3.885991313457489
1921,-3.889680507183075
1922,-3.5318134570121766
1923,-4.151624324321747
1924,-4.063079860210419
1925,-3.6720089221000674
1926,-3.450647761821747
1927,-3.205306270122528
1928,-3.2514229083061217
1929,-3.2514229083061217
1930,-3.2606464648246765
1931,-3.2458889269828797
1932,-2.801322391033173
1933,-3.681232097148895
1934,-3.8029808306694033
1935,-4.0464779162406925
1936,-4.4117233538627625
1937,-4.428325679302216
1938,-4.5961910510063175
1939,-4.376674678325653
1940,-4.4117233538627625
1941,-4.551918818950653
1942,-4.35822794675827
1943,-4.288130214214325
1944,-4.457840373516083
1945,-4.402500178813934
1946,-4.380363872051239
1947,-4.483665874004364
1948,-4.496578624248505
1949,-4.915319468975067
1950,-4.575899531841278
1951,-4.291819407939911
1952,-4.494733836650848
1953,-4.83784334897995
1954,-4.909785487651825
1955,-4.8526005053520205
1956,-4.77143481016159
1957,-4.360072734355927
1958,-4.385897853374481
1959,-4.271528270244598
1960,-3.9136612200737
1961,-4.483665874004364
1962,-5.155127360820771
1963,-5.627363994121552
1964,-7.722914149761201
1965,-8.440492274761201
1966,-8.27078249692917
1967,-8.942243983745575
1968,-9.573122432231903
1969,-9.156225612163544
1970,-9.14515764951706
1971,-9.733609035015109
1972,-9.731764247417452
1973,-9.860891749858856
1974,-10.399536159038545
1975,-10.500993373394012
1976,-10.899443080425264
1977,-11.03225939512253
1978,-10.58953783750534
1979,-10.235360743999482
1980,-9.702249171733856
1981,-9.488267543315889
1982,-9.774192073345183
1983,-10.085942103862765
1984,-10.259341456890109
1985,-10.560022761821749
1986,-10.925268580913546
1987,-10.89759829282761
1988,-10.263030269145966
1989,-10.095165278911594
1990,-9.984484889507295
1991,-9.958659389019012
1992,-11.8199356341362
1993,-13.03742068052292
1994,-12.675864436626437
1995,-11.701876857280732
1996,-10.986142756938937
1997,-10.491770198345185
1998,-10.063805415630341
1999,-9.558364894390108
2000,-9.418169429302216
2001,-8.580687739849091
2002,-7.326309230327607
2003,-6.8983444476127636
2004,-5.8431907916069035
2005,-5.013087108135224
2006,-3.2532676959037783
2007,-2.199958636760712
2008,-1.2905341410636904
2009,-0.7980061316490175
2010,0.27006034612655644
2011,1.670168278217316
2012,2.854449055194855
2013,3.2953262066841127
2014,4.464849827289581
