time,ohc
1850,-16.651491782890325
1851,-16.489976743072837
1852,-16.62476637635571
1853,-16.95138593299969
1854,-16.74031345361184
1855,-16.661628367561033
1856,-16.96390852766845
1857,-16.555572928044395
1858,-16.283227299334595
1859,-16.96465675156034
1860,-16.72111707821027
1861,-16.4550539623736
1862,-17.524639150660718
1863,-17.43688895963824
1864,-17.713892415683222
1865,-18.28900183361382
1866,-18.22194446577669
1867,-18.00267086267319
1868,-18.492197065261273
1869,-18.244088176282048
1870,-18.18780921066728
1871,-18.157641599854973
1872,-18.39135546394473
1873,-18.224275239943584
1874,-18.106723125000155
1875,-19.36084508995267
1876,-19.13700227122337
1877,-18.845603790295637
1878,-19.27201155899916
1879,-19.423715454810978
1880,-19.219657482243733
1881,-19.5190523934634
1882,-19.72567359944412
1883,-19.488269786403983
1884,-20.56309752323573
1885,-21.734286877629003
1886,-21.24377999190581
1887,-20.54701820725801
1888,-20.16817656117052
1889,-20.256762023097775
1890,-19.717591009566174
1891,-19.905232689612237
1892,-20.445018995202147
1893,-20.054432308847055
1894,-19.75660466247964
1895,-19.220098918989308
1896,-19.10418677501329
1897,-18.86307772760002
1898,-19.372198128016322
1899,-19.55437728066792
1900,-19.294332703090625
1901,-19.345003108919204
1902,-19.07593742214088
1903,-18.99329779235447
1904,-19.1331099953355
1905,-19.394501858918566
1906,-18.920059919726295
1907,-18.89863477823992
1908,-19.53737464515271
1909,-18.91430438301664
1910,-18.895559176829533
1911,-18.580494632287422
1912,-18.69683141998792
1913,-18.36193803351648
1914,-18.6746006339206
1915,-18.6891426071811
1916,-18.03810104042197
1917,-18.115673456029118
1918,-17.702387344111592
1919,-17.47012342282017
1920,-17.96467219510305
1921,-17.654938190643488
1922,-16.955217830824665
1923,-17.02013722914091
1924,-17.096757671954116
1925,-16.78519304819666
1926,-16.368245697673288
1927,-16.00803161136542
1928,-15.792813939911497
1929,-15.490226429581089
1930,-15.566802876627008
1931,-15.510977265081246
1932,-15.672199619933743
1933,-15.585737433723645
1934,-15.361469322556045
1935,-15.559596099691362
1936,-15.169594754717188
1937,-14.485075360176618
1938,-14.401278444007795
1939,-13.61587221205054
1940,-13.362739484494575
1941,-13.533802934030135
1942,-13.172578213903051
1943,-12.527643176944578
1944,-12.335724937691998
1945,-12.378867552723754
1946,-12.33283904009042
1947,-12.692993816659179
1948,-12.135384622806548
1949,-11.821842727177941
1950,-11.963118918047194
1951,-11.696395865671105
1952,-11.765605839738043
1953,-11.680798289753357
1954,-11.686948490964376
1955,-11.834492529452119
1956,-12.226103866167236
1957,-11.989958727426846
1958,-11.826758451996078
1959,-11.682464376216696
1960,-11.447197883983613
1961,-11.809051292545064
1962,-11.775514479381428
1963,-12.153564821785707
1964,-13.0566835134402
1965,-13.539193940329099
1966,-13.597493524868476
1967,-13.438730477754948
1968,-13.693355874997946
1969,-12.749216250793365
1970,-12.286914044915761
1971,-12.383904675271921
1972,-12.361102268556657
1973,-12.236519712656047
1974,-11.673316004100405
1975,-11.707232196342648
1976,-12.545416500069338
1977,-11.986694015601577
1978,-11.7422890921169
1979,-11.48256588130341
1980,-10.888696267570797
1981,-10.520881064182833
1982,-10.009856069474896
1983,-9.57898109322766
1984,-9.139992984806042
1985,-8.865815467913055
1986,-8.841109115613268
1987,-8.230075929992598
1988,-7.9099435511064655
1989,-7.572691596099559
1990,-6.921107414851569
1991,-6.531603419717037
1992,-7.045438419440386
1993,-7.716878855541286
1994,-7.173342671097133
1995,-6.486596695329651
1996,-5.926834246530029
1997,-5.942576233065001
1998,-5.8673458031462715
1999,-5.771393219529553
2000,-5.189985974753997
2001,-4.454561205926818
2002,-3.748850369482671
2003,-2.7828459704523265
2004,-2.2194222830535644
2005,-2.636793008419472
2006,-1.9454631517715493
2007,-1.2550266068889337
2008,-1.1653125403780658
2009,-0.2551040980272839
2010,0.19848496904038684
2011,0.6782000561685143
2012,1.2723043140022432
2013,2.1140931128985634
2014,2.9946169533755973
